Subsampling.group,TGCP.STT.Fst.estimates
4,0.17451
4,0.157164
4,0.161372
4,0.166831
4,0.16193
4,0.145834
4,0.181204
4,0.171937
4,0.183909
4,0.16528
4,0.171741
4,0.163703
4,0.149714
4,0.159727
4,0.159927
4,0.162579
4,0.158615
4,0.170158
4,0.168338
4,0.155896
4,0.153168
4,0.172279
4,0.187005
4,0.164802
4,0.169111
4,0.148851
4,0.194248
4,0.180694
4,0.175128
4,0.183016
4,0.160036
4,0.159621
4,0.160984
4,0.166122
4,0.163704
4,0.162434
4,0.179404
4,0.165761
4,0.175891
4,0.151184
4,0.169871
4,0.183653
4,0.16122
4,0.18214
4,0.16004
4,0.173151
4,0.150422
4,0.193146
4,0.171764
4,0.169897
4,0.173007
4,0.156925
4,0.16432
4,0.161353
4,0.172979
4,0.172991
4,0.160237
4,0.150875
4,0.163431
4,0.187455
4,0.172634
4,0.168389
4,0.173464
4,0.175714
4,0.176709
4,0.151234
4,0.165696
4,0.163449
4,0.180444
4,0.162202
4,0.156133
4,0.174857
4,0.162898
4,0.16921
4,0.175683
4,0.153126
4,0.152143
4,0.189221
4,0.154608
4,0.169996
4,0.167405
4,0.1705
4,0.175303
4,0.158115
4,0.165772
4,0.176616
4,0.174715
4,0.181875
4,0.182113
4,0.166902
4,0.188089
4,0.184404
4,0.176305
4,0.167641
4,0.162376
4,0.163588
4,0.17241
4,0.165103
4,0.163129
4,0.171222
6,0.177122
6,0.180918
6,0.165605
6,0.154924
6,0.173491
6,0.169893
6,0.171615
6,0.166962
6,0.167969
6,0.163999
6,0.173334
6,0.168714
6,0.172103
6,0.169014
6,0.169075
6,0.17991
6,0.163575
6,0.179239
6,0.163443
6,0.172049
6,0.155845
6,0.170281
6,0.172312
6,0.166154
6,0.178048
6,0.169134
6,0.185598
6,0.169593
6,0.162104
6,0.173721
6,0.161931
6,0.161257
6,0.173087
6,0.17147
6,0.171937
6,0.158776
6,0.16154
6,0.188913
6,0.169383
6,0.173068
6,0.184012
6,0.171823
6,0.157805
6,0.169468
6,0.15354
6,0.167688
6,0.172678
6,0.172914
6,0.175421
6,0.169718
6,0.165733
6,0.157862
6,0.161812
6,0.153121
6,0.173673
6,0.153167
6,0.172698
6,0.168881
6,0.166477
6,0.171789
6,0.172086
6,0.164751
6,0.172944
6,0.172731
6,0.177431
6,0.168013
6,0.17476
6,0.168871
6,0.170604
6,0.183054
6,0.184912
6,0.166704
6,0.161007
6,0.174808
6,0.178105
6,0.174855
6,0.166294
6,0.157289
6,0.156238
6,0.178224
6,0.160542
6,0.17318
6,0.165736
6,0.180466
6,0.163949
6,0.154354
6,0.16984
6,0.165609
6,0.173332
6,0.167086
6,0.165523
6,0.158407
6,0.179715
6,0.172578
6,0.164581
6,0.162583
6,0.173117
6,0.170689
6,0.168456
6,0.175157
8,0.169934
8,0.169646
8,0.167262
8,0.165691
8,0.174468
8,0.162845
8,0.163354
8,0.157558
8,0.177552
8,0.163309
8,0.17049
8,0.163642
8,0.165043
8,0.181053
8,0.158178
8,0.172829
8,0.173812
8,0.17153
8,0.167927
8,0.161287
8,0.164009
8,0.170326
8,0.175748
8,0.164909
8,0.169326
8,0.163245
8,0.171774
8,0.167283
8,0.172311
8,0.165083
8,0.167746
8,0.171165
8,0.170141
8,0.17088
8,0.169491
8,0.178123
8,0.168227
8,0.174777
8,0.165454
8,0.164396
8,0.163754
8,0.164218
8,0.161325
8,0.167852
8,0.162418
8,0.175221
8,0.169701
8,0.160319
8,0.168911
8,0.174313
8,0.172151
8,0.172056
8,0.178491
8,0.164432
8,0.175704
8,0.17157
8,0.171675
8,0.172321
8,0.1759
8,0.168118
8,0.166394
8,0.16828
8,0.165531
8,0.170141
8,0.169545
8,0.170929
8,0.171284
8,0.17853
8,0.163828
8,0.171921
8,0.177956
8,0.171311
8,0.164993
8,0.170812
8,0.170777
8,0.161634
8,0.166724
8,0.175636
8,0.16563
8,0.167285
8,0.180822
8,0.171058
8,0.16854
8,0.168154
8,0.165942
8,0.1659
8,0.168093
8,0.173307
8,0.162467
8,0.167535
8,0.162461
8,0.171747
8,0.166627
8,0.158556
8,0.168237
8,0.178036
8,0.172567
8,0.163686
8,0.174482
8,0.173456
10,0.172301
10,0.166858
10,0.169844
10,0.173321
10,0.175517
10,0.167615
10,0.166847
10,0.172948
10,0.174462
10,0.16957
10,0.169381
10,0.171129
10,0.165349
10,0.167338
10,0.165318
10,0.158749
10,0.172513
10,0.168139
10,0.167705
10,0.167329
10,0.174907
10,0.170508
10,0.167142
10,0.169674
10,0.176765
10,0.164094
10,0.165568
10,0.172353
10,0.168566
10,0.168499
10,0.16436
10,0.167495
10,0.168969
10,0.176003
10,0.161045
10,0.168497
10,0.165692
10,0.170775
10,0.164198
10,0.167741
10,0.165798
10,0.17268
10,0.173829
10,0.171254
10,0.168255
10,0.164641
10,0.174498
10,0.172554
10,0.175596
10,0.161887
10,0.166788
10,0.176266
10,0.172172
10,0.167803
10,0.164235
10,0.171053
10,0.166167
10,0.170725
10,0.165638
10,0.171283
10,0.168107
10,0.173084
10,0.168037
10,0.165506
10,0.174814
10,0.168031
10,0.164304
10,0.171705
10,0.173727
10,0.179876
10,0.16517
10,0.167816
10,0.174995
10,0.16967
10,0.163428
10,0.178101
10,0.167318
10,0.167121
10,0.17373
10,0.161197
10,0.169348
10,0.161591
10,0.174619
10,0.162791
10,0.172131
10,0.167959
10,0.166619
10,0.165618
10,0.16888
10,0.164885
10,0.166294
10,0.17155
10,0.171405
10,0.175806
10,0.173781
10,0.170736
10,0.172577
10,0.169488
10,0.172124
10,0.167259
12,0.164855
12,0.171327
12,0.173008
12,0.169859
12,0.169527
12,0.169254
12,0.167876
12,0.168843
12,0.175197
12,0.163128
12,0.166548
12,0.167818
12,0.169603
12,0.174553
12,0.168652
12,0.163204
12,0.172607
12,0.173514
12,0.167634
12,0.170749
12,0.170715
12,0.168458
12,0.167454
12,0.168002
12,0.167496
12,0.168195
12,0.168113
12,0.170428
12,0.159294
12,0.165269
12,0.166698
12,0.167985
12,0.163661
12,0.174245
12,0.164006
12,0.173781
12,0.169492
12,0.1729
12,0.165082
12,0.169297
12,0.16557
12,0.165343
12,0.169054
12,0.165895
12,0.168467
12,0.17235
12,0.16508
12,0.168631
12,0.169124
12,0.171261
12,0.164793
12,0.171988
12,0.17105
12,0.169313
12,0.171454
12,0.168651
12,0.165663
12,0.166225
12,0.178309
12,0.166055
12,0.163142
12,0.170089
12,0.169515
12,0.16193
12,0.164628
12,0.168669
12,0.173747
12,0.167857
12,0.165916
12,0.167687
12,0.163275
12,0.177508
12,0.166211
12,0.17265
12,0.171788
12,0.179294
12,0.17046
12,0.172655
12,0.173889
12,0.168144
12,0.163869
12,0.169962
12,0.165636
12,0.171957
12,0.17311
12,0.167576
12,0.172592
12,0.168991
12,0.174507
12,0.165099
12,0.172824
12,0.168896
12,0.165436
12,0.1686
12,0.166301
12,0.162275
12,0.164018
12,0.172657
12,0.170993
12,0.171148
14,0.168005
14,0.170192
14,0.166164
14,0.172329
14,0.165106
14,0.170937
14,0.167226
