Subsampling.group,MPO.Gis.estimates
2,0.11
2,0.157
2,0.225
2,0.017
2,0.029
2,0.259
2,0.093
2,0.076
2,0.169
2,0.184
2,0.096
2,0.058
2,0.088
2,0.146
2,0.228
2,0.257
2,0.296
2,0.08
2,0.222
2,0.151
2,0.221
2,0.146
2,0.088
2,0.096
2,0.096
2,-0.013
2,0.1
2,0.181
2,-0.006
2,0.193
2,0.134
2,0.255
2,0.114
2,0.177
2,0.213
2,0.151
2,0.146
2,0.214
2,0.032
2,0.071
2,0.1
2,0.061
2,0.207
2,0.106
2,0.13
2,0.213
2,0.067
2,0.1
2,0.109
2,0.181
2,0.157
2,0.166
2,0.115
2,0.142
2,0.32
2,0.076
2,0.134
2,0.029
2,0.07
2,0.29
2,0.046
2,0.3
2,0.118
2,0.088
2,0.134
2,0.087
2,0.014
2,0.151
2,0.224
2,0.019
2,0.162
2,0.253
2,0.117
2,0.198
2,0.154
2,0.163
2,0.134
2,0.114
2,0.109
2,0.109
2,0.058
2,0.053
2,0.058
2,0.111
2,0.029
2,0.147
2,0.207
2,0.328
2,-0.05
2,0.082
2,0.206
2,0.137
2,0.123
2,0.091
2,0.028
2,0.233
2,0.222
2,0.181
2,0.182
2,0.147
4,0.058
4,0.108
4,0.105
4,0.123
4,0.099
4,0.119
4,0.127
4,0.193
4,0.115
4,0.231
4,0.089
4,0.188
4,0.212
4,0.237
4,0.102
4,0.163
4,0.07
4,0.037
4,0.145
4,0.06
4,0.102
4,0.072
4,0.153
4,0.108
4,0.201
4,0.129
4,0.067
4,0.146
4,0.087
4,0.112
4,0.11
4,0.232
4,0.101
4,0.13
4,0.093
4,0.059
4,0.164
4,0.168
4,0.131
4,0.079
4,0.097
4,0.065
4,0.165
4,0.071
4,0.119
4,0.087
4,0.142
4,0.068
4,0.162
4,0.208
4,0.109
4,0.213
4,0.122
4,0.117
4,0.076
4,0.228
4,0.215
4,0.118
4,0.172
4,0.178
4,0.168
4,0.166
4,0.048
4,0.166
4,0.26
4,0.166
4,0.061
4,0.076
4,0.125
4,0.129
4,0.231
4,0.177
4,0.093
4,0.095
4,0.106
4,0.168
4,0.133
4,0.107
4,0.094
4,0.186
4,0.086
4,0.099
4,0.07
4,0.127
4,0.19
4,0.157
4,0.153
4,0.06
4,0.047
4,0.126
4,0.059
4,0.093
4,0.108
4,0.05
4,0.169
4,0.12
4,0.077
4,0.095
4,0.163
4,0.048
6,0.096
6,0.095
6,0.13
6,0.079
6,0.147
6,0.133
6,0.109
6,0.064
6,0.148
6,0.072
6,0.101
6,0.123
6,0.108
6,0.109
6,0.118
6,0.107
6,0.106
6,0.175
6,0.11
6,0.153
6,0.072
6,0.08
6,0.14
6,0.148
6,0.092
6,0.084
6,0.162
6,0.126
6,0.116
6,0.106
6,0.092
6,0.106
6,0.109
6,0.112
6,0.075
6,0.085
6,0.157
6,0.104
6,0.127
6,0.173
6,0.146
6,0.135
6,0.167
6,0.143
6,0.107
6,0.162
6,0.167
6,0.106
6,0.104
6,0.087
6,0.065
6,0.119
6,0.081
6,0.106
6,0.071
6,0.155
6,0.183
6,0.086
6,0.152
6,0.151
6,0.087
6,0.125
6,0.101
6,0.102
6,0.18
6,0.139
6,0.151
6,0.109
6,0.093
6,0.197
6,0.147
6,0.069
6,0.153
6,0.101
6,0.108
6,0.129
6,0.108
6,0.095
6,0.101
