Subsampling.group,PTP.Gis.estimates
2,-0.097
2,0.213
2,0.023
2,0.107
2,-0.008
2,0.052
2,0.259
2,0.132
2,0.016
2,0.052
2,0.138
2,0.228
2,0.147
2,0.175
2,0.096
2,0.189
2,0.099
2,0.005
2,-0.005
2,0.107
2,0.293
2,0.322
2,0.155
2,0.08
2,0.155
2,0.145
2,0.213
2,0.182
2,-0.033
2,0.119
2,0.052
2,0.224
2,0.145
2,0.168
2,0.034
2,0.051
2,0.169
2,0.18
2,0.265
2,0.06
2,0.08
2,0.213
2,0.158
2,0.198
2,0.171
2,0.238
2,0.021
2,0.154
2,0.19
2,0.107
2,0.051
2,0.209
2,0.079
2,0.169
2,0.016
2,0.293
2,0.12
2,0.218
2,0.098
2,0.117
2,0.256
2,0.069
2,0.034
2,0.05
2,0.052
2,0.103
2,0.119
2,0.076
2,-0.033
2,0.012
2,0.118
2,0.133
2,0.165
2,0.293
2,0.052
2,0.205
2,0.085
2,0.051
2,0.055
2,0.228
2,0.08
2,0.171
2,0.041
2,0.322
2,0.107
2,0.043
2,0.098
2,-0.005
2,0.111
2,0.133
2,0.219
2,0.048
2,0.022
2,-0.004
2,0.182
2,0.18
2,0.076
2,0.148
2,0.088
2,0.313
4,0.12
4,0.105
4,0.096
4,0.084
4,0.13
4,0.123
4,0.042
4,0.117
4,0.152
4,0.085
4,0.042
4,0.086
4,0.074
4,0.059
4,0.091
4,0.115
4,0.053
4,0.032
4,0.109
4,0.159
4,0.11
4,0.104
4,0.141
4,0.123
4,0.014
4,0.099
4,0.193
4,0.116
4,0.03
4,0.14
4,0.029
4,0.145
4,0.062
4,0.139
4,0.098
4,0.115
4,0.231
4,0.102
4,0.039
4,0.202
4,0.232
4,0.199
4,0.216
4,0.1
4,0.03
4,0.161
4,0.121
4,0.032
4,0.08
4,0.141
4,0.087
4,0.085
4,0.178
4,0.065
4,0.233
4,0.12
4,0.158
4,0.104
4,0.047
4,0.009
4,0.107
4,0.071
4,0.053
4,0.202
4,0.073
4,0.089
4,0.008
4,0.177
4,0.092
4,0.095
4,-0.008
4,0.092
4,0.147
4,0.055
4,0.139
4,0.042
4,0.08
4,0.154
4,0.207
4,0.18
4,0.105
4,0.065
4,0.113
4,0.154
4,0.114
4,0.04
4,0.109
4,-0.002
4,0.151
4,0.098
4,0.089
4,0.109
4,0.152
4,0.202
4,0.015
4,0.198
4,0.031
4,0.195
4,0.272
4,0.133
6,0.046
6,0.107
6,0.153
6,0.088
6,0.057
6,0.158
6,0.087
6,0.111
6,0.071
6,0.039
6,0.171
6,0.093
6,0.141
6,0.062
6,0.09
6,0.077
6,0.135
6,0.098
6,0.113
6,0.131
6,0.098
6,0.08
6,0.119
6,0.125
6,0.144
6,0.179
6,0.175
6,0.088
6,0.196
6,0.047
6,0.101
6,0.128
6,0.115
6,0.103
6,0.077
6,0.119
6,0.122
6,0.078
6,0.154
6,0.111
6,0.082
6,0.078
6,0.279
6,0.069
6,0.166
6,0.077
6,0.143
6,0.067
6,0.066
6,0.09
6,0.133
6,0.147
6,0.132
6,0.143
6,0.153
6,0.039
6,0.116
6,0.063
6,0.192
6,0.205
6,0.175
6,0.174
6,0.112
6,0.145
6,0.071
6,0.162
6,0.091
6,0.043
6,0.126
6,0.11
6,0.073
6,0.141
6,0.072
6,0.052
6,0.166
6,0.137
6,0.169
6,0.091
6,0.177
6,0.048
6,0.258
6,0.119
6,0.032
6,0.145
6,0.114
6,0.101
6,0.105
