Subsampling.group,STT.Gis.estimates
2,0.183
2,0.074
2,0.034
2,0.12
2,0.1
2,0.118
2,0.162
2,0.157
2,-0.015
2,0.176
2,0.114
2,0.064
2,0.186
2,0.201
2,0.124
2,0.029
2,0.023
2,0.023
2,0.107
2,0.083
2,0.146
2,0.068
2,0.114
2,0.092
2,0.201
2,0.025
2,0.177
2,0.132
2,0.041
2,0.03
2,0.1
2,0.091
2,0.064
2,-0.05
2,0.023
2,0.097
2,0.078
2,0.042
2,0.153
2,0.028
2,0.146
2,0.056
2,0.085
2,0.059
2,0.122
2,0.069
2,0.041
2,0.041
2,0.114
2,0.125
2,-0.005
2,0.147
2,-0.002
2,0.046
2,0.127
2,0.034
2,0.146
2,-0.002
2,0.059
2,0.193
2,0.193
2,0.153
2,0.025
2,0.079
2,0.072
2,0.213
2,0.072
2,0.18
2,0.055
2,0.081
2,0.051
2,0.132
2,0.176
2,-0.042
2,-0.007
2,0.114
2,0.079
2,0.212
2,0.198
2,0.102
2,-0.05
2,0.077
2,0.056
2,-0.03
2,0.198
2,0.197
2,0.047
2,0.079
2,0.094
2,0.024
2,0.097
2,0.134
2,0.084
2,0.074
2,0.158
2,0.05
2,0.118
2,0.137
2,0.101
2,0.003
4,0.019
4,0.101
4,0.159
4,0.045
4,0.159
4,0.19
4,0.151
4,0.098
4,0.07
4,0.035
4,0.142
4,0.083
4,0.06
4,-0.006
4,0.114
4,0.082
4,0.043
4,0.035
4,0.221
4,0.118
4,0.08
4,0.025
4,0.051
4,0.091
4,0.047
4,0.112
4,0.152
4,0.065
4,0.16
4,0.109
4,0.123
4,0.175
4,0.091
4,0.144
4,0.077
4,0.09
4,0.102
4,0.094
4,0.12
4,0.031
4,0.076
4,0.067
4,0.108
4,0.031
4,0.183
4,0.09
4,0.132
4,0.075
4,0.166
4,0.087
4,0.147
4,0.063
4,0.086
4,0.012
4,0.177
4,0.065
4,0.062
4,0.131
4,0.159
4,0.064
4,0.059
4,0.058
4,0.027
4,0.037
4,0.032
4,0.036
4,0.086
4,0.1
4,0.056
4,0.158
4,0.065
4,0.042
4,0.034
4,0.028
4,0.091
4,0.122
4,0.071
4,0.086
4,0.037
4,0.048
4,0.098
4,0.039
4,0.149
4,0.073
4,0.095
4,0.055
4,0.102
4,0.074
4,0.143
4,0.093
4,0.07
4,0.028
4,0.088
4,0.085
4,0.096
4,0.096
4,0.052
4,0.198
4,0.054
4,0.126
6,0.047
6,0.064
6,0.073
6,0.163
6,0.104
6,0.107
6,0.042
6,0.075
6,0.058
6,0.027
6,0.145
6,0.099
6,0.045
6,0.088
6,0.118
6,0.05
6,0.099
6,0.101
6,0.078
6,0.105
6,0.099
6,0.064
6,0.082
6,0.096
6,0.05
6,0.084
6,0.033
6,0.122
6,0.084
6,0.044
6,0.08
6,0.098
6,0.088
6,0.085
6,0.09
6,0.123
6,0.123
6,0.055
6,0.086
6,0.098
6,0.08
6,0.056
6,0.076
6,0.071
6,0.099
6,0.082
6,0.125
6,0.086
6,0.031
6,0.084
6,0.058
6,0.098
6,0.021
6,0.071
6,0.113
6,0.056
6,0.083
6,0.041
6,0.116
6,0.069
6,0.112
6,0.052
6,0.064
6,0.064
6,0.071
6,0.046
6,0.082
6,0.091
6,0.086
6,0.064
6,0.084
6,0.092
6,0.109
6,0.094
6,0.157
6,0.09
6,0.124
6,0.067
6,0.105
6,0.094
6,0.043
6,0.077
6,0.048
6,0.047
6,0.057
6,0.134
6,0.062
6,0.117
6,0.033
6,0.077
6,0.044
6,0.139
6,0.076
6,0.14
6,0.086
6,0.033
6,0.098
6,0.086
6,0.077
6,0.012
8,0.061
8,0.041
8,0.066
8,0.124
8,0.081
8,0.09
8,0.097
8,0.099
8,0.095
8,0.087
8,0.066
8,0.109
8,0.105
8,0.063
8,0.105
8,0.064
8,0.032
8,0.1
8,0.023
8,0.047
8,0.051
8,0.07
8,0.07
8,0.085
8,0.052
8,0.068
8,0.092
8,0.106
8,0.117
8,0.018
8,0.057
8,0.082
8,0.144
8,0.049
8,0.101
8,0.129
8,0.108
8,0.101
8,0.093
8,0.097
8,0.086
8,0.04
8,0.065
8,0.051
8,0.1
8,0.072
8,0.067
8,0.106
8,0.057
8,0.057
8,0.038
8,0.096
8,0.071
8,0.092
8,0.059
8,0.084
8,0.103
8,0.1
8,0.05
8,0.046
8,0.094
8,0.055
8,0.093
8,0.087
8,0.032
8,0.038
8,0.165
8,0.11
8,0.091
8,0.076
8,0.088
8,0.073
8,0.124
8,0.05
8,0.059
8,0.076
8,0.051
8,0.081
8,0.083
8,0.09
8,0.089
8,0.078
8,0.073
8,0.058
8,0.054
8,0.084
8,0.075
8,0.057
8,0.068
8,0.063
8,0.104
8,0.072
8,0.087
8,0.1
8,0.081
8,0.086
8,0.081
8,0.068
8,0.086
8,0.098
10,0.085
10,0.056
10,0.114
10,0.06
10,0.088
10,0.059
10,0.08
10,0.11
10,0.095
10,0.082
10,0.083
10,0.139
10,0.077
10,0.067
10,0.044
10,0.068
10,0.072
10,0.061
10,0.107
10,0.099
10,0.051
10,0.08
10,0.062
10,0.108
10,0.105
10,0.074
10,0.076
10,0.11
10,0.078
10,0.094
10,0.064
10,0.074
10,0.071
10,0.07
10,0.075
10,0.093
10,0.112
10,0.079
10,0.056
10,0.108
10,0.106
10,0.049
10,0.095
10,0.059
10,0.057
10,0.103
10,0.092
10,0.102
10,0.094
10,0.142
10,0.088
10,0.104
10,0.099
10,0.048
10,0.099
10,0.062
10,0.106
10,0.109
10,0.063
10,0.059
10,0.076
10,0.077
10,0.07
10,0.021
10,0.072
10,0.099
10,0.058
10,0.054
10,0.113
10,0.069
10,0.055
10,0.108
10,0.064
10,0.102
10,0.106
10,0.115
10,0.088
10,0.107
10,0.117
10,0.115
10,0.066
10,0.08
10,0.097
10,0.05
10,0.067
10,0.094
10,0.111
10,0.136
10,0.061
10,0.073
10,0.113
10,0.053
10,0.092
10,0.115
10,0.07
10,0.085
10,0.027
10,0.073
10,0.062
10,0.056
12,0.064
12,0.07
12,0.08
12,0.054
12,0.094
12,0.09
12,0.077
12,0.087
12,0.088
12,0.07
12,0.075
12,0.077
12,0.062
12,0.087
12,0.049
12,0.082
12,0.069
12,0.102
12,0.114
12,0.074
12,0.078
12,0.097
12,0.062
12,0.086
12,0.049
12,0.087
12,0.052
12,0.089
12,0.128
12,0.058
12,0.066
12,0.089
12,0.106
12,0.054
12,0.062
12,0.075
12,0.1
12,0.09
12,0.094
12,0.086
12,0.077
12,0.103
12,0.071
12,0.094
12,0.071
12,0.08
12,0.11
12,0.087
12,0.076
12,0.115
12,0.087
12,0.065
12,0.073
12,0.076
12,0.063
12,0.057
12,0.049
12,0.093
12,0.076
12,0.096
12,0.089
12,0.111
12,0.053
12,0.091
12,0.096
12,0.08
12,0.095
12,0.12
12,0.082
12,0.072
12,0.09
12,0.068
12,0.091
12,0.09
12,0.087
12,0.056
12,0.08
12,0.064
12,0.128
12,0.068
12,0.118
12,0.082
12,0.063
12,0.081
12,0.088
12,0.062
12,0.073
12,0.113
12,0.082
12,0.072
12,0.083
12,0.1
12,0.054
12,0.088
12,0.062
12,0.111
12,0.083
12,0.064
12,0.066
12,0.103
14,0.081
14,0.083
14,0.085
14,0.065
14,0.073
14,0.095
14,0.09
14,0.072
14,0.089
14,0.069
14,0.081
14,0.055
14,0.063
14,0.104
14,0.081
14,0.066
14,0.074
14,0.066
14,0.116
14,0.116
14,0.082
14,0.092
14,0.087
14,0.096
14,0.078
14,0.079
14,0.069
14,0.058
14,0.065
14,0.1
14,0.071
14,0.075
14,0.055
14,0.074
14,0.087
14,0.062
14,0.078
14,0.05
14,0.081
14,0.096
14,0.101
14,0.081
14,0.104
14,0.057
14,0.099
14,0.097
14,0.105
14,0.079
14,0.1
14,0.096
14,0.049
14,0.055
14,0.087
14,0.076
14,0.074
14,0.076
14,0.082
14,0.089
14,0.093
14,0.091
14,0.09
14,0.086
14,0.072
14,0.076
14,0.068
14,0.088
14,0.082
14,0.101
14,0.071
14,0.08
14,0.114
14,0.099
14,0.069
14,0.093
14,0.071
14,0.111
14,0.084
14,0.075
14,0.059
14,0.1
14,0.076
14,0.056
14,0.085
14,0.105
14,0.098
14,0.119
14,0.071
14,0.096
14,0.053
14,0.071
14,0.066
14,0.07
14,0.072
14,0.058
14,0.093
14,0.098
14,0.091
14,0.061
14,0.088
14,0.046
16,0.069
16,0.093
16,0.089
16,0.08
16,0.087
16,0.091
16,0.083
16,0.073
16,0.07
16,0.085
16,0.092
16,0.096
16,0.072
16,0.107
16,0.069
16,0.079
16,0.072
16,0.102
16,0.069
16,0.083
16,0.076
16,0.082
16,0.049
16,0.058
16,0.08
16,0.072
16,0.068
16,0.07
16,0.081
16,0.065
16,0.086
16,0.073
16,0.087
16,0.099
16,0.082
16,0.068
16,0.061
16,0.118
16,0.074
16,0.085
16,0.08
16,0.095
16,0.067
16,0.097
16,0.078
16,0.098
16,0.087
16,0.106
16,0.082
16,0.088
16,0.088
16,0.093
16,0.072
16,0.088
16,0.072
16,0.085
16,0.079
16,0.097
16,0.05
16,0.085
16,0.099
16,0.071
16,0.07
16,0.082
16,0.101
16,0.088
16,0.062
16,0.084
16,0.099
16,0.082
16,0.081
16,0.081
16,0.101
16,0.083
16,0.06
16,0.084
16,0.069
16,0.091
16,0.072
16,0.096
16,0.081
16,0.088
16,0.077
16,0.08
16,0.087
16,0.082
16,0.054
16,0.085
16,0.073
16,0.102
16,0.061
16,0.084
16,0.098
16,0.073
16,0.087
16,0.1
16,0.088
16,0.081
16,0.07
16,0.069
18,0.104
18,0.074
18,0.073
18,0.094
18,0.092
18,0.089
18,0.091
18,0.075
18,0.096
18,0.073
18,0.082
18,0.064
18,0.085
18,0.068
18,0.08
18,0.087
18,0.081
18,0.077
18,0.076
18,0.093
18,0.071
18,0.099
18,0.094
18,0.075
18,0.061
18,0.081
18,0.084
18,0.083
18,0.095
18,0.073
18,0.091
18,0.074
18,0.093
18,0.083
18,0.085
18,0.08
18,0.08
18,0.078
18,0.073
18,0.074
18,0.072
18,0.094
18,0.095
18,0.088
18,0.082
18,0.098
18,0.064
18,0.09
18,0.073
18,0.076
18,0.078
18,0.1
18,0.089
18,0.072
18,0.07
18,0.102
18,0.088
18,0.066
18,0.078
18,0.086
18,0.086
18,0.095
18,0.082
18,0.071
18,0.064
18,0.084
18,0.077
18,0.073
18,0.077
18,0.081
18,0.073
18,0.099
18,0.072
18,0.086
18,0.062
18,0.074
18,0.069
18,0.082
18,0.076
18,0.094
18,0.08
18,0.078
18,0.068
18,0.066
18,0.094
18,0.089
18,0.085
18,0.068
18,0.066
18,0.084
18,0.058
18,0.086
18,0.075
18,0.069
18,0.081
18,0.086
18,0.085
18,0.08
18,0.083
18,0.083
20,0.075
20,0.089
20,0.087
20,0.08
20,0.084
20,0.078
20,0.071
20,0.078
20,0.074
20,0.075
20,0.093
20,0.085
20,0.071
20,0.102
20,0.08
20,0.073
20,0.08
20,0.067
20,0.076
20,0.095
20,0.084
20,0.098
20,0.069
20,0.081
20,0.074
20,0.082
20,0.08
20,0.07
20,0.089
20,0.063
20,0.082
20,0.069
20,0.088
20,0.079
20,0.087
20,0.081
20,0.083
20,0.094
20,0.089
20,0.078
20,0.099
20,0.082
20,0.084
20,0.082
20,0.082
20,0.091
20,0.083
20,0.104
20,0.087
20,0.099
20,0.079
20,0.082
20,0.086
20,0.082
20,0.081
20,0.083
20,0.078
20,0.092
20,0.077
20,0.082
20,0.078
20,0.072
20,0.079
20,0.086
20,0.083
20,0.082
20,0.081
20,0.085
20,0.092
20,0.077
20,0.087
20,0.086
20,0.089
20,0.086
20,0.087
20,0.076
20,0.091
20,0.074
20,0.087
20,0.084
20,0.087
20,0.08
20,0.09
20,0.078
20,0.082
20,0.096
20,0.078
20,0.069
20,0.083
20,0.102
20,0.075
20,0.1
20,0.083
20,0.086
20,0.08
20,0.088
20,0.075
20,0.072
20,0.071
20,0.091
22,0.087
22,0.082
22,0.083
22,0.08
22,0.084
22,0.08
22,0.08
22,0.097
22,0.082
22,0.087
22,0.081
22,0.084
22,0.088
22,0.08
22,0.085
22,0.093
22,0.078
22,0.085
22,0.08
22,0.081
22,0.091
22,0.076
22,0.082
22,0.09
22,0.077
22,0.08
22,0.084
22,0.079
22,0.079
22,0.083
22,0.08
22,0.078
22,0.078
22,0.079
22,0.079
22,0.08
22,0.087
22,0.077
22,0.076
22,0.076
22,0.083
22,0.08
22,0.084
22,0.074
22,0.075
22,0.083
22,0.081
22,0.086
22,0.079
22,0.089
22,0.089
22,0.074
22,0.079
22,0.085
22,0.083
22,0.075
22,0.079
22,0.088
22,0.079
22,0.079
22,0.091
22,0.083
22,0.087
22,0.082
22,0.083
22,0.08
22,0.087
22,0.085
22,0.082
22,0.083
22,0.075
22,0.075
22,0.079
22,0.085
22,0.079
22,0.088
22,0.076
22,0.089
22,0.079
22,0.085
22,0.073
22,0.082
22,0.09
22,0.085
22,0.082
22,0.074
22,0.084
22,0.079
22,0.087
22,0.085
22,0.077
22,0.074
22,0.074
22,0.077
22,0.08
22,0.078
22,0.077
22,0.083
22,0.08
22,0.072
