Subsampling.group,TGCP.Gis.estimates
2,-0.003
2,0.051
2,-0.059
2,0.044
2,-0.003
2,-0.034
2,0.078
2,-0.024
2,-0.02
2,0.028
2,0.072
2,-0.033
2,-0.027
2,0.013
2,-0.029
2,0.087
2,-0.036
2,-0.007
2,0.048
2,0.028
2,0.023
2,0.034
2,0.05
2,0.047
2,-0.001
2,0.07
2,0.036
2,-0.06
2,0.04
2,0.017
2,0.037
2,0.003
2,0.038
2,0.022
2,-0.014
2,0.022
2,-0.04
2,0.011
2,-0.023
2,-0.006
2,-0.012
2,-0.005
2,-0.001
2,-0.022
2,0.04
2,0.028
2,0.01
2,-0.074
2,0.079
2,0.074
2,-0.005
2,0.013
2,-0.064
2,0
2,0.051
2,0.047
2,-0.022
2,0.041
2,0.043
2,-0.064
2,0.037
2,0.019
2,-0.035
2,-0.033
2,0.014
2,0.033
2,0.069
2,0.006
2,-0.031
2,-0.048
2,-0.083
2,0.019
2,-0.009
2,-0.008
2,-0.008
2,0.041
2,0.047
2,0.027
2,0.001
2,0.035
2,0.041
2,0.079
2,-0.023
2,-0.041
2,0.053
2,0.086
2,0.041
2,0.054
2,-0.057
2,-0.027
2,-0.04
2,0.086
2,0.032
2,0.038
2,-0.066
2,-0.086
2,-0.064
2,0.002
2,-0.012
2,0.016
4,0
4,0.067
4,0.02
4,0.014
4,0.031
4,-0.027
4,0.019
4,-0.027
4,-0.009
4,-0.009
4,-0.01
4,0.032
4,0.023
4,-0.005
4,0
4,0.022
4,0.051
4,-0.01
4,0.005
4,0.068
4,0.012
4,0.008
4,0.004
4,0.036
4,0
4,0.024
4,0
4,0.018
4,0.014
4,-0.017
4,0.006
4,0.052
4,0.034
4,0.002
4,-0.013
4,0.062
4,0.025
4,-0.011
4,0.005
4,-0.003
4,0.003
4,-0.045
4,0.011
4,-0.029
4,0.013
4,0.024
4,0.023
4,-0.013
4,-0.006
4,0.027
4,-0.021
4,0.012
4,0.015
4,0.034
4,-0.02
4,-0.018
4,0.037
4,0.005
4,0.002
4,-0.056
4,-0.011
4,-0.012
4,0.034
4,-0.024
4,-0.033
4,0.063
4,-0.007
4,0.02
4,0.053
4,-0.001
4,-0.011
4,0.026
4,0.019
4,0.011
4,0.03
4,0.055
4,0.048
4,-0.007
4,-0.011
4,-0.003
4,0.024
4,-0.033
4,-0.018
4,0.008
4,-0.002
4,0.015
4,0.011
4,-0.004
4,0.036
4,0.025
4,-0.012
4,0.011
4,-0.017
4,-0.024
4,0.006
4,0.007
4,0.038
4,0.023
4,0.013
4,0.016
6,-0.008
6,-0.005
6,0.027
6,-0.004
6,-0.007
6,-0.006
6,-0.009
6,0.018
6,0.038
6,0.017
6,0
6,0.016
6,-0.014
6,0.017
6,0.003
6,-0.035
6,0.014
6,-0.002
6,0.007
6,-0.005
6,0.032
6,-0.004
6,0.021
6,0.006
6,-0.001
6,0.023
6,-0.03
6,-0.009
6,-0.008
6,0.036
6,0.032
6,0.007
6,0.004
6,0.024
6,0.007
6,-0.028
6,-0.01
6,-0.013
6,0.033
6,-0.023
6,-0.016
6,0.019
6,0.004
6,0
6,0.032
6,0.04
6,-0.011
6,-0.029
6,-0.006
6,0.038
6,0.002
6,0.046
6,0.043
6,0.041
6,-0.044
6,0.04
6,0.004
6,0.038
6,0.012
6,0.054
6,-0.002
6,0.007
6,0.008
6,0.036
6,-0.013
6,-0.006
6,-0.035
6,0.011
6,0.014
6,0.026
6,0.009
6,0.004
6,0.026
6,0.009
6,-0.026
6,0.038
6,0.035
6,0.027
6,0.001
6,-0.023
6,0.003
6,0.005
6,0.042
6,0.021
6,0.012
6,0.04
