Subsampling.group,MPO.Ho.estimates
2,0.097
2,0.113
2,0.085
2,0.139
2,0.12
2,0.078
2,0.096
2,0.118
2,0.087
2,0.091
2,0.107
2,0.122
2,0.112
2,0.095
2,0.073
2,0.074
2,0.069
2,0.108
2,0.079
2,0.087
2,0.079
2,0.088
2,0.112
2,0.109
2,0.109
2,0.144
2,0.108
2,0.085
2,0.108
2,0.093
2,0.09
2,0.077
2,0.098
2,0.093
2,0.081
2,0.087
2,0.088
2,0.083
2,0.122
2,0.125
2,0.108
2,0.111
2,0.076
2,0.098
2,0.1
2,0.081
2,0.127
2,0.108
2,0.11
2,0.085
2,0.089
2,0.082
2,0.112
2,0.094
2,0.068
2,0.126
2,0.09
2,0.122
2,0.114
2,0.074
2,0.12
2,0.068
2,0.106
2,0.112
2,0.09
2,0.105
2,0.122
2,0.087
2,0.085
2,0.125
2,0.098
2,0.083
2,0.097
2,0.087
2,0.094
2,0.098
2,0.093
2,0.098
2,0.11
2,0.11
2,0.127
2,0.12
2,0.108
2,0.111
2,0.122
2,0.099
2,0.076
2,0.061
2,0.125
2,0.096
2,0.082
2,0.09
2,0.102
2,0.113
2,0.129
2,0.078
2,0.079
2,0.097
2,0.082
2,0.099
4,0.122
4,0.114
4,0.107
4,0.111
4,0.11
4,0.1
4,0.096
4,0.085
4,0.106
4,0.084
4,0.113
4,0.096
4,0.092
4,0.077
4,0.106
4,0.1
4,0.12
4,0.123
4,0.107
4,0.128
4,0.114
4,0.108
4,0.095
4,0.108
4,0.083
4,0.106
4,0.117
4,0.103
4,0.112
4,0.105
4,0.1
4,0.082
4,0.115
4,0.105
4,0.105
4,0.119
4,0.104
4,0.097
4,0.097
4,0.114
4,0.114
4,0.114
4,0.094
4,0.121
4,0.109
4,0.109
4,0.102
4,0.118
4,0.094
4,0.095
4,0.111
4,0.092
4,0.103
4,0.112
4,0.112
4,0.083
4,0.082
4,0.106
4,0.095
4,0.097
4,0.098
4,0.098
4,0.119
4,0.095
4,0.077
4,0.093
4,0.127
4,0.117
4,0.103
4,0.104
4,0.085
4,0.095
4,0.117
4,0.108
4,0.107
4,0.098
4,0.103
4,0.113
4,0.109
4,0.096
4,0.114
4,0.099
4,0.113
4,0.102
4,0.087
4,0.096
4,0.104
4,0.115
4,0.114
4,0.103
4,0.121
4,0.112
4,0.116
4,0.116
4,0.089
4,0.102
4,0.112
4,0.109
4,0.093
4,0.121
6,0.109
6,0.108
6,0.096
6,0.113
6,0.099
6,0.107
6,0.105
6,0.118
6,0.098
6,0.113
6,0.106
6,0.109
6,0.111
6,0.108
6,0.108
6,0.105
6,0.112
6,0.092
6,0.108
6,0.099
6,0.114
6,0.113
6,0.098
6,0.097
6,0.12
6,0.115
6,0.095
6,0.104
6,0.103
6,0.115
6,0.112
6,0.116
6,0.11
6,0.116
6,0.113
6,0.114
6,0.097
6,0.116
6,0.1
6,0.091
6,0.1
6,0.102
6,0.097
6,0.098
6,0.106
6,0.103
6,0.097
6,0.105
6,0.114
6,0.108
6,0.121
6,0.109
6,0.113
6,0.115
6,0.115
6,0.099
6,0.094
6,0.112
6,0.099
6,0.101
6,0.117
6,0.102
6,0.116
6,0.109
6,0.096
6,0.102
6,0.095
6,0.112
6,0.114
6,0.093
6,0.102
6,0.118
6,0.101
6,0.106
6,0.109
6,0.108
6,0.113
6,0.112
6,0.11
6,0.109
