Subsampling.group,PTP.Ho.estimates
2,0.056
2,0.036
2,0.06
2,0.04
2,0.044
2,0.066
2,0.034
2,0.052
2,0.054
2,0.047
2,0.04
2,0.038
2,0.04
2,0.035
2,0.042
2,0.045
2,0.047
2,0.044
2,0.049
2,0.039
2,0.032
2,0.034
2,0.04
2,0.054
2,0.037
2,0.053
2,0.036
2,0.047
2,0.057
2,0.051
2,0.047
2,0.033
2,0.053
2,0.045
2,0.067
2,0.048
2,0.052
2,0.04
2,0.033
2,0.041
2,0.05
2,0.036
2,0.043
2,0.038
2,0.041
2,0.04
2,0.063
2,0.042
2,0.048
2,0.04
2,0.048
2,0.035
2,0.049
2,0.048
2,0.054
2,0.037
2,0.05
2,0.036
2,0.051
2,0.055
2,0.035
2,0.056
2,0.067
2,0.042
2,0.047
2,0.051
2,0.051
2,0.046
2,0.057
2,0.057
2,0.044
2,0.046
2,0.05
2,0.032
2,0.047
2,0.042
2,0.057
2,0.055
2,0.063
2,0.032
2,0.05
2,0.041
2,0.065
2,0.034
2,0.05
2,0.048
2,0.044
2,0.044
2,0.049
2,0.046
2,0.04
2,0.052
2,0.067
2,0.044
2,0.047
2,0.053
2,0.046
2,0.038
2,0.043
2,0.038
4,0.047
4,0.055
4,0.049
4,0.055
4,0.046
4,0.052
4,0.06
4,0.051
4,0.049
4,0.057
4,0.059
4,0.052
4,0.048
4,0.061
4,0.053
4,0.052
4,0.057
4,0.051
4,0.05
4,0.046
4,0.051
4,0.044
4,0.047
4,0.046
4,0.058
4,0.05
4,0.045
4,0.052
4,0.058
4,0.047
4,0.062
4,0.046
4,0.056
4,0.048
4,0.053
4,0.047
4,0.039
4,0.043
4,0.058
4,0.042
4,0.039
4,0.047
4,0.036
4,0.052
4,0.055
4,0.048
4,0.053
4,0.066
4,0.059
4,0.049
4,0.057
4,0.054
4,0.044
4,0.052
4,0.043
4,0.049
4,0.043
4,0.054
4,0.055
4,0.059
4,0.055
4,0.05
4,0.06
4,0.046
4,0.041
4,0.054
4,0.056
4,0.044
4,0.041
4,0.05
4,0.06
4,0.053
4,0.047
4,0.062
4,0.043
4,0.058
4,0.051
4,0.045
4,0.043
4,0.042
4,0.046
4,0.051
4,0.049
4,0.047
4,0.053
4,0.063
4,0.05
4,0.058
4,0.042
4,0.054
4,0.048
4,0.049
4,0.045
4,0.045
4,0.064
4,0.039
4,0.061
4,0.044
4,0.039
4,0.049
6,0.054
6,0.051
6,0.048
6,0.051
6,0.052
6,0.046
6,0.048
6,0.043
6,0.055
6,0.051
6,0.045
6,0.053
6,0.044
6,0.052
6,0.056
6,0.055
6,0.048
6,0.056
6,0.047
6,0.05
6,0.054
6,0.053
6,0.05
6,0.046
6,0.046
6,0.043
6,0.045
6,0.055
6,0.045
6,0.06
6,0.048
6,0.05
6,0.052
6,0.05
6,0.046
6,0.046
6,0.051
6,0.051
6,0.048
6,0.048
6,0.047
6,0.047
6,0.038
6,0.053
6,0.05
6,0.047
6,0.051
6,0.044
6,0.052
6,0.048
6,0.051
6,0.05
6,0.056
6,0.043
6,0.045
6,0.055
6,0.048
6,0.056
6,0.042
6,0.04
6,0.045
6,0.048
6,0.05
6,0.052
6,0.056
6,0.049
6,0.051
6,0.051
6,0.05
6,0.053
6,0.054
6,0.044
6,0.055
6,0.06
6,0.044
6,0.044
6,0.049
6,0.055
6,0.043
6,0.058
6,0.039
6,0.051
6,0.061
6,0.045
6,0.055
6,0.055
6,0.047
6,0.057
6,0.057
6,0.053
6,0.052
6,0.054
6,0.051
6,0.047
6,0.046
6,0.045
6,0.044
6,0.046
6,0.049
6,0.05
8,0.058
8,0.05
8,0.051
8,0.052
8,0.048
8,0.049
8,0.052
8,0.057
8,0.049
8,0.054
8,0.052
8,0.051
8,0.052
8,0.05
8,0.057
8,0.058
8,0.053
8,0.057
8,0.054
8,0.049
8,0.048
8,0.052
8,0.059
8,0.05
8,0.048
8,0.054
8,0.055
8,0.05
8,0.049
8,0.052
8,0.056
8,0.054
8,0.055
8,0.05
8,0.046
8,0.051
8,0.055
8,0.04
8,0.05
8,0.056
8,0.053
8,0.052
8,0.052
8,0.05
8,0.053
8,0.047
8,0.05
8,0.051
8,0.043
8,0.06
8,0.047
8,0.06
8,0.049
8,0.055
8,0.052
8,0.046
8,0.055
8,0.055
8,0.054
8,0.043
8,0.045
8,0.047
8,0.047
8,0.053
8,0.056
8,0.054
8,0.054
8,0.048
8,0.05
8,0.05
8,0.047
8,0.05
8,0.041
8,0.044
8,0.048
8,0.045
8,0.05
8,0.049
8,0.053
8,0.056
8,0.048
8,0.047
8,0.053
8,0.054
8,0.056
8,0.044
8,0.06
8,0.044
8,0.053
8,0.051
8,0.052
8,0.048
8,0.047
8,0.057
8,0.048
8,0.045
8,0.056
8,0.047
8,0.045
8,0.052
10,0.045
10,0.046
10,0.05
10,0.056
10,0.049
10,0.053
10,0.047
10,0.045
10,0.051
10,0.045
10,0.049
10,0.046
10,0.046
10,0.052
10,0.05
10,0.054
10,0.054
10,0.046
10,0.051
10,0.058
10,0.049
10,0.045
10,0.049
10,0.051
10,0.047
10,0.05
10,0.05
10,0.051
10,0.053
10,0.048
10,0.053
10,0.053
10,0.055
10,0.051
10,0.052
10,0.053
10,0.044
10,0.048
10,0.049
10,0.048
10,0.053
10,0.048
10,0.046
10,0.048
10,0.054
10,0.051
10,0.052
10,0.048
10,0.043
10,0.046
10,0.057
10,0.051
10,0.052
10,0.049
10,0.05
10,0.048
10,0.051
10,0.053
10,0.051
10,0.051
10,0.052
10,0.052
10,0.047
10,0.052
10,0.051
10,0.056
10,0.052
10,0.051
10,0.047
10,0.05
10,0.052
10,0.049
10,0.05
10,0.048
10,0.048
10,0.05
10,0.049
10,0.051
10,0.053
10,0.043
10,0.051
10,0.054
10,0.047
10,0.051
10,0.047
10,0.049
10,0.053
10,0.054
10,0.051
10,0.057
10,0.052
10,0.05
10,0.049
10,0.05
10,0.049
10,0.052
10,0.051
10,0.047
10,0.053
10,0.048
12,0.049
12,0.05
12,0.049
12,0.052
12,0.051
12,0.047
12,0.047
12,0.055
12,0.051
12,0.047
12,0.053
12,0.054
12,0.05
12,0.053
12,0.049
12,0.051
12,0.054
12,0.055
12,0.052
12,0.052
12,0.044
12,0.051
12,0.05
12,0.047
12,0.047
12,0.046
12,0.049
12,0.052
12,0.046
12,0.047
12,0.048
12,0.051
12,0.053
12,0.052
12,0.051
12,0.047
12,0.053
12,0.054
12,0.051
12,0.048
12,0.051
12,0.044
12,0.044
12,0.048
12,0.05
12,0.05
12,0.052
12,0.051
12,0.047
12,0.056
12,0.05
12,0.051
12,0.052
12,0.054
12,0.049
12,0.05
12,0.046
12,0.047
12,0.049
12,0.051
12,0.052
12,0.051
12,0.051
12,0.047
12,0.048
12,0.055
12,0.047
12,0.049
12,0.054
12,0.05
12,0.055
12,0.049
12,0.045
12,0.05
12,0.047
12,0.049
12,0.052
12,0.055
12,0.046
12,0.043
12,0.051
12,0.051
12,0.049
12,0.051
12,0.049
12,0.052
12,0.049
12,0.047
12,0.047
12,0.048
12,0.056
12,0.046
12,0.052
12,0.047
12,0.05
12,0.046
12,0.051
12,0.05
12,0.046
12,0.048
14,0.052
14,0.051
14,0.052
14,0.052
14,0.052
14,0.05
14,0.055
14,0.052
14,0.047
14,0.049
14,0.053
14,0.052
14,0.049
14,0.05
14,0.047
14,0.052
14,0.049
14,0.048
14,0.046
14,0.054
14,0.05
14,0.048
14,0.05
14,0.047
14,0.052
14,0.054
14,0.052
14,0.047
14,0.047
14,0.054
14,0.053
14,0.048
14,0.048
14,0.049
14,0.055
14,0.053
14,0.049
14,0.051
14,0.048
14,0.051
14,0.05
14,0.054
14,0.05
14,0.051
14,0.053
14,0.05
14,0.05
14,0.048
14,0.054
14,0.052
14,0.05
14,0.049
14,0.048
14,0.048
14,0.049
14,0.048
14,0.05
14,0.052
14,0.051
14,0.052
14,0.049
14,0.051
14,0.051
14,0.05
14,0.051
14,0.048
14,0.049
14,0.05
14,0.048
14,0.047
14,0.051
14,0.05
14,0.054
14,0.051
14,0.052
14,0.05
14,0.049
14,0.051
14,0.049
14,0.05
14,0.046
14,0.05
14,0.044
14,0.052
14,0.051
14,0.048
14,0.051
14,0.05
14,0.05
14,0.052
14,0.049
14,0.053
14,0.048
14,0.047
14,0.049
14,0.052
14,0.052
14,0.05
14,0.054
14,0.054
16,0.051
16,0.048
16,0.052
16,0.049
16,0.047
16,0.054
16,0.049
16,0.053
16,0.049
16,0.05
16,0.051
16,0.051
16,0.05
16,0.05
16,0.051
16,0.049
16,0.05
16,0.052
16,0.047
16,0.053
16,0.05
16,0.052
16,0.052
16,0.05
16,0.054
16,0.05
16,0.049
16,0.051
16,0.05
16,0.05
16,0.049
16,0.053
16,0.05
16,0.05
16,0.048
16,0.049
16,0.049
16,0.052
16,0.049
16,0.049
16,0.052
16,0.053
16,0.052
16,0.049
16,0.048
16,0.05
16,0.05
16,0.049
16,0.047
16,0.052
16,0.048
16,0.051
16,0.053
16,0.047
16,0.046
16,0.049
16,0.049
16,0.051
16,0.05
16,0.053
16,0.05
16,0.051
16,0.053
16,0.05
16,0.05
16,0.052
16,0.05
16,0.049
16,0.051
16,0.048
16,0.054
16,0.053
16,0.049
16,0.051
16,0.049
16,0.051
16,0.049
16,0.049
16,0.053
16,0.049
16,0.049
16,0.051
16,0.049
16,0.051
16,0.051
16,0.051
16,0.051
16,0.05
16,0.052
16,0.05
16,0.05
16,0.052
16,0.049
16,0.054
16,0.049
16,0.053
16,0.052
16,0.051
16,0.053
16,0.048
18,0.048
18,0.051
18,0.05
18,0.05
18,0.051
18,0.051
18,0.048
18,0.051
18,0.052
18,0.049
18,0.048
18,0.052
18,0.051
18,0.051
18,0.052
18,0.051
18,0.047
18,0.051
18,0.052
18,0.048
18,0.047
18,0.052
18,0.05
18,0.051
18,0.049
18,0.052
18,0.048
18,0.048
18,0.052
18,0.05
18,0.048
18,0.051
18,0.051
18,0.05
18,0.052
18,0.05
18,0.049
18,0.052
18,0.046
18,0.051
18,0.051
18,0.047
18,0.051
18,0.048
18,0.047
18,0.052
18,0.047
18,0.049
18,0.05
18,0.051
18,0.05
18,0.049
18,0.05
18,0.05
18,0.052
18,0.047
18,0.048
18,0.048
18,0.05
18,0.05
18,0.048
18,0.049
18,0.052
18,0.052
18,0.05
18,0.05
18,0.049
18,0.052
18,0.05
18,0.05
18,0.051
18,0.049
18,0.052
18,0.052
18,0.051
18,0.052
18,0.051
18,0.052
18,0.051
18,0.051
18,0.05
18,0.05
18,0.05
18,0.049
18,0.052
18,0.048
18,0.049
18,0.052
18,0.05
18,0.049
18,0.051
18,0.048
18,0.048
18,0.047
18,0.05
18,0.051
18,0.053
18,0.048
18,0.047
18,0.049
20,0.05
20,0.05
20,0.051
20,0.049
20,0.051
20,0.05
20,0.051
20,0.05
20,0.052
20,0.051
20,0.048
20,0.05
20,0.051
20,0.05
20,0.051
20,0.05
20,0.048
20,0.05
20,0.051
20,0.052
20,0.051
20,0.05
20,0.051
20,0.052
20,0.05
20,0.05
20,0.051
20,0.051
20,0.05
20,0.051
20,0.051
20,0.05
20,0.05
20,0.049
20,0.049
20,0.053
20,0.051
20,0.05
20,0.051
20,0.05
20,0.052
20,0.048
20,0.05
20,0.05
20,0.049
20,0.051
20,0.051
20,0.05
20,0.052
20,0.05
20,0.048
20,0.05
20,0.05
20,0.05
20,0.05
20,0.049
20,0.049
20,0.051
20,0.048
20,0.048
20,0.05
20,0.053
20,0.048
20,0.05
20,0.05
20,0.051
20,0.049
20,0.051
20,0.05
20,0.051
20,0.051
20,0.053
20,0.05
20,0.05
20,0.048
20,0.051
20,0.048
20,0.052
20,0.05
20,0.052
20,0.052
20,0.049
20,0.049
20,0.049
20,0.049
20,0.049
20,0.051
20,0.05
20,0.051
20,0.052
20,0.051
20,0.049
20,0.049
20,0.048
20,0.05
20,0.05
20,0.052
20,0.05
20,0.05
20,0.05
22,0.051
22,0.05
22,0.05
22,0.05
22,0.049
22,0.05
22,0.05
22,0.05
22,0.051
22,0.05
22,0.05
22,0.048
22,0.051
22,0.051
22,0.051
22,0.05
22,0.049
22,0.05
22,0.05
22,0.049
22,0.051
22,0.051
22,0.05
22,0.051
22,0.049
22,0.05
22,0.051
22,0.05
22,0.05
22,0.049
22,0.049
22,0.051
22,0.048
22,0.051
22,0.051
22,0.051
22,0.049
22,0.05
22,0.05
22,0.05
22,0.049
22,0.051
22,0.051
22,0.05
22,0.05
22,0.049
22,0.051
22,0.05
22,0.05
22,0.048
22,0.049
22,0.051
22,0.049
22,0.05
22,0.049
22,0.05
22,0.051
22,0.05
22,0.05
22,0.05
22,0.051
22,0.049
22,0.05
22,0.05
22,0.051
22,0.05
22,0.051
22,0.05
22,0.051
22,0.049
22,0.048
22,0.051
22,0.049
22,0.05
22,0.05
22,0.05
22,0.052
22,0.048
22,0.049
22,0.05
22,0.051
22,0.051
22,0.051
22,0.051
22,0.051
22,0.05
22,0.05
22,0.051
22,0.05
22,0.051
22,0.051
22,0.049
22,0.05
22,0.051
22,0.051
22,0.051
22,0.05
22,0.05
22,0.05
22,0.05
