Subsampling.group,STT.Ho.estimates
2,0.088
2,0.117
2,0.111
2,0.11
2,0.126
2,0.108
2,0.097
2,0.09
2,0.148
2,0.089
2,0.123
2,0.11
2,0.084
2,0.081
2,0.102
2,0.138
2,0.126
2,0.119
2,0.102
2,0.101
2,0.088
2,0.125
2,0.11
2,0.115
2,0.081
2,0.132
2,0.092
2,0.095
2,0.124
2,0.116
2,0.126
2,0.115
2,0.106
2,0.156
2,0.141
2,0.093
2,0.103
2,0.119
2,0.096
2,0.129
2,0.116
2,0.124
2,0.114
2,0.113
2,0.094
2,0.113
2,0.128
2,0.124
2,0.123
2,0.11
2,0.128
2,0.094
2,0.11
2,0.145
2,0.101
2,0.12
2,0.088
2,0.152
2,0.113
2,0.085
2,0.085
2,0.1
2,0.13
2,0.11
2,0.126
2,0.081
2,0.126
2,0.09
2,0.116
2,0.112
2,0.104
2,0.095
2,0.08
2,0.148
2,0.134
2,0.123
2,0.11
2,0.084
2,0.083
2,0.105
2,0.156
2,0.126
2,0.124
2,0.137
2,0.083
2,0.08
2,0.099
2,0.11
2,0.108
2,0.128
2,0.11
2,0.086
2,0.099
2,0.117
2,0.096
2,0.141
2,0.108
2,0.094
2,0.099
2,0.128
4,0.125
4,0.112
4,0.095
4,0.124
4,0.1
4,0.086
4,0.097
4,0.113
4,0.111
4,0.13
4,0.097
4,0.113
4,0.124
4,0.137
4,0.108
4,0.107
4,0.131
4,0.128
4,0.082
4,0.102
4,0.114
4,0.131
4,0.121
4,0.113
4,0.125
4,0.114
4,0.096
4,0.125
4,0.088
4,0.109
4,0.11
4,0.092
4,0.102
4,0.098
4,0.114
4,0.108
4,0.108
4,0.104
4,0.103
4,0.12
4,0.125
4,0.118
4,0.099
4,0.135
4,0.089
4,0.104
4,0.1
4,0.114
4,0.09
4,0.111
4,0.107
4,0.124
4,0.117
4,0.137
4,0.095
4,0.125
4,0.129
4,0.102
4,0.097
4,0.111
4,0.106
4,0.12
4,0.121
4,0.125
4,0.139
4,0.127
4,0.117
4,0.11
4,0.116
4,0.097
4,0.125
4,0.126
4,0.13
4,0.124
4,0.113
4,0.112
4,0.115
4,0.114
4,0.138
4,0.129
4,0.107
4,0.122
4,0.101
4,0.126
4,0.123
4,0.117
4,0.104
4,0.108
4,0.099
4,0.11
4,0.116
4,0.126
4,0.107
4,0.116
4,0.107
4,0.118
4,0.125
4,0.086
4,0.125
4,0.103
6,0.119
6,0.123
6,0.121
6,0.099
6,0.111
6,0.109
6,0.128
6,0.121
6,0.12
6,0.13
6,0.098
6,0.107
6,0.121
6,0.112
6,0.106
6,0.126
6,0.113
6,0.104
6,0.111
6,0.107
6,0.111
6,0.125
6,0.116
6,0.108
6,0.12
6,0.116
6,0.126
6,0.104
6,0.113
6,0.12
6,0.121
6,0.114
6,0.112
6,0.12
6,0.109
6,0.104
6,0.109
6,0.117
6,0.117
6,0.112
6,0.113
6,0.124
6,0.116
6,0.121
6,0.109
6,0.113
6,0.104
6,0.119
6,0.119
6,0.118
6,0.117
6,0.12
6,0.135
6,0.114
6,0.102
6,0.13
6,0.116
6,0.126
6,0.105
6,0.116
6,0.11
6,0.125
6,0.123
6,0.125
6,0.123
6,0.123
6,0.115
6,0.117
6,0.115
6,0.119
6,0.113
6,0.117
6,0.105
6,0.117
6,0.094
6,0.106
6,0.104
6,0.127
6,0.11
6,0.111
6,0.128
6,0.121
6,0.132
6,0.122
6,0.122
6,0.103
6,0.119
6,0.103
6,0.126
6,0.116
6,0.12
6,0.097
6,0.11
6,0.102
6,0.115
6,0.135
6,0.112
6,0.112
6,0.114
6,0.13
8,0.121
8,0.129
8,0.12
8,0.105
8,0.12
8,0.117
8,0.111
8,0.109
8,0.113
8,0.118
8,0.118
8,0.109
8,0.109
8,0.113
8,0.114
8,0.118
8,0.129
8,0.108
8,0.132
8,0.128
8,0.125
8,0.118
8,0.117
8,0.113
8,0.125
8,0.119
8,0.107
8,0.111
8,0.106
8,0.133
8,0.119
8,0.115
8,0.1
8,0.125
8,0.117
8,0.102
8,0.109
8,0.109
8,0.117
8,0.116
8,0.113
8,0.128
8,0.127
8,0.127
8,0.115
8,0.119
8,0.118
8,0.115
8,0.124
8,0.122
8,0.129
8,0.118
8,0.116
8,0.116
8,0.121
8,0.111
8,0.111
8,0.113
8,0.123
8,0.126
8,0.111
8,0.118
8,0.113
8,0.117
8,0.131
8,0.128
8,0.096
8,0.108
8,0.117
8,0.118
8,0.114
8,0.118
8,0.106
8,0.125
8,0.122
8,0.116
8,0.129
8,0.114
8,0.113
8,0.114
8,0.112
8,0.118
8,0.119
8,0.128
8,0.124
8,0.113
8,0.119
8,0.119
8,0.118
8,0.12
8,0.11
8,0.117
8,0.118
8,0.117
8,0.118
8,0.115
8,0.116
8,0.118
8,0.108
8,0.107
10,0.112
10,0.125
10,0.104
10,0.121
10,0.111
10,0.117
10,0.115
10,0.103
