Subsampling.group,TGCP.Ho.estimates
2,0.142
2,0.145
2,0.16
2,0.152
2,0.149
2,0.159
2,0.142
2,0.147
2,0.149
2,0.149
2,0.142
2,0.163
2,0.166
2,0.139
2,0.164
2,0.142
2,0.157
2,0.159
2,0.145
2,0.149
2,0.133
2,0.159
2,0.147
2,0.15
2,0.161
2,0.168
2,0.147
2,0.164
2,0.147
2,0.142
2,0.134
2,0.164
2,0.146
2,0.157
2,0.18
2,0.157
2,0.148
2,0.148
2,0.144
2,0.154
2,0.15
2,0.146
2,0.161
2,0.155
2,0.135
2,0.149
2,0.151
2,0.156
2,0.154
2,0.155
2,0.149
2,0.15
2,0.154
2,0.159
2,0.156
2,0.143
2,0.146
2,0.145
2,0.146
2,0.154
2,0.142
2,0.149
2,0.161
2,0.163
2,0.146
2,0.141
2,0.164
2,0.151
2,0.142
2,0.166
2,0.145
2,0.152
2,0.15
2,0.139
2,0.139
2,0.144
2,0.15
2,0.148
2,0.154
2,0.144
2,0.144
2,0.151
2,0.144
2,0.168
2,0.151
2,0.136
2,0.144
2,0.151
2,0.16
2,0.166
2,0.139
2,0.136
2,0.143
2,0.146
2,0.166
2,0.147
2,0.154
2,0.144
2,0.148
2,0.15
4,0.15
4,0.141
4,0.158
4,0.147
4,0.159
4,0.165
4,0.151
4,0.155
4,0.158
4,0.158
4,0.151
4,0.152
4,0.151
4,0.16
4,0.157
4,0.155
4,0.155
4,0.149
4,0.159
4,0.14
4,0.148
4,0.153
4,0.154
4,0.161
4,0.16
4,0.158
4,0.149
4,0.151
4,0.16
4,0.152
4,0.148
4,0.156
4,0.155
4,0.162
4,0.166
4,0.148
4,0.153
4,0.156
4,0.152
4,0.162
4,0.151
4,0.159
4,0.155
4,0.155
4,0.149
4,0.147
4,0.159
4,0.153
4,0.151
4,0.146
4,0.158
4,0.16
4,0.162
4,0.155
4,0.156
4,0.155
4,0.148
4,0.149
4,0.158
4,0.171
4,0.153
4,0.162
4,0.15
4,0.145
4,0.166
4,0.148
4,0.159
4,0.16
4,0.152
4,0.155
4,0.153
4,0.146
4,0.156
4,0.161
4,0.151
4,0.153
4,0.159
4,0.152
4,0.168
4,0.156
4,0.159
4,0.16
4,0.141
4,0.167
4,0.152
4,0.163
4,0.147
4,0.15
4,0.145
4,0.15
4,0.154
4,0.158
4,0.155
4,0.159
4,0.148
4,0.151
4,0.144
4,0.154
4,0.154
4,0.164
6,0.151
6,0.154
6,0.145
6,0.161
6,0.152
6,0.159
6,0.15
6,0.152
6,0.152
6,0.16
6,0.155
6,0.148
6,0.164
6,0.151
6,0.148
6,0.16
6,0.155
6,0.154
6,0.157
6,0.156
6,0.148
6,0.162
6,0.152
6,0.162
6,0.15
6,0.15
6,0.152
6,0.163
6,0.161
6,0.147
6,0.147
6,0.155
6,0.154
6,0.15
6,0.156
6,0.165
6,0.154
6,0.155
6,0.153
6,0.159
6,0.153
6,0.154
6,0.156
6,0.158
6,0.155
6,0.156
6,0.159
6,0.167
6,0.157
6,0.149
6,0.159
6,0.144
6,0.155
6,0.151
6,0.162
6,0.161
6,0.156
6,0.15
6,0.154
6,0.149
6,0.158
6,0.158
6,0.147
6,0.147
6,0.15
6,0.153
6,0.156
6,0.147
6,0.152
6,0.148
6,0.149
6,0.157
6,0.152
6,0.157
6,0.155
6,0.143
6,0.149
6,0.152
6,0.157
6,0.157
6,0.156
6,0.155
6,0.148
6,0.154
6,0.165
6,0.154
6,0.15
6,0.157
6,0.146
6,0.159
6,0.159
6,0.154
6,0.153
6,0.15
6,0.146
6,0.152
6,0.145
6,0.15
6,0.16
6,0.165
8,0.155
8,0.153
8,0.164
8,0.166
8,0.158
8,0.154
8,0.149
8,0.156
8,0.156
8,0.149
8,0.153
8,0.152
8,0.156
8,0.156
8,0.152
8,0.155
8,0.149
8,0.156
8,0.147
8,0.165
8,0.156
8,0.148
8,0.148
8,0.151
8,0.154
8,0.16
8,0.152
8,0.161
8,0.158
8,0.158
8,0.158
8,0.155
8,0.148
8,0.162
8,0.156
8,0.153
8,0.151
8,0.152
8,0.161
8,0.158
8,0.157
8,0.152
8,0.154
8,0.148
8,0.152
8,0.156
8,0.163
8,0.153
8,0.152
8,0.154
8,0.151
8,0.149
8,0.151
8,0.161
8,0.163
8,0.148
8,0.155
8,0.159
8,0.151
8,0.153
8,0.157
8,0.157
8,0.152
8,0.154
8,0.155
8,0.149
8,0.159
8,0.158
8,0.152
8,0.155
8,0.159
8,0.152
8,0.154
8,0.149
8,0.157
8,0.154
8,0.16
8,0.146
8,0.15
8,0.159
8,0.15
8,0.153
8,0.155
8,0.156
8,0.161
8,0.158
8,0.153
8,0.149
8,0.153
8,0.161
8,0.16
8,0.156
8,0.151
8,0.164
8,0.153
8,0.152
8,0.158
8,0.157
8,0.161
8,0.154
10,0.159
10,0.16
10,0.149
10,0.15
10,0.157
10,0.151
10,0.158
10,0.155
10,0.154
10,0.153
10,0.156
10,0.148
10,0.152
10,0.153
10,0.151
10,0.15
10,0.157
10,0.147
10,0.153
10,0.152
10,0.151
10,0.16
10,0.154
10,0.15
10,0.154
10,0.155
10,0.151
10,0.161
10,0.155
10,0.147
10,0.158
10,0.154
10,0.153
10,0.155
10,0.159
10,0.162
10,0.152
10,0.152
10,0.161
10,0.151
10,0.15
10,0.156
10,0.151
10,0.151
10,0.154
10,0.164
10,0.156
10,0.149
10,0.144
10,0.155
10,0.156
10,0.153
10,0.155
10,0.148
10,0.153
10,0.151
10,0.162
10,0.154
10,0.161
10,0.148
10,0.154
10,0.154
10,0.156
10,0.157
10,0.157
10,0.154
10,0.154
10,0.157
10,0.148
10,0.152
10,0.157
10,0.154
10,0.155
10,0.154
10,0.154
10,0.155
10,0.152
10,0.154
10,0.156
10,0.151
10,0.153
10,0.155
10,0.153
10,0.156
10,0.153
10,0.149
10,0.159
10,0.152
10,0.146
10,0.149
10,0.148
10,0.155
10,0.156
10,0.158
10,0.151
10,0.153
10,0.152
10,0.154
10,0.154
10,0.156
12,0.151
12,0.149
12,0.15
12,0.153
12,0.155
12,0.149
12,0.154
12,0.157
12,0.151
12,0.159
12,0.149
12,0.158
12,0.159
12,0.152
12,0.15
12,0.16
12,0.156
12,0.154
12,0.155
12,0.156
12,0.154
12,0.152
12,0.155
12,0.155
12,0.155
12,0.158
12,0.153
12,0.153
12,0.156
12,0.156
12,0.153
12,0.157
12,0.154
12,0.152
12,0.152
12,0.157
12,0.153
12,0.153
12,0.155
12,0.154
12,0.155
12,0.158
12,0.15
12,0.154
12,0.152
12,0.157
12,0.152
12,0.152
12,0.158
12,0.155
12,0.153
12,0.153
12,0.155
12,0.156
12,0.157
12,0.157
12,0.153
12,0.151
12,0.152
12,0.157
12,0.156
12,0.154
12,0.154
12,0.152
12,0.154
12,0.156
12,0.155
12,0.148
12,0.152
12,0.156
12,0.152
12,0.157
12,0.156
12,0.151
12,0.153
12,0.149
12,0.151
12,0.156
12,0.153
12,0.152
12,0.155
12,0.154
12,0.155
12,0.153
12,0.156
12,0.153
12,0.159
12,0.157
12,0.153
12,0.149
12,0.154
12,0.151
12,0.159
