Subsampling.group,MPO.Hs.estimates
2,0.109
2,0.134
2,0.11
2,0.141
2,0.123
2,0.105
2,0.105
2,0.127
2,0.105
2,0.112
2,0.118
2,0.129
2,0.123
2,0.111
2,0.095
2,0.099
2,0.099
2,0.117
2,0.101
2,0.102
2,0.102
2,0.103
2,0.123
2,0.12
2,0.12
2,0.142
2,0.12
2,0.103
2,0.108
2,0.115
2,0.104
2,0.103
2,0.11
2,0.113
2,0.103
2,0.103
2,0.103
2,0.105
2,0.126
2,0.135
2,0.12
2,0.118
2,0.096
2,0.11
2,0.115
2,0.103
2,0.136
2,0.12
2,0.124
2,0.103
2,0.105
2,0.098
2,0.126
2,0.109
2,0.1
2,0.136
2,0.104
2,0.125
2,0.123
2,0.104
2,0.126
2,0.097
2,0.12
2,0.123
2,0.104
2,0.115
2,0.124
2,0.103
2,0.11
2,0.127
2,0.117
2,0.111
2,0.11
2,0.108
2,0.111
2,0.117
2,0.108
2,0.11
2,0.124
2,0.124
2,0.135
2,0.127
2,0.115
2,0.125
2,0.125
2,0.116
2,0.096
2,0.091
2,0.119
2,0.105
2,0.103
2,0.104
2,0.117
2,0.125
2,0.132
2,0.101
2,0.101
2,0.119
2,0.1
2,0.116
4,0.129
4,0.128
4,0.119
4,0.127
4,0.122
4,0.114
4,0.11
4,0.106
4,0.12
4,0.109
4,0.124
4,0.119
4,0.117
4,0.101
4,0.118
4,0.12
4,0.129
4,0.128
4,0.125
4,0.136
4,0.127
4,0.117
4,0.112
4,0.121
4,0.104
4,0.122
4,0.125
4,0.12
4,0.122
4,0.118
4,0.112
4,0.107
4,0.128
4,0.121
4,0.116
4,0.127
4,0.124
4,0.117
4,0.111
4,0.124
4,0.126
4,0.122
4,0.112
4,0.13
4,0.124
4,0.119
4,0.119
4,0.126
4,0.113
4,0.12
4,0.124
4,0.117
4,0.118
4,0.127
4,0.122
4,0.107
4,0.105
4,0.12
4,0.115
4,0.119
4,0.118
4,0.118
4,0.125
4,0.113
4,0.105
4,0.111
4,0.136
4,0.127
4,0.118
4,0.12
4,0.11
4,0.116
4,0.129
4,0.12
4,0.119
4,0.117
4,0.119
4,0.126
4,0.12
4,0.118
4,0.125
4,0.109
4,0.121
4,0.117
4,0.107
4,0.114
4,0.122
4,0.122
4,0.12
4,0.118
4,0.128
4,0.123
4,0.13
4,0.122
4,0.107
4,0.116
4,0.122
4,0.121
4,0.112
4,0.127
6,0.12
6,0.12
6,0.111
6,0.123
6,0.116
6,0.123
6,0.118
6,0.126
6,0.116
6,0.122
6,0.118
6,0.124
6,0.125
6,0.121
6,0.122
6,0.117
6,0.125
6,0.111
6,0.121
6,0.117
6,0.123
6,0.123
6,0.114
6,0.114
6,0.132
6,0.126
6,0.113
6,0.119
6,0.117
6,0.129
6,0.123
6,0.13
6,0.124
6,0.131
6,0.123
6,0.124
6,0.115
6,0.129
6,0.114
6,0.11
6,0.117
6,0.118
6,0.116
6,0.115
6,0.118
6,0.123
6,0.117
6,0.118
6,0.128
6,0.118
6,0.129
6,0.123
6,0.123
6,0.128
6,0.123
6,0.117
6,0.115
6,0.123
6,0.117
6,0.118
6,0.128
6,0.117
6,0.129
6,0.122
6,0.117
6,0.118
6,0.112
6,0.125
6,0.125
6,0.115
6,0.12
6,0.127
6,0.119
6,0.118
6,0.123
6,0.125
6,0.127
6,0.124
6,0.123
6,0.121
6,0.122
6,0.114
6,0.119
6,0.128
6,0.119
6,0.107
6,0.113
6,0.117
6,0.122
6,0.127
6,0.122
6,0.118
6,0.122
6,0.123
6,0.123
6,0.13
6,0.118
6,0.13
6,0.116
6,0.116
8,0.117
8,0.113
8,0.12
8,0.12
8,0.123
8,0.12
8,0.123
8,0.121
8,0.123
8,0.111
8,0.131
8,0.121
8,0.125
8,0.12
8,0.116
8,0.123
8,0.127
8,0.121
8,0.116
8,0.131
8,0.118
8,0.112
8,0.123
8,0.12
8,0.115
8,0.126
8,0.12
8,0.123
8,0.116
8,0.119
8,0.124
8,0.119
8,0.115
8,0.115
8,0.126
8,0.116
8,0.119
8,0.12
8,0.123
8,0.123
8,0.12
8,0.117
8,0.116
8,0.123
8,0.128
8,0.127
8,0.121
8,0.122
8,0.129
8,0.116
8,0.129
8,0.12
8,0.114
8,0.112
8,0.12
8,0.12
8,0.123
8,0.114
8,0.127
8,0.118
8,0.123
8,0.12
8,0.122
8,0.117
8,0.118
8,0.125
8,0.119
8,0.124
8,0.121
8,0.126
8,0.118
8,0.115
8,0.12
8,0.134
8,0.125
8,0.125
8,0.118
8,0.121
8,0.123
8,0.114
8,0.125
8,0.122
8,0.117
8,0.128
8,0.123
8,0.119
8,0.117
8,0.119
8,0.119
8,0.108
8,0.127
8,0.124
8,0.128
8,0.118
8,0.116
8,0.115
8,0.12
8,0.119
8,0.116
8,0.116
10,0.12
10,0.118
10,0.121
10,0.11
10,0.121
10,0.123
10,0.127
10,0.119
10,0.127
10,0.116
10,0.118
10,0.118
10,0.124
10,0.119
10,0.118
10,0.114
10,0.109
10,0.118
10,0.127
10,0.118
10,0.118
10,0.115
10,0.117
10,0.122
10,0.125
10,0.122
10,0.122
10,0.124
10,0.118
10,0.116
10,0.12
10,0.121
10,0.113
10,0.115
10,0.122
10,0.121
10,0.118
10,0.125
10,0.124
10,0.12
10,0.117
10,0.12
10,0.125
10,0.12
10,0.124
10,0.119
10,0.117
10,0.118
10,0.121
10,0.116
10,0.124
10,0.121
10,0.125
10,0.121
10,0.126
10,0.114
10,0.119
10,0.119
10,0.118
10,0.126
10,0.119
10,0.115
10,0.121
10,0.122
10,0.119
10,0.116
10,0.118
10,0.116
10,0.118
10,0.117
10,0.118
10,0.111
10,0.12
10,0.127
10,0.118
10,0.126
10,0.119
10,0.125
10,0.118
10,0.125
10,0.125
10,0.129
10,0.121
10,0.115
10,0.123
10,0.117
10,0.116
10,0.118
10,0.114
10,0.125
10,0.124
10,0.119
10,0.118
10,0.121
10,0.114
10,0.12
10,0.124
10,0.123
10,0.115
10,0.119
12,0.116
12,0.12
12,0.12
12,0.116
12,0.122
12,0.109
12,0.123
12,0.122
12,0.124
12,0.121
12,0.126
12,0.119
12,0.117
12,0.114
12,0.123
12,0.117
12,0.12
12,0.129
12,0.119
12,0.121
12,0.121
12,0.123
12,0.123
12,0.122
12,0.119
12,0.126
12,0.118
12,0.122
12,0.119
12,0.121
12,0.122
12,0.125
12,0.122
12,0.12
12,0.12
12,0.12
12,0.119
12,0.117
12,0.126
12,0.118
12,0.119
12,0.117
