Subsampling.group,PTP.Hs.estimates
2,0.051
2,0.046
2,0.062
2,0.045
2,0.044
2,0.07
2,0.046
2,0.06
2,0.055
2,0.05
2,0.047
2,0.049
2,0.047
2,0.043
2,0.046
2,0.056
2,0.052
2,0.044
2,0.048
2,0.043
2,0.045
2,0.05
2,0.047
2,0.058
2,0.044
2,0.061
2,0.046
2,0.057
2,0.055
2,0.057
2,0.05
2,0.043
2,0.061
2,0.054
2,0.069
2,0.05
2,0.063
2,0.049
2,0.044
2,0.043
2,0.055
2,0.046
2,0.051
2,0.047
2,0.049
2,0.052
2,0.064
2,0.05
2,0.059
2,0.045
2,0.05
2,0.045
2,0.053
2,0.058
2,0.055
2,0.052
2,0.057
2,0.046
2,0.057
2,0.062
2,0.047
2,0.06
2,0.069
2,0.044
2,0.05
2,0.057
2,0.057
2,0.05
2,0.055
2,0.058
2,0.05
2,0.053
2,0.06
2,0.045
2,0.05
2,0.053
2,0.062
2,0.058
2,0.067
2,0.042
2,0.055
2,0.049
2,0.068
2,0.05
2,0.056
2,0.051
2,0.049
2,0.044
2,0.055
2,0.053
2,0.051
2,0.055
2,0.069
2,0.044
2,0.057
2,0.065
2,0.05
2,0.045
2,0.047
2,0.055
4,0.054
4,0.061
4,0.054
4,0.06
4,0.053
4,0.059
4,0.063
4,0.058
4,0.057
4,0.062
4,0.062
4,0.057
4,0.052
4,0.065
4,0.058
4,0.058
4,0.06
4,0.052
4,0.056
4,0.054
4,0.057
4,0.049
4,0.055
4,0.052
4,0.059
4,0.055
4,0.056
4,0.058
4,0.059
4,0.055
4,0.064
4,0.054
4,0.059
4,0.056
4,0.059
4,0.053
4,0.051
4,0.048
4,0.06
4,0.052
4,0.051
4,0.059
4,0.047
4,0.057
4,0.057
4,0.058
4,0.06
4,0.068
4,0.064
4,0.057
4,0.063
4,0.059
4,0.054
4,0.056
4,0.056
4,0.055
4,0.051
4,0.061
4,0.058
4,0.059
4,0.062
4,0.054
4,0.063
4,0.058
4,0.044
4,0.059
4,0.056
4,0.054
4,0.045
4,0.055
4,0.059
4,0.059
4,0.056
4,0.066
4,0.05
4,0.06
4,0.055
4,0.054
4,0.054
4,0.052
4,0.051
4,0.055
4,0.056
4,0.055
4,0.06
4,0.066
4,0.056
4,0.058
4,0.05
4,0.059
4,0.053
4,0.056
4,0.053
4,0.057
4,0.065
4,0.048
4,0.063
4,0.055
4,0.054
4,0.057
6,0.056
6,0.057
6,0.057
6,0.056
6,0.055
6,0.054
6,0.052
6,0.048
6,0.059
6,0.053
6,0.055
6,0.058
6,0.051
6,0.055
6,0.062
6,0.06
6,0.056
6,0.062
6,0.053
6,0.058
6,0.06
6,0.058
6,0.056
6,0.053
6,0.054
6,0.053
6,0.055
6,0.06
6,0.056
6,0.062
6,0.054
6,0.057
6,0.059
6,0.055
6,0.05
6,0.052
6,0.058
6,0.055
6,0.056
6,0.054
6,0.051
6,0.051
6,0.052
6,0.057
6,0.06
6,0.051
6,0.059
6,0.047
6,0.056
6,0.052
6,0.059
6,0.059
6,0.064
6,0.05
6,0.053
6,0.057
6,0.054
6,0.059
6,0.052
6,0.051
6,0.054
6,0.058
6,0.057
6,0.06
6,0.06
6,0.058
6,0.056
6,0.053
6,0.057
6,0.06
6,0.058
6,0.051
6,0.06
6,0.063
6,0.053
6,0.051
6,0.059
6,0.06
6,0.052
6,0.061
6,0.052
6,0.058
6,0.063
6,0.052
6,0.062
6,0.061
6,0.052
6,0.064
6,0.063
6,0.06
6,0.059
6,0.059
6,0.056
6,0.055
6,0.052
6,0.055
6,0.052
6,0.052
6,0.056
6,0.053
8,0.064
8,0.058
8,0.057
8,0.058
8,0.056
8,0.054
8,0.056
8,0.059
8,0.055
8,0.058
8,0.056
8,0.057
8,0.059
8,0.057
8,0.06
8,0.063
8,0.057
8,0.061
8,0.059
8,0.056
8,0.056
8,0.058
8,0.061
8,0.055
8,0.056
8,0.057
8,0.056
8,0.055
8,0.056
8,0.057
8,0.059
8,0.056
8,0.06
8,0.057
8,0.054
8,0.054
8,0.06
8,0.052
8,0.055
8,0.062
8,0.057
8,0.056
8,0.059
8,0.054
8,0.058
8,0.051
8,0.055
8,0.057
8,0.053
8,0.064
8,0.055
8,0.063
8,0.056
8,0.06
8,0.056
8,0.055
8,0.059
8,0.059
8,0.056
8,0.051
8,0.052
8,0.054
8,0.054
8,0.057
8,0.06
8,0.06
8,0.058
8,0.056
8,0.054
8,0.057
8,0.054
8,0.055
8,0.05
8,0.053
8,0.051
8,0.055
8,0.056
8,0.056
8,0.058
8,0.06
8,0.056
8,0.054
8,0.058
8,0.06
8,0.062
8,0.052
8,0.063
8,0.055
8,0.06
8,0.056
8,0.059
8,0.057
8,0.052
8,0.061
8,0.057
8,0.053
8,0.06
8,0.054
8,0.055
8,0.058
10,0.052
10,0.055
10,0.056
10,0.059
10,0.056
10,0.06
10,0.054
10,0.055
10,0.057
10,0.053
10,0.055
10,0.053
10,0.054
10,0.059
10,0.054
10,0.058
10,0.058
10,0.052
10,0.058
10,0.062
10,0.056
10,0.053
10,0.054
10,0.059
10,0.054
10,0.057
10,0.055
10,0.057
10,0.058
10,0.054
10,0.059
10,0.059
10,0.059
10,0.058
10,0.056
10,0.058
10,0.052
10,0.055
10,0.054
10,0.055
10,0.059
10,0.055
10,0.055
10,0.054
10,0.059
10,0.059
10,0.058
10,0.055
10,0.052
10,0.054
10,0.061
10,0.056
10,0.056
10,0.054
10,0.056
10,0.054
10,0.057
10,0.058
10,0.057
10,0.059
10,0.057
10,0.057
10,0.054
10,0.056
10,0.056
10,0.061
10,0.058
10,0.057
10,0.054
10,0.056
10,0.058
10,0.057
10,0.057
10,0.054
10,0.055
10,0.055
10,0.056
10,0.057
10,0.056
10,0.052
10,0.057
10,0.058
10,0.054
10,0.056
10,0.053
10,0.055
10,0.058
10,0.06
10,0.057
10,0.061
10,0.056
10,0.058
10,0.056
10,0.056
10,0.055
10,0.061
10,0.057
10,0.054
10,0.059
10,0.055
12,0.056
12,0.056
12,0.054
12,0.057
12,0.056
12,0.055
12,0.056
12,0.061
12,0.057
12,0.055
12,0.058
12,0.061
12,0.056
12,0.06
12,0.055
12,0.057
12,0.059
12,0.06
12,0.056
12,0.059
12,0.052
12,0.057
12,0.057
12,0.054
12,0.056
12,0.055
12,0.056
12,0.058
12,0.055
12,0.055
12,0.054
12,0.057
12,0.06
12,0.058
12,0.056
12,0.055
12,0.059
12,0.059
12,0.058
12,0.054
12,0.058
12,0.053
12,0.054
12,0.054
12,0.056
12,0.059
12,0.057
12,0.056
12,0.054
12,0.06
12,0.055
12,0.057
12,0.057
12,0.058
12,0.056
12,0.056
12,0.054
12,0.053
12,0.056
12,0.057
12,0.058
12,0.055
12,0.058
12,0.055
12,0.054
12,0.059
12,0.057
12,0.054
12,0.057
12,0.056
12,0.058
12,0.057
12,0.054
12,0.058
12,0.055
12,0.057
12,0.057
12,0.06
12,0.056
12,0.052
12,0.057
12,0.056
12,0.055
12,0.058
12,0.056
12,0.058
12,0.055
12,0.054
12,0.054
12,0.054
12,0.06
12,0.054
12,0.056
12,0.054
12,0.056
12,0.054
12,0.056
12,0.057
12,0.054
12,0.054
14,0.057
14,0.058
14,0.058
14,0.058
14,0.058
14,0.056
14,0.059
14,0.057
14,0.054
14,0.055
14,0.059
14,0.058
14,0.056
14,0.056
14,0.053
14,0.058
14,0.057
14,0.055
14,0.053
14,0.061
14,0.056
14,0.055
14,0.054
14,0.055
14,0.057
14,0.059
14,0.057
14,0.055
14,0.054
14,0.06
14,0.058
14,0.054
14,0.054
14,0.055
14,0.059
14,0.059
14,0.053
14,0.057
14,0.056
14,0.057
14,0.055
14,0.06
14,0.056
14,0.056
14,0.057
14,0.057
14,0.057
14,0.055
14,0.059
14,0.058
14,0.058
14,0.055
14,0.056
14,0.055
14,0.056
14,0.054
14,0.055
14,0.057
14,0.058
14,0.058
14,0.055
14,0.057
14,0.057
14,0.056
14,0.056
14,0.054
14,0.055
14,0.055
14,0.055
14,0.055
14,0.057
14,0.056
14,0.059
14,0.057
14,0.058
14,0.057
14,0.054
14,0.056
14,0.055
14,0.057
14,0.054
14,0.056
14,0.052
14,0.057
14,0.057
14,0.055
14,0.056
14,0.055
14,0.056
14,0.057
14,0.055
14,0.058
14,0.056
14,0.054
14,0.055
14,0.057
14,0.058
14,0.056
14,0.061
14,0.059
16,0.058
16,0.057
16,0.058
16,0.056
16,0.054
16,0.059
16,0.055
16,0.059
16,0.055
16,0.055
16,0.055
16,0.058
16,0.056
16,0.057
16,0.058
16,0.056
16,0.056
16,0.057
16,0.054
16,0.058
16,0.057
16,0.057
16,0.058
16,0.055
16,0.059
16,0.056
16,0.055
16,0.057
16,0.056
16,0.055
16,0.055
16,0.058
16,0.057
16,0.057
16,0.054
16,0.056
16,0.057
16,0.057
16,0.055
16,0.056
16,0.057
16,0.059
16,0.057
16,0.057
16,0.055
16,0.056
16,0.056
16,0.055
16,0.055
16,0.058
16,0.055
16,0.058
16,0.058
16,0.055
16,0.054
16,0.056
16,0.056
16,0.057
16,0.056
16,0.057
16,0.056
16,0.057
16,0.057
16,0.055
16,0.056
16,0.058
16,0.057
16,0.055
16,0.058
16,0.055
16,0.058
16,0.059
16,0.055
16,0.057
16,0.055
16,0.057
16,0.056
16,0.055
16,0.058
16,0.055
16,0.055
16,0.057
16,0.056
16,0.058
16,0.056
16,0.056
16,0.055
16,0.057
16,0.057
16,0.056
16,0.056
16,0.057
16,0.056
16,0.059
16,0.055
16,0.057
16,0.058
16,0.057
16,0.057
16,0.056
18,0.055
18,0.057
18,0.057
18,0.055
18,0.057
18,0.058
18,0.055
18,0.057
18,0.056
18,0.055
18,0.055
18,0.057
18,0.055
18,0.056
18,0.057
18,0.056
18,0.054
18,0.057
18,0.057
18,0.056
18,0.055
18,0.057
18,0.056
18,0.057
18,0.055
18,0.058
18,0.055
18,0.055
18,0.058
18,0.057
18,0.055
18,0.056
18,0.057
18,0.056
18,0.057
18,0.057
18,0.056
18,0.056
18,0.053
18,0.057
18,0.057
18,0.055
18,0.057
18,0.055
18,0.054
18,0.058
18,0.055
18,0.055
18,0.056
18,0.056
18,0.056
18,0.056
18,0.055
18,0.056
18,0.058
18,0.054
18,0.055
18,0.054
18,0.056
18,0.056
18,0.055
18,0.055
18,0.057
18,0.058
18,0.057
18,0.056
18,0.055
18,0.057
18,0.057
18,0.057
18,0.057
18,0.055
18,0.057
18,0.058
18,0.057
18,0.058
18,0.057
18,0.057
18,0.057
18,0.058
18,0.057
18,0.056
18,0.056
18,0.056
18,0.057
18,0.055
18,0.056
18,0.057
18,0.056
18,0.056
18,0.057
18,0.056
18,0.054
18,0.054
18,0.056
18,0.056
18,0.059
18,0.054
18,0.054
18,0.056
20,0.057
20,0.057
20,0.057
20,0.056
20,0.057
20,0.057
20,0.057
20,0.057
20,0.057
20,0.058
20,0.055
20,0.056
20,0.057
20,0.056
20,0.056
20,0.056
20,0.055
20,0.056
20,0.057
20,0.057
20,0.057
20,0.056
20,0.057
20,0.058
20,0.056
20,0.056
20,0.057
20,0.057
20,0.055
20,0.057
20,0.057
20,0.057
20,0.056
20,0.055
20,0.056
20,0.057
20,0.056
20,0.057
20,0.057
20,0.057
20,0.057
20,0.055
20,0.055
20,0.056
20,0.056
20,0.057
20,0.058
20,0.056
20,0.058
20,0.056
20,0.055
20,0.056
20,0.057
20,0.055
20,0.056
20,0.056
20,0.055
20,0.056
20,0.054
20,0.055
20,0.056
20,0.058
20,0.056
20,0.056
20,0.056
20,0.057
20,0.056
20,0.056
20,0.056
20,0.058
20,0.057
20,0.058
20,0.056
20,0.056
20,0.055
20,0.056
20,0.055
20,0.056
20,0.056
20,0.058
20,0.057
20,0.055
20,0.056
20,0.055
20,0.056
20,0.055
20,0.056
20,0.056
20,0.056
20,0.058
20,0.056
20,0.055
20,0.056
20,0.055
20,0.056
20,0.056
20,0.057
20,0.056
20,0.057
20,0.056
22,0.057
22,0.056
22,0.056
22,0.056
22,0.056
22,0.056
22,0.056
22,0.056
22,0.056
22,0.056
22,0.056
22,0.055
22,0.057
22,0.057
22,0.057
22,0.056
22,0.056
22,0.055
22,0.057
22,0.055
22,0.057
22,0.057
22,0.056
22,0.056
22,0.056
22,0.056
22,0.056
22,0.056
22,0.057
22,0.055
22,0.056
22,0.056
22,0.055
22,0.056
22,0.057
22,0.056
22,0.056
22,0.056
22,0.057
22,0.056
22,0.056
22,0.057
22,0.057
22,0.056
22,0.056
22,0.055
22,0.057
22,0.057
22,0.056
22,0.055
22,0.055
22,0.056
22,0.056
22,0.056
22,0.055
22,0.056
22,0.057
22,0.056
22,0.056
22,0.056
22,0.057
22,0.055
22,0.056
22,0.056
22,0.056
22,0.056
22,0.057
22,0.056
22,0.057
22,0.056
22,0.055
22,0.057
22,0.056
22,0.056
22,0.056
22,0.057
22,0.057
22,0.055
22,0.056
22,0.056
22,0.057
22,0.056
22,0.057
22,0.057
22,0.057
22,0.056
22,0.055
22,0.057
22,0.057
22,0.057
22,0.057
22,0.056
22,0.056
22,0.057
22,0.056
22,0.057
22,0.056
22,0.056
22,0.056
22,0.057
