Subsampling.group,STT.Hs.estimates
2,0.108
2,0.127
2,0.115
2,0.125
2,0.14
2,0.122
2,0.116
2,0.106
2,0.146
2,0.108
2,0.139
2,0.118
2,0.104
2,0.102
2,0.117
2,0.142
2,0.129
2,0.122
2,0.114
2,0.11
2,0.103
2,0.134
2,0.124
2,0.127
2,0.102
2,0.135
2,0.112
2,0.109
2,0.129
2,0.12
2,0.14
2,0.126
2,0.114
2,0.149
2,0.144
2,0.102
2,0.111
2,0.124
2,0.114
2,0.132
2,0.136
2,0.132
2,0.125
2,0.12
2,0.107
2,0.121
2,0.134
2,0.129
2,0.139
2,0.126
2,0.128
2,0.11
2,0.11
2,0.152
2,0.115
2,0.124
2,0.103
2,0.152
2,0.12
2,0.105
2,0.105
2,0.118
2,0.134
2,0.119
2,0.136
2,0.102
2,0.136
2,0.11
2,0.123
2,0.121
2,0.11
2,0.109
2,0.097
2,0.142
2,0.133
2,0.139
2,0.119
2,0.107
2,0.104
2,0.117
2,0.149
2,0.137
2,0.132
2,0.133
2,0.104
2,0.1
2,0.104
2,0.119
2,0.119
2,0.131
2,0.122
2,0.099
2,0.108
2,0.127
2,0.115
2,0.148
2,0.122
2,0.108
2,0.11
2,0.128
4,0.128
4,0.124
4,0.113
4,0.13
4,0.119
4,0.107
4,0.114
4,0.125
4,0.12
4,0.134
4,0.114
4,0.123
4,0.132
4,0.137
4,0.122
4,0.117
4,0.137
4,0.133
4,0.105
4,0.116
4,0.124
4,0.134
4,0.127
4,0.124
4,0.131
4,0.129
4,0.113
4,0.133
4,0.105
4,0.122
4,0.126
4,0.112
4,0.112
4,0.114
4,0.124
4,0.119
4,0.12
4,0.115
4,0.117
4,0.124
4,0.135
4,0.126
4,0.111
4,0.14
4,0.109
4,0.114
4,0.115
4,0.123
4,0.107
4,0.121
4,0.126
4,0.132
4,0.128
4,0.139
4,0.115
4,0.134
4,0.137
4,0.117
4,0.115
4,0.119
4,0.112
4,0.128
4,0.124
4,0.13
4,0.144
4,0.132
4,0.128
4,0.123
4,0.123
4,0.115
4,0.133
4,0.131
4,0.134
4,0.127
4,0.124
4,0.128
4,0.124
4,0.125
4,0.144
4,0.136
4,0.119
4,0.127
4,0.119
4,0.135
4,0.136
4,0.123
4,0.116
4,0.117
4,0.115
4,0.121
4,0.125
4,0.13
4,0.118
4,0.127
4,0.118
4,0.13
4,0.131
4,0.107
4,0.133
4,0.118
6,0.125
6,0.132
6,0.13
6,0.118
6,0.124
6,0.123
6,0.134
6,0.131
6,0.127
6,0.133
6,0.115
6,0.119
6,0.127
6,0.122
6,0.12
6,0.133
6,0.125
6,0.116
6,0.12
6,0.119
6,0.123
6,0.134
6,0.126
6,0.119
6,0.126
6,0.127
6,0.13
6,0.119
6,0.124
6,0.126
6,0.132
6,0.127
6,0.123
6,0.132
6,0.12
6,0.119
6,0.124
6,0.124
6,0.128
6,0.124
6,0.123
6,0.131
6,0.126
6,0.13
6,0.121
6,0.123
6,0.119
6,0.13
6,0.123
6,0.129
6,0.124
6,0.133
6,0.138
6,0.122
6,0.115
6,0.138
6,0.127
6,0.131
6,0.119
6,0.124
6,0.123
6,0.132
6,0.132
6,0.133
6,0.132
6,0.129
6,0.125
6,0.128
6,0.126
6,0.127
6,0.123
6,0.129
6,0.118
6,0.129
6,0.112
6,0.117
6,0.119
6,0.136
6,0.123
6,0.122
6,0.133
6,0.131
6,0.138
6,0.128
6,0.129
6,0.119
6,0.127
6,0.117
6,0.13
6,0.125
6,0.126
6,0.113
6,0.119
6,0.119
6,0.126
6,0.14
6,0.125
6,0.122
6,0.124
6,0.132
8,0.129
8,0.135
8,0.128
8,0.12
8,0.131
8,0.128
8,0.123
8,0.121
8,0.125
8,0.129
8,0.127
8,0.123
8,0.122
8,0.121
8,0.127
8,0.126
8,0.133
8,0.119
8,0.135
8,0.135
8,0.132
8,0.127
8,0.126
8,0.123
8,0.132
8,0.128
8,0.118
8,0.124
8,0.12
8,0.136
8,0.126
8,0.125
8,0.116
8,0.132
8,0.13
8,0.117
8,0.123
8,0.121
8,0.129
8,0.128
8,0.123
8,0.134
8,0.135
8,0.134
8,0.128
8,0.128
8,0.127
8,0.129
8,0.131
8,0.129
8,0.134
8,0.131
8,0.125
8,0.128
8,0.129
8,0.121
8,0.123
8,0.125
8,0.129
8,0.132
8,0.122
8,0.124
8,0.124
8,0.128
8,0.136
8,0.133
8,0.115
8,0.121
8,0.128
8,0.128
8,0.125
8,0.127
8,0.121
8,0.131
8,0.13
8,0.125
8,0.136
8,0.125
8,0.123
8,0.125
8,0.123
8,0.128
8,0.128
8,0.136
8,0.131
8,0.123
8,0.129
8,0.126
8,0.127
8,0.128
8,0.123
8,0.126
8,0.13
8,0.13
8,0.128
8,0.125
8,0.126
8,0.127
8,0.118
8,0.119
10,0.122
10,0.133
10,0.118
10,0.129
10,0.122
10,0.124
10,0.125
10,0.116
10,0.12
10,0.122
10,0.122
10,0.118
10,0.128
10,0.127
10,0.127
10,0.131
10,0.124
10,0.128
10,0.121
10,0.12
10,0.132
10,0.124
10,0.128
10,0.123
10,0.124
10,0.124
10,0.131
10,0.124
10,0.126
10,0.128
10,0.131
10,0.131
10,0.126
10,0.125
10,0.124
10,0.126
10,0.126
10,0.127
10,0.128
10,0.12
10,0.123
10,0.132
10,0.128
10,0.127
10,0.128
10,0.124
10,0.125
10,0.125
10,0.123
10,0.119
10,0.125
10,0.118
10,0.123
10,0.132
10,0.124
10,0.13
10,0.125
10,0.122
10,0.132
10,0.132
10,0.123
10,0.119
10,0.127
10,0.131
10,0.13
10,0.121
10,0.132
10,0.123
10,0.117
10,0.126
10,0.135
10,0.121
10,0.132
10,0.121
10,0.121
10,0.12
10,0.123
10,0.123
10,0.118
10,0.124
10,0.132
10,0.124
10,0.125
10,0.134
10,0.128
10,0.126
10,0.116
10,0.117
10,0.13
10,0.126
10,0.123
10,0.124
10,0.123
10,0.119
10,0.125
10,0.128
10,0.136
10,0.124
10,0.129
10,0.133
12,0.133
12,0.125
12,0.125
12,0.129
12,0.119
12,0.127
12,0.125
12,0.123
12,0.125
12,0.126
12,0.128
12,0.131
12,0.13
12,0.125
12,0.131
12,0.128
12,0.129
12,0.125
12,0.126
12,0.127
12,0.128
12,0.124
12,0.126
12,0.121
12,0.133
12,0.127
12,0.132
12,0.126
12,0.117
12,0.131
12,0.129
12,0.127
12,0.12
12,0.129
12,0.131
12,0.128
12,0.125
12,0.126
12,0.125
12,0.122
12,0.124
12,0.125
12,0.127
12,0.126
12,0.126
12,0.125
12,0.128
12,0.127
12,0.126
12,0.121
12,0.124
12,0.126
12,0.124
12,0.127
12,0.126
12,0.132
12,0.131
12,0.125
12,0.122
12,0.128
12,0.127
12,0.121
12,0.128
12,0.127
12,0.124
12,0.124
12,0.121
12,0.12
12,0.127
12,0.129
12,0.125
12,0.123
12,0.128
12,0.122
12,0.127
12,0.127
12,0.124
12,0.129
12,0.119
12,0.128
12,0.124
12,0.128
12,0.127
12,0.128
12,0.125
12,0.126
12,0.126
12,0.123
12,0.123
12,0.127
12,0.128
12,0.121
12,0.126
12,0.123
12,0.132
12,0.121
12,0.123
12,0.127
12,0.129
12,0.121
14,0.125
14,0.126
14,0.127
14,0.127
14,0.127
14,0.122
14,0.124
14,0.125
14,0.125
14,0.13
14,0.122
14,0.133
14,0.132
14,0.122
14,0.126
14,0.128
14,0.126
14,0.129
14,0.12
14,0.121
14,0.129
14,0.123
14,0.127
14,0.125
14,0.127
14,0.128
14,0.126
14,0.127
14,0.126
14,0.121
14,0.129
14,0.127
14,0.13
14,0.128
14,0.123
14,0.125
14,0.126
14,0.134
14,0.124
14,0.124
14,0.125
14,0.125
14,0.127
14,0.129
14,0.122
14,0.122
14,0.123
14,0.124
14,0.126
14,0.124
14,0.131
14,0.131
14,0.128
14,0.127
14,0.126
14,0.129
14,0.127
14,0.124
14,0.125
14,0.123
14,0.128
14,0.127
14,0.126
14,0.127
14,0.132
14,0.126
14,0.126
14,0.119
14,0.128
14,0.125
14,0.121
14,0.121
14,0.128
14,0.129
14,0.128
14,0.119
14,0.129
14,0.128
14,0.129
14,0.125
14,0.123
14,0.13
14,0.127
14,0.121
14,0.127
14,0.124
14,0.128
14,0.124
14,0.13
14,0.127
14,0.127
14,0.127
14,0.126
14,0.13
14,0.128
14,0.121
14,0.125
14,0.131
14,0.123
14,0.129
16,0.125
16,0.122
16,0.125
16,0.123
16,0.125
16,0.123
16,0.126
16,0.13
16,0.128
16,0.126
16,0.123
16,0.121
16,0.126
16,0.119
16,0.127
16,0.128
16,0.125
16,0.121
16,0.127
16,0.126
16,0.127
16,0.124
16,0.13
16,0.131
16,0.129
16,0.126
16,0.129
16,0.128
16,0.128
16,0.129
16,0.123
16,0.128
16,0.125
16,0.121
16,0.126
16,0.131
16,0.127
16,0.12
16,0.128
16,0.127
16,0.127
16,0.125
16,0.131
16,0.125
16,0.125
16,0.123
16,0.126
16,0.122
16,0.125
16,0.125
16,0.126
16,0.124
16,0.13
16,0.125
16,0.127
16,0.125
16,0.126
16,0.124
16,0.13
16,0.128
16,0.123
16,0.128
16,0.127
16,0.124
16,0.123
16,0.125
16,0.128
16,0.127
16,0.123
16,0.127
16,0.124
16,0.124
16,0.122
16,0.127
16,0.128
16,0.124
16,0.13
16,0.124
16,0.126
16,0.123
16,0.125
16,0.125
16,0.128
16,0.128
16,0.124
16,0.125
16,0.131
16,0.126
16,0.129
16,0.123
16,0.129
16,0.126
16,0.126
16,0.127
16,0.126
16,0.125
16,0.125
16,0.124
16,0.128
16,0.127
18,0.124
18,0.125
18,0.127
18,0.124
18,0.126
18,0.124
18,0.125
18,0.124
18,0.125
18,0.127
18,0.127
18,0.127
18,0.124
18,0.127
18,0.124
18,0.126
18,0.126
18,0.126
18,0.129
18,0.123
18,0.126
18,0.123
18,0.122
18,0.125
18,0.129
18,0.123
18,0.125
18,0.125
18,0.127
18,0.127
18,0.123
18,0.128
18,0.123
18,0.127
18,0.127
18,0.126
18,0.127
18,0.128
18,0.128
18,0.125
18,0.129
18,0.123
18,0.122
18,0.124
18,0.127
18,0.121
18,0.129
18,0.126
18,0.129
18,0.129
18,0.125
18,0.125
18,0.125
18,0.126
18,0.129
18,0.12
18,0.124
18,0.127
18,0.126
18,0.125
18,0.126
18,0.125
18,0.123
18,0.127
18,0.128
18,0.124
18,0.123
18,0.127
18,0.128
18,0.126
18,0.127
18,0.123
18,0.128
18,0.125
18,0.128
18,0.127
18,0.129
18,0.124
18,0.128
18,0.126
18,0.129
18,0.125
18,0.129
18,0.129
18,0.124
18,0.125
18,0.126
18,0.129
18,0.128
18,0.124
18,0.129
18,0.125
18,0.128
18,0.127
18,0.126
18,0.125
18,0.126
18,0.124
18,0.127
18,0.128
20,0.127
20,0.125
20,0.123
20,0.125
20,0.124
20,0.127
20,0.128
20,0.125
20,0.126
20,0.127
20,0.124
20,0.124
20,0.128
20,0.123
20,0.126
20,0.127
20,0.125
20,0.128
20,0.128
20,0.125
20,0.127
20,0.124
20,0.127
20,0.125
20,0.128
20,0.126
20,0.125
20,0.128
20,0.123
20,0.129
20,0.124
20,0.128
20,0.124
20,0.126
20,0.124
20,0.125
20,0.127
20,0.124
20,0.125
20,0.127
20,0.122
20,0.124
20,0.125
20,0.127
20,0.125
20,0.124
20,0.126
20,0.123
20,0.125
20,0.123
20,0.126
20,0.127
20,0.124
20,0.127
20,0.125
20,0.125
20,0.125
20,0.126
20,0.126
20,0.127
20,0.126
20,0.126
20,0.128
20,0.126
20,0.125
20,0.126
20,0.124
20,0.125
20,0.122
20,0.127
20,0.122
20,0.125
20,0.124
20,0.127
20,0.125
20,0.127
20,0.124
20,0.126
20,0.124
20,0.126
20,0.125
20,0.125
20,0.125
20,0.126
20,0.125
20,0.125
20,0.126
20,0.128
20,0.126
20,0.124
20,0.128
20,0.123
20,0.125
20,0.126
20,0.125
20,0.125
20,0.127
20,0.128
20,0.128
20,0.124
22,0.125
22,0.126
22,0.126
22,0.125
22,0.127
22,0.126
22,0.125
22,0.123
22,0.127
22,0.126
22,0.126
22,0.124
22,0.125
22,0.124
22,0.126
22,0.124
22,0.127
22,0.125
22,0.125
22,0.126
22,0.124
22,0.127
22,0.125
22,0.124
22,0.127
22,0.124
22,0.124
22,0.127
22,0.126
22,0.125
22,0.124
22,0.126
22,0.125
22,0.125
22,0.127
22,0.126
22,0.125
22,0.126
22,0.127
22,0.127
22,0.125
22,0.126
22,0.124
22,0.126
22,0.127
22,0.124
22,0.125
22,0.125
22,0.126
22,0.125
22,0.125
22,0.126
22,0.127
22,0.125
22,0.125
22,0.127
22,0.126
22,0.124
22,0.125
22,0.127
22,0.125
22,0.126
22,0.125
22,0.125
22,0.126
22,0.126
22,0.126
22,0.126
22,0.126
22,0.125
22,0.127
22,0.127
22,0.127
22,0.125
22,0.126
22,0.125
22,0.127
22,0.126
22,0.127
22,0.124
22,0.127
22,0.126
22,0.123
22,0.125
22,0.127
22,0.127
22,0.124
22,0.127
22,0.124
22,0.126
22,0.126
22,0.127
22,0.127
22,0.127
22,0.126
22,0.126
22,0.126
22,0.126
22,0.126
22,0.127
