Subsampling.group,TGCP.Hs.estimates
2,0.141
2,0.152
2,0.151
2,0.159
2,0.148
2,0.153
2,0.154
2,0.144
2,0.146
2,0.153
2,0.153
2,0.158
2,0.161
2,0.141
2,0.16
2,0.155
2,0.151
2,0.158
2,0.152
2,0.153
2,0.136
2,0.165
2,0.155
2,0.157
2,0.161
2,0.18
2,0.153
2,0.155
2,0.153
2,0.145
2,0.139
2,0.164
2,0.151
2,0.16
2,0.178
2,0.16
2,0.143
2,0.15
2,0.141
2,0.153
2,0.148
2,0.146
2,0.161
2,0.151
2,0.141
2,0.153
2,0.153
2,0.145
2,0.167
2,0.167
2,0.148
2,0.152
2,0.145
2,0.159
2,0.164
2,0.15
2,0.143
2,0.151
2,0.152
2,0.145
2,0.148
2,0.152
2,0.155
2,0.157
2,0.148
2,0.146
2,0.176
2,0.152
2,0.138
2,0.158
2,0.134
2,0.155
2,0.149
2,0.138
2,0.138
2,0.15
2,0.157
2,0.152
2,0.155
2,0.15
2,0.15
2,0.164
2,0.141
2,0.162
2,0.16
2,0.149
2,0.15
2,0.159
2,0.151
2,0.161
2,0.134
2,0.149
2,0.147
2,0.151
2,0.155
2,0.136
2,0.145
2,0.144
2,0.146
2,0.152
4,0.15
4,0.151
4,0.161
4,0.149
4,0.164
4,0.16
4,0.154
4,0.151
4,0.156
4,0.157
4,0.15
4,0.157
4,0.154
4,0.16
4,0.157
4,0.159
4,0.164
4,0.148
4,0.16
4,0.15
4,0.15
4,0.154
4,0.155
4,0.167
4,0.16
4,0.162
4,0.149
4,0.153
4,0.162
4,0.149
4,0.149
4,0.165
4,0.161
4,0.162
4,0.164
4,0.158
4,0.157
4,0.154
4,0.153
4,0.162
4,0.151
4,0.152
4,0.157
4,0.15
4,0.151
4,0.15
4,0.162
4,0.151
4,0.15
4,0.15
4,0.155
4,0.162
4,0.164
4,0.161
4,0.153
4,0.152
4,0.154
4,0.15
4,0.158
4,0.162
4,0.151
4,0.16
4,0.156
4,0.142
4,0.161
4,0.158
4,0.158
4,0.164
4,0.16
4,0.155
4,0.151
4,0.15
4,0.159
4,0.163
4,0.156
4,0.162
4,0.167
4,0.151
4,0.167
4,0.155
4,0.163
4,0.155
4,0.139
4,0.169
4,0.152
4,0.166
4,0.148
4,0.15
4,0.15
4,0.154
4,0.152
4,0.16
4,0.153
4,0.155
4,0.149
4,0.152
4,0.149
4,0.158
4,0.156
4,0.167
6,0.15
6,0.153
6,0.149
6,0.16
6,0.151
6,0.158
6,0.148
6,0.154
6,0.158
6,0.163
6,0.155
6,0.15
6,0.161
6,0.153
6,0.149
6,0.155
6,0.157
6,0.154
6,0.158
6,0.156
6,0.153
6,0.162
6,0.155
6,0.163
6,0.15
6,0.154
6,0.148
6,0.161
6,0.16
6,0.153
6,0.152
6,0.157
6,0.155
6,0.154
6,0.157
6,0.16
6,0.152
6,0.153
6,0.158
6,0.155
6,0.151
6,0.157
6,0.157
6,0.158
6,0.16
6,0.162
6,0.157
6,0.162
6,0.156
6,0.154
6,0.159
6,0.151
6,0.162
6,0.157
6,0.155
6,0.167
6,0.157
6,0.156
6,0.156
6,0.158
6,0.158
6,0.159
6,0.148
6,0.152
6,0.148
6,0.153
6,0.15
6,0.149
6,0.154
6,0.152
6,0.15
6,0.158
6,0.156
6,0.159
6,0.151
6,0.149
6,0.154
6,0.156
6,0.157
6,0.154
6,0.157
6,0.155
6,0.154
6,0.158
6,0.167
6,0.16
6,0.152
6,0.16
6,0.149
6,0.163
6,0.161
6,0.156
6,0.154
6,0.153
6,0.15
6,0.154
6,0.152
6,0.152
6,0.158
6,0.161
8,0.155
8,0.155
8,0.165
8,0.164
8,0.158
8,0.157
8,0.152
8,0.16
8,0.154
8,0.154
8,0.155
8,0.159
8,0.157
8,0.155
8,0.155
8,0.158
8,0.152
8,0.157
8,0.148
8,0.166
8,0.158
8,0.153
8,0.152
8,0.151
8,0.157
8,0.158
8,0.155
8,0.162
8,0.158
8,0.156
8,0.159
8,0.158
8,0.15
8,0.161
8,0.159
8,0.156
8,0.155
8,0.153
8,0.162
8,0.158
8,0.156
8,0.153
8,0.156
8,0.151
8,0.154
8,0.156
8,0.16
8,0.158
8,0.155
8,0.152
8,0.151
8,0.152
8,0.153
8,0.159
8,0.161
8,0.151
8,0.158
8,0.157
8,0.152
8,0.156
8,0.159
8,0.157
