Mean_GV_StdDev	Population
22.37	CPS
23.4	CPS
18.76	CPS
24.09	CPS
22.97	CPS
21.44	CPS
15.68	CPS
23.45	CPS
19.2	CPS
21.81	CPS
22.27	CPS
22.94	CPS
19.88	CPS
18.78	CPS
20.98	CPS
23.17	CPS
24.13	CPS
20.36	CPS
21.11	CPS
19.46	CPS
24.45	CPS
23.71	CPS
20.82	CPS
21.37	CRWA
22.31	CRWA
15.09	CRWA
21.18	CRWA
18.47	CRWA
18.73	CRWA
22.76	CRWA
15.91	CRWA
18.85	CRWA
15.25	CRWA
18	CRWA
23.82	CRWA
19.65	CRWA
15.15	CRWA
19.35	CRWA
13.03	CRWA
20.13	CRWA
19.75	CRWA
16.77	CRWA
16.28	CRWA
21.95	CRWA
22.41	CRWA
19.23	CRWA
19.91	CRWA
19.12	CRWA
21.34	DHFA
19.77	DHFA
16.65	DHFA
21.94	DHFA
22.98	DHFA
20.73	DHFA
16.47	DHFA
20.33	DHFA
21.47	DHFA
20.21	DHFA
19.04	DHFA
23.03	DHFA
23.87	DHFA
21.08	DHFA
23.05	DHFA
21.78	DHFA
19.48	DHFA
20.97	DHFA
21.92	DHFA
21.05	DHFA
20.5	DHFA
19.04	DHFA
20.96	FPPI
20.33	FPPI
22.08	FPPI
19.38	FPPI
20.93	FPPI
26.04	FPPI
22.54	FPPI
20.45	FPPI
20.34	FPPI
20.88	FPPI
21.28	FPPI
17.19	FPPI
18.73	FPPI
17.71	FPPI
17.83	FPPI
19.45	FPPI
18.72	FPPI
16.86	FPPI
19.15	FPPI
17.25	FPPI
22.8	HGRF
17.96	HGRF
17.67	HGRF
23.33	HGRF
19.13	HGRF
24.01	HGRF
21.42	HGRF
21.11	HGRF
18.15	HGRF
21.04	HGRF
21.79	HGRF
18.27	HGRF
22.8	HGRF
22.68	HGRF
19.29	HGRF
22.44	HGRF
25.62	HGRF
21.42	HGRF
21.51	HGRF
20.4	HGRF
21.37	HGRF
20.64	IRO
20.62	IRO
23.58	IRO
18.29	IRO
24.91	IRO
20.26	IRO
19.28	IRO
17.26	IRO
21.54	IRO
22.2	IRO
17.34	IRO
24.06	IRO
21.19	IRO
15.68	IRO
16.44	IRO
15.63	IRO
13.86	IRO
15.36	IRO
20.15	OICP
16.7	OICP
17.28	OICP
13.84	OICP
17.64	OICP
15.16	OICP
16.64	OICP
16.8	OICP
17.8	OICP
16.53	OICP
21.52	OICP
16.28	OICP
14.88	OICP
17.01	OICP
22.09	OICP
19.84	OICP
21.04	OICP
16.49	OICP
20.32	OICP
23.88	OICP
19.86	OICP
26.01	OICP
21.45	OICP
21.64	PCRA
21.13	PCRA
20.51	PCRA
20.4	PCRA
22.61	PCRA
19.22	PCRA
17.11	PCRA
18.49	PCRA
22.99	PCRA
21.53	PCRA
17.15	PCRA
17.09	PCRA
22.35	PCRA
19.29	PCRA
18.92	PCRA
21.34	PCRA
22.9	PCRA
21.39	PCRA
18.82	PCRA
13.74	PCRA
15.38	PCRA
18.85	PPNP
18.7	PPNP
22.81	PPNP
23.81	PPNP
20.59	PPNP
23.83	PPNP
22.63	PPNP
19.46	PPNP
20.51	PPNP
18.21	PPNP
23.26	PPNP
18.73	PPNP
19.3	PPNP
13.34	PPNP
19.47	PPNP
15.91	PPNP
14.83	PPNP
14.02	PPNP
15.07	PPNP
14.95	PPNP
16.25	PPNP
16.65	PPNP
16.63	PPNP
17.7	PPNP
16.06	PPNP
18.39	PPNP
14.45	PPNP
25.06	PTP
18.69	PTP
19.76	PTP
20.19	PTP
22.05	PTP
21.96	PTP
22.36	PTP
19.09	PTP
20.9	PTP
18.74	PTP
21.68	PTP
19.8	PTP
20.3	PTP
15.7	PTP
25.55	PTP
19.59	PTP
18.79	PTP
13.25	PTP
19.29	PTP
19.04	PTP
18.54	PTP
19.65	RRL
19.82	RRL
16.08	RRL
20.05	RRL
23.45	RRL
21.13	RRL
17.19	RRL
19.57	RRL
14.95	RRL
21.01	RRL
19.74	RRL
21.87	RRL
18	RRL
22.21	RRL
20.33	RRL
20.54	RRL
17.41	RRL
20.37	RRL
19.79	RRL
18.2	RRL
23.97	RRL
16.97	RRL
16.35	RRL
21.15	RRL
16.08	RRL
21.39	RRO
23.2	RRO
20.11	RRO
20.81	RRO
24.48	RRO
23.22	RRO
24.3	RRO
25.71	RRO
19.13	RRO
23.92	RRO
20.93	RRO
21.38	RRO
23.54	RRO
19.3	RRO
22.97	RRO
17.7	RRO
22.15	RRO
20.42	RRO
19.75	RRO
20.84	RRO
21.7	RRO
