Mean_Gray_Value	Population
109.13	CPS
101.25	CPS
112.6	CPS
97.17	CPS
93.64	CPS
94.78	CPS
93.24	CPS
92.74	CPS
113.74	CPS
96.84	CPS
95.32	CPS
94.67	CPS
86.63	CPS
120.9	CPS
106.66	CPS
97.49	CPS
93.31	CPS
102.56	CPS
109.39	CPS
98.16	CPS
83.13	CPS
94.99	CPS
94.22	CPS
91.27	CRWA
98.43	CRWA
111.29	CRWA
92.37	CRWA
98.64	CRWA
97.38	CRWA
110.39	CRWA
111.3	CRWA
107.2	CRWA
93.38	CRWA
103.32	CRWA
91.75	CRWA
75.31	CRWA
117.24	CRWA
97.87	CRWA
127.61	CRWA
97.23	CRWA
109.35	CRWA
89.53	CRWA
113.86	CRWA
89.85	CRWA
99.82	CRWA
113.56	CRWA
99.34	CRWA
123.48	CRWA
108.46	DHFA
101.77	DHFA
91.78	DHFA
104.85	DHFA
94.42	DHFA
97.61	DHFA
103.41	DHFA
105.54	DHFA
92.08	DHFA
100.63	DHFA
93.23	DHFA
102.49	DHFA
95.23	DHFA
106.27	DHFA
86.74	DHFA
106	DHFA
105.31	DHFA
96.67	DHFA
95.91	DHFA
103.41	DHFA
95.57	DHFA
106.65	DHFA
123.58	FPPI
112.85	FPPI
105.6	FPPI
107.3	FPPI
91.58	FPPI
87.39	FPPI
89.37	FPPI
118.18	FPPI
108.89	FPPI
94.02	FPPI
106.24	FPPI
110.11	FPPI
107.83	FPPI
106.06	FPPI
98.44	FPPI
103.81	FPPI
96.98	FPPI
89.63	FPPI
97.53	FPPI
100.11	FPPI
103.12	HGRF
110.39	HGRF
109.12	HGRF
104.08	HGRF
115.07	HGRF
102.16	HGRF
101.42	HGRF
113.32	HGRF
110.91	HGRF
101.74	HGRF
104.51	HGRF
114.02	HGRF
87.35	HGRF
96.18	HGRF
107.62	HGRF
96.62	HGRF
92.38	HGRF
89.35	HGRF
94.74	HGRF
99.88	HGRF
110.11	HGRF
102.84	IRO
112.59	IRO
102.19	IRO
99.94	IRO
110.92	IRO
107.18	IRO
108.5	IRO
117.63	IRO
113.77	IRO
97.17	IRO
113.87	IRO
117.69	IRO
108.08	IRO
94.75	IRO
96.73	IRO
88.17	IRO
106.78	IRO
93.64	IRO
114.12	OICP
117.06	OICP
116.13	OICP
120.76	OICP
112.35	OICP
113.54	OICP
109.55	OICP
109.21	OICP
104.12	OICP
102.57	OICP
105.78	OICP
106.69	OICP
122.74	OICP
122.02	OICP
97.1	OICP
112.58	OICP
105.01	OICP
108.79	OICP
93.37	OICP
89.26	OICP
87.23	OICP
94.26	OICP
95.21	OICP
110.84	PCRA
98.56	PCRA
96	PCRA
105	PCRA
95.1	PCRA
101.01	PCRA
99.32	PCRA
101.84	PCRA
98.7	PCRA
105.6	PCRA
103.37	PCRA
107.68	PCRA
100.63	PCRA
98.89	PCRA
99.44	PCRA
91.61	PCRA
94.22	PCRA
98.95	PCRA
101.09	PCRA
90.74	PCRA
95.95	PCRA
93.52	PPNP
111.25	PPNP
88.84	PPNP
106.76	PPNP
95.52	PPNP
89.67	PPNP
88.7	PPNP
101.8	PPNP
90.73	PPNP
103.89	PPNP
94.21	PPNP
103.05	PPNP
99.96	PPNP
116.33	PPNP
97.61	PPNP
96.47	PPNP
93.32	PPNP
98.72	PPNP
94.23	PPNP
93.2	PPNP
83.01	PPNP
90.36	PPNP
80.85	PPNP
108.71	PPNP
102.34	PPNP
89.57	PPNP
114.03	PPNP
84.66	PTP
102.73	PTP
92.77	PTP
93.32	PTP
92.68	PTP
89.86	PTP
87.35	PTP
101.25	PTP
85.46	PTP
97.08	PTP
100.56	PTP
85.27	PTP
97.52	PTP
108.68	PTP
88.02	PTP
96.83	PTP
105.88	PTP
119.71	PTP
100.34	PTP
163.38	PTP
102.48	PTP
94.33	RRL
92.21	RRL
93.97	RRL
95.27	RRL
96.8	RRL
83.85	RRL
110.39	RRL
99.09	RRL
90.18	RRL
92.45	RRL
92.93	RRL
86	RRL
97.43	RRL
85.11	RRL
110.67	RRL
92.73	RRL
100.09	RRL
82.17	RRL
86.75	RRL
102.14	RRL
85.17	RRL
82.08	RRL
98.97	RRL
91.09	RRL
89.85	RRL
110.55	RRO
91.95	RRO
103.64	RRO
101.94	RRO
96.25	RRO
85.53	RRO
99.07	RRO
93.33	RRO
108.08	RRO
89.47	RRO
102.84	RRO
101.55	RRO
89.72	RRO
93.73	RRO
87.65	RRO
116.78	RRO
86.13	RRO
103.69	RRO
97.1	RRO
99.03	RRO
87.11	RRO
