Median_Gray_Value	Population
112	CPS
103	CPS
114	CPS
99	CPS
95	CPS
93	CPS
92	CPS
93	CPS
115	CPS
97	CPS
97	CPS
94	CPS
86	CPS
123	CPS
107	CPS
100	CPS
94	CPS
102	CPS
110	CPS
100	CPS
82	CPS
96	CPS
97	CPS
92	CRWA
100	CRWA
112	CRWA
93	CRWA
99	CRWA
98	CRWA
114	CRWA
111	CRWA
109	CRWA
94	CRWA
105	CRWA
91	CRWA
73	CRWA
117	CRWA
97	CRWA
128	CRWA
97	CRWA
112	CRWA
90	CRWA
115	CRWA
91	CRWA
101	CRWA
116	CRWA
101	CRWA
127	CRWA
110	DHFA
105	DHFA
92	DHFA
103	DHFA
94	DHFA
98	DHFA
105	DHFA
108	DHFA
91	DHFA
102	DHFA
95	DHFA
106	DHFA
97	DHFA
107	DHFA
86	DHFA
106	DHFA
108	DHFA
99	DHFA
97	DHFA
105	DHFA
96	DHFA
107	DHFA
126	FPPI
115	FPPI
109	FPPI
110	FPPI
92	FPPI
85	FPPI
87	FPPI
122	FPPI
110	FPPI
95	FPPI
109	FPPI
111	FPPI
110	FPPI
109	FPPI
100	FPPI
107	FPPI
98	FPPI
90	FPPI
99	FPPI
100	FPPI
105	HGRF
109	HGRF
109	HGRF
103	HGRF
116	HGRF
102	HGRF
102	HGRF
116	HGRF
110	HGRF
102	HGRF
105	HGRF
114	HGRF
85	HGRF
97	HGRF
108	HGRF
96	HGRF
91	HGRF
86	HGRF
95	HGRF
100	HGRF
111	HGRF
103	IRO
114	IRO
105	IRO
100	IRO
112	IRO
108	IRO
109	IRO
119	IRO
116	IRO
96	IRO
114	IRO
120	IRO
108	IRO
96	IRO
98	IRO
89	IRO
108	IRO
94	IRO
115	OICP
119	OICP
117	OICP
121	OICP
113	OICP
113	OICP
109	OICP
109	OICP
105	OICP
104	OICP
108	OICP
107	OICP
123	OICP
121	OICP
96	OICP
112	OICP
104	OICP
108	OICP
92	OICP
91	OICP
86	OICP
97	OICP
96	OICP
113	PCRA
100	PCRA
96	PCRA
105	PCRA
96	PCRA
100	PCRA
99	PCRA
103	PCRA
98	PCRA
105	PCRA
103	PCRA
107	PCRA
102	PCRA
96	PCRA
102	PCRA
93	PCRA
93	PCRA
97	PCRA
101	PCRA
92	PCRA
97	PCRA
93	PPNP
113	PPNP
88	PPNP
107	PPNP
96	PPNP
90	PPNP
88	PPNP
103	PPNP
90	PPNP
106	PPNP
93	PPNP
106	PPNP
102	PPNP
116	PPNP
96	PPNP
98	PPNP
95	PPNP
100	PPNP
93	PPNP
94	PPNP
82	PPNP
91	PPNP
81	PPNP
110	PPNP
104	PPNP
90	PPNP
116	PPNP
83	PTP
103	PTP
91	PTP
94	PTP
93	PTP
88	PTP
83	PTP
99	PTP
85	PTP
95	PTP
100	PTP
84	PTP
100	PTP
107	PTP
87	PTP
94	PTP
103	PTP
120	PTP
101	PTP
168	PTP
102	PTP
96	RRL
94	RRL
95	RRL
96	RRL
97	RRL
83	RRL
111	RRL
98	RRL
89	RRL
92	RRL
92	RRL
85	RRL
98	RRL
84	RRL
113	RRL
95	RRL
100	RRL
80	RRL
87	RRL
102	RRL
84	RRL
80	RRL
100	RRL
93	RRL
90	RRL
113	RRO
91	RRO
105	RRO
103	RRO
98	RRO
85	RRO
101	RRO
94	RRO
108	RRO
88	RRO
103	RRO
100	RRO
90	RRO
95	RRO
86	RRO
118	RRO
86	RRO
104	RRO
99	RRO
100	RRO
87	RRO
