Modal_Gray_Value	Population
120	CPS
102	CPS
114	CPS
116	CPS
97	CPS
89	CPS
80	CPS
110	CPS
121	CPS
98	CPS
98	CPS
85	CPS
91	CPS
124	CPS
105	CPS
114	CPS
119	CPS
98	CPS
108	CPS
109	CPS
78	CPS
100	CPS
99	CPS
79	CRWA
108	CRWA
120	CRWA
97	CRWA
96	CRWA
94	CRWA
127	CRWA
107	CRWA
116	CRWA
98	CRWA
101	CRWA
86	CRWA
65	CRWA
116	CRWA
96	CRWA
127	CRWA
97	CRWA
106	CRWA
87	CRWA
115	CRWA
94	CRWA
95	CRWA
128	CRWA
95	CRWA
136	CRWA
111	DHFA
110	DHFA
90	DHFA
92	DHFA
93	DHFA
106	DHFA
98	DHFA
119	DHFA
89	DHFA
105	DHFA
94	DHFA
117	DHFA
99	DHFA
106	DHFA
78	DHFA
101	DHFA
120	DHFA
107	DHFA
100	DHFA
119	DHFA
98	DHFA
106	DHFA
136	FPPI
120	FPPI
120	FPPI
123	FPPI
109	FPPI
82	FPPI
76	FPPI
129	FPPI
113	FPPI
101	FPPI
117	FPPI
117	FPPI
119	FPPI
114	FPPI
87	FPPI
117	FPPI
110	FPPI
91	FPPI
108	FPPI
98	FPPI
109	HGRF
98	HGRF
101	HGRF
90	HGRF
127	HGRF
91	HGRF
111	HGRF
124	HGRF
109	HGRF
104	HGRF
109	HGRF
117	HGRF
83	HGRF
79	HGRF
89	HGRF
75	HGRF
70	HGRF
75	HGRF
108	HGRF
113	HGRF
126	HGRF
93	IRO
131	IRO
106	IRO
104	IRO
109	IRO
104	IRO
107	IRO
127	IRO
130	IRO
94	IRO
106	IRO
126	IRO
98	IRO
108	IRO
108	IRO
90	IRO
105	IRO
89	IRO
113	OICP
122	OICP
125	OICP
118	OICP
116	OICP
114	OICP
119	OICP
106	OICP
106	OICP
111	OICP
107	OICP
108	OICP
110	OICP
120	OICP
85	OICP
106	OICP
92	OICP
95	OICP
91	OICP
92	OICP
81	OICP
95	OICP
100	OICP
113	PCRA
98	PCRA
96	PCRA
96	PCRA
94	PCRA
102	PCRA
95	PCRA
111	PCRA
87	PCRA
97	PCRA
112	PCRA
99	PCRA
117	PCRA
88	PCRA
106	PCRA
100	PCRA
85	PCRA
92	PCRA
97	PCRA
96	PCRA
104	PCRA
89	PPNP
116	PPNP
96	PPNP
105	PPNP
105	PPNP
96	PPNP
83	PPNP
104	PPNP
90	PPNP
114	PPNP
82	PPNP
120	PPNP
109	PPNP
111	PPNP
91	PPNP
95	PPNP
96	PPNP
106	PPNP
91	PPNP
95	PPNP
77	PPNP
96	PPNP
82	PPNP
121	PPNP
106	PPNP
89	PPNP
119	PPNP
63	PTP
100	PTP
76	PTP
95	PTP
91	PTP
90	PTP
81	PTP
93	PTP
79	PTP
86	PTP
104	PTP
80	PTP
106	PTP
103	PTP
80	PTP
84	PTP
86	PTP
122	PTP
113	PTP
171	PTP
94	PTP
99	RRL
97	RRL
96	RRL
96	RRL
101	RRL
84	RRL
108	RRL
95	RRL
83	RRL
82	RRL
90	RRL
83	RRL
102	RRL
70	RRL
128	RRL
100	RRL
102	RRL
71	RRL
69	RRL
95	RRL
87	RRL
74	RRL
103	RRL
101	RRL
89	RRL
121	RRO
96	RRO
107	RRO
107	RRO
103	RRO
80	RRO
94	RRO
109	RRO
105	RRO
77	RRO
98	RRO
93	RRO
94	RRO
84	RRO
82	RRO
117	RRO
76	RRO
99	RRO
98	RRO
104	RRO
96	RRO
