Area	Population
0.33	CPS
0.33	CPS
0.29	CPS
0.31	CPS
0.33	CPS
0.32	CPS
0.26	CPS
0.29	CPS
0.34	CPS
0.34	CPS
0.31	CPS
0.25	CPS
0.25	CPS
0.34	CPS
0.25	CPS
0.3	CPS
0.3	CPS
0.34	CPS
0.31	CPS
0.27	CPS
0.33	CPS
0.31	CPS
0.3	CPS
0.33	CRWA
0.31	CRWA
0.34	CRWA
0.3	CRWA
0.33	CRWA
0.3	CRWA
0.3	CRWA
0.32	CRWA
0.32	CRWA
0.27	CRWA
0.32	CRWA
0.34	CRWA
0.3	CRWA
0.31	CRWA
0.3	CRWA
0.32	CRWA
0.35	CRWA
0.36	CRWA
0.3	CRWA
0.3	CRWA
0.32	CRWA
0.28	CRWA
0.27	CRWA
0.27	CRWA
0.35	CRWA
0.35	DHFA
0.4	DHFA
0.38	DHFA
0.38	DHFA
0.4	DHFA
0.45	DHFA
0.32	DHFA
0.36	DHFA
0.36	DHFA
0.39	DHFA
0.44	DHFA
0.42	DHFA
0.43	DHFA
0.37	DHFA
0.38	DHFA
0.33	DHFA
0.36	DHFA
0.41	DHFA
0.42	DHFA
0.35	DHFA
0.35	DHFA
0.35	DHFA
0.39	FPPI
0.37	FPPI
0.41	FPPI
0.4	FPPI
0.4	FPPI
0.47	FPPI
0.37	FPPI
0.36	FPPI
0.38	FPPI
0.38	FPPI
0.34	FPPI
0.3	FPPI
0.26	FPPI
0.3	FPPI
0.24	FPPI
0.3	FPPI
0.25	FPPI
0.26	FPPI
0.37	FPPI
0.21	FPPI
0.27	HGRF
0.27	HGRF
0.25	HGRF
0.27	HGRF
0.22	HGRF
0.25	HGRF
0.22	HGRF
0.27	HGRF
0.25	HGRF
0.23	HGRF
0.2	HGRF
0.2	HGRF
0.3	HGRF
0.24	HGRF
0.25	HGRF
0.23	HGRF
0.28	HGRF
0.23	HGRF
0.21	HGRF
0.23	HGRF
0.23	HGRF
0.42	IRO
0.4	IRO
0.39	IRO
0.39	IRO
0.51	IRO
0.4	IRO
0.37	IRO
0.35	IRO
0.34	IRO
0.37	IRO
0.44	IRO
0.41	IRO
0.38	IRO
0.35	IRO
0.29	IRO
0.22	IRO
0.19	IRO
0.2	IRO
0.3	OICP
0.28	OICP
0.25	OICP
0.3	OICP
0.31	OICP
0.28	OICP
0.27	OICP
0.3	OICP
0.3	OICP
0.33	OICP
0.26	OICP
0.26	OICP
0.28	OICP
0.26	OICP
0.29	OICP
0.33	OICP
0.32	OICP
0.22	OICP
0.29	OICP
0.28	OICP
0.27	OICP
0.29	OICP
0.34	OICP
0.44	PCRA
0.41	PCRA
0.39	PCRA
0.41	PCRA
0.42	PCRA
0.34	PCRA
0.36	PCRA
0.31	PCRA
0.35	PCRA
0.32	PCRA
0.36	PCRA
0.32	PCRA
0.45	PCRA
0.37	PCRA
0.3	PCRA
0.41	PCRA
0.35	PCRA
0.3	PCRA
0.33	PCRA
0.27	PCRA
0.26	PCRA
0.34	PPNP
0.29	PPNP
0.34	PPNP
0.28	PPNP
0.3	PPNP
0.32	PPNP
0.35	PPNP
0.31	PPNP
0.28	PPNP
0.25	PPNP
0.26	PPNP
0.32	PPNP
0.29	PPNP
0.24	PPNP
0.19	PPNP
0.22	PPNP
0.16	PPNP
0.19	PPNP
0.19	PPNP
0.18	PPNP
0.23	PPNP
0.23	PPNP
0.21	PPNP
0.22	PPNP
0.24	PPNP
0.24	PPNP
0.22	PPNP
0.27	PTP
0.26	PTP
0.23	PTP
0.24	PTP
0.23	PTP
0.24	PTP
0.2	PTP
0.23	PTP
0.23	PTP
0.22	PTP
0.27	PTP
0.21	PTP
0.25	PTP
0.26	PTP
0.26	PTP
0.25	PTP
0.24	PTP
0.27	PTP
0.22	PTP
0.02	PTP
0.22	PTP
0.4	RRL
0.49	RRL
0.37	RRL
0.39	RRL
0.39	RRL
0.45	RRL
0.37	RRL
0.37	RRL
0.39	RRL
0.37	RRL
0.34	RRL
0.36	RRL
0.37	RRL
0.4	RRL
0.43	RRL
0.48	RRL
0.4	RRL
0.42	RRL
0.42	RRL
0.43	RRL
0.35	RRL
0.26	RRL
0.37	RRL
0.29	RRL
0.2	RRL
0.4	RRO
0.41	RRO
0.31	RRO
0.33	RRO
0.4	RRO
0.36	RRO
0.4	RRO
0.39	RRO
0.36	RRO
0.37	RRO
0.33	RRO
0.33	RRO
0.33	RRO
0.34	RRO
0.39	RRO
0.31	RRO
0.34	RRO
0.26	RRO
0.31	RRO
0.35	RRO
0.37	RRO
