Ferets_Diameter	Population
0.89	CPS
0.88	CPS
0.84	CPS
0.85	CPS
0.88	CPS
0.86	CPS
0.8	CPS
0.82	CPS
0.91	CPS
0.88	CPS
0.86	CPS
0.75	CPS
0.76	CPS
0.91	CPS
0.78	CPS
0.84	CPS
0.85	CPS
0.92	CPS
0.88	CPS
0.79	CPS
0.89	CPS
0.86	CPS
0.84	CPS
0.86	CRWA
0.82	CRWA
0.87	CRWA
0.82	CRWA
0.85	CRWA
0.84	CRWA
0.82	CRWA
0.85	CRWA
0.84	CRWA
0.75	CRWA
0.85	CRWA
0.86	CRWA
0.82	CRWA
0.83	CRWA
0.83	CRWA
0.85	CRWA
0.88	CRWA
0.9	CRWA
0.84	CRWA
0.84	CRWA
0.85	CRWA
0.8	CRWA
0.78	CRWA
0.77	CRWA
0.88	CRWA
0.9	DHFA
0.95	DHFA
0.92	DHFA
0.87	DHFA
0.94	DHFA
1.02	DHFA
0.86	DHFA
0.89	DHFA
0.89	DHFA
0.91	DHFA
0.99	DHFA
0.97	DHFA
0.97	DHFA
0.91	DHFA
0.89	DHFA
0.87	DHFA
0.89	DHFA
0.97	DHFA
0.96	DHFA
0.9	DHFA
0.89	DHFA
0.89	DHFA
0.94	FPPI
0.91	FPPI
0.91	FPPI
0.98	FPPI
0.95	FPPI
1.03	FPPI
0.98	FPPI
0.9	FPPI
0.92	FPPI
0.93	FPPI
0.86	FPPI
0.81	FPPI
0.76	FPPI
0.79	FPPI
0.72	FPPI
0.79	FPPI
0.73	FPPI
0.76	FPPI
0.87	FPPI
0.67	FPPI
0.79	HGRF
0.79	HGRF
0.78	HGRF
0.77	HGRF
0.7	HGRF
0.77	HGRF
0.72	HGRF
0.82	HGRF
0.75	HGRF
0.73	HGRF
0.69	HGRF
0.68	HGRF
0.82	HGRF
0.75	HGRF
0.77	HGRF
0.71	HGRF
0.81	HGRF
0.73	HGRF
0.69	HGRF
0.71	HGRF
0.7	HGRF
0.94	IRO
0.92	IRO
0.9	IRO
0.91	IRO
1.04	IRO
0.92	IRO
0.89	IRO
0.85	IRO
0.85	IRO
0.91	IRO
0.97	IRO
0.92	IRO
0.91	IRO
0.85	IRO
0.77	IRO
0.67	IRO
0.64	IRO
0.63	IRO
0.82	OICP
0.8	OICP
0.75	OICP
0.81	OICP
0.85	OICP
0.78	OICP
0.77	OICP
0.84	OICP
0.84	OICP
0.87	OICP
0.77	OICP
0.77	OICP
0.78	OICP
0.77	OICP
0.8	OICP
0.83	OICP
0.84	OICP
0.71	OICP
0.8	OICP
0.79	OICP
0.78	OICP
0.79	OICP
0.88	OICP
0.99	PCRA
0.97	PCRA
0.93	PCRA
0.93	PCRA
0.94	PCRA
0.88	PCRA
0.9	PCRA
0.84	PCRA
0.87	PCRA
0.87	PCRA
0.89	PCRA
0.83	PCRA
1	PCRA
0.91	PCRA
0.76	PCRA
0.95	PCRA
0.88	PCRA
0.8	PCRA
0.86	PCRA
0.74	PCRA
0.72	PCRA
0.87	PPNP
0.81	PPNP
0.9	PPNP
0.8	PPNP
0.84	PPNP
0.86	PPNP
0.91	PPNP
0.85	PPNP
0.81	PPNP
0.77	PPNP
0.77	PPNP
0.83	PPNP
0.81	PPNP
0.75	PPNP
0.64	PPNP
0.71	PPNP
0.6	PPNP
0.66	PPNP
0.67	PPNP
0.64	PPNP
0.73	PPNP
0.71	PPNP
0.69	PPNP
0.69	PPNP
0.71	PPNP
0.72	PPNP
0.69	PPNP
0.78	PTP
0.77	PTP
0.73	PTP
0.72	PTP
0.72	PTP
0.73	PTP
0.67	PTP
0.72	PTP
0.73	PTP
0.71	PTP
0.78	PTP
0.69	PTP
0.74	PTP
0.75	PTP
0.76	PTP
0.74	PTP
0.73	PTP
0.77	PTP
0.74	PTP
0.29	PTP
0.72	PTP
0.95	RRL
1.03	RRL
0.89	RRL
0.91	RRL
0.91	RRL
0.98	RRL
0.86	RRL
0.89	RRL
0.9	RRL
0.9	RRL
0.85	RRL
0.88	RRL
0.86	RRL
0.92	RRL
0.99	RRL
1.01	RRL
0.92	RRL
0.96	RRL
0.94	RRL
0.94	RRL
0.89	RRL
0.73	RRL
0.88	RRL
0.77	RRL
0.65	RRL
0.92	RRO
0.95	RRO
0.88	RRO
0.88	RRO
0.94	RRO
0.89	RRO
0.91	RRO
0.9	RRO
0.9	RRO
0.9	RRO
0.86	RRO
0.86	RRO
0.84	RRO
0.86	RRO
0.92	RRO
0.83	RRO
0.85	RRO
0.75	RRO
0.82	RRO
0.84	RRO
0.85	RRO
