Perimeter	Population
2.26	CPS
2.25	CPS
2.11	CPS
2.17	CPS
2.23	CPS
2.21	CPS
2.03	CPS
2.11	CPS
2.28	CPS
2.27	CPS
2.17	CPS
1.96	CPS
1.98	CPS
2.29	CPS
1.97	CPS
2.13	CPS
2.18	CPS
2.3	CPS
2.2	CPS
2.02	CPS
2.27	CPS
2.19	CPS
2.13	CPS
2.23	CRWA
2.14	CRWA
2.24	CRWA
2.12	CRWA
2.23	CRWA
2.13	CRWA
2.11	CRWA
2.19	CRWA
2.18	CRWA
1.97	CRWA
2.21	CRWA
2.26	CRWA
2.12	CRWA
2.18	CRWA
2.11	CRWA
2.2	CRWA
2.28	CRWA
2.32	CRWA
2.12	CRWA
2.12	CRWA
2.18	CRWA
2.07	CRWA
2.01	CRWA
1.98	CRWA
2.3	CRWA
2.29	DHFA
2.44	DHFA
2.37	DHFA
2.35	DHFA
2.44	DHFA
2.59	DHFA
2.19	DHFA
2.32	DHFA
2.33	DHFA
2.39	DHFA
2.57	DHFA
2.5	DHFA
2.52	DHFA
2.34	DHFA
2.36	DHFA
2.23	DHFA
2.31	DHFA
2.46	DHFA
2.5	DHFA
2.29	DHFA
2.28	DHFA
2.28	DHFA
2.38	FPPI
2.37	FPPI
2.45	FPPI
2.5	FPPI
2.43	FPPI
2.65	FPPI
2.43	FPPI
2.3	FPPI
2.37	FPPI
2.39	FPPI
2.24	FPPI
2.09	FPPI
1.97	FPPI
2.08	FPPI
1.89	FPPI
2.1	FPPI
1.91	FPPI
1.96	FPPI
2.34	FPPI
1.74	FPPI
2.02	HGRF
2.01	HGRF
1.96	HGRF
2	HGRF
1.81	HGRF
1.97	HGRF
1.84	HGRF
2.05	HGRF
1.94	HGRF
1.86	HGRF
1.75	HGRF
1.74	HGRF
2.12	HGRF
1.9	HGRF
1.95	HGRF
1.84	HGRF
2.05	HGRF
1.87	HGRF
1.79	HGRF
1.84	HGRF
1.83	HGRF
2.47	IRO
2.44	IRO
2.42	IRO
2.44	IRO
2.76	IRO
2.41	IRO
2.32	IRO
2.24	IRO
2.22	IRO
2.37	IRO
2.52	IRO
2.44	IRO
2.36	IRO
2.24	IRO
2.06	IRO
1.79	IRO
1.66	IRO
1.69	IRO
2.13	OICP
2.05	OICP
1.93	OICP
2.11	OICP
2.15	OICP
2.03	OICP
2	OICP
2.13	OICP
2.12	OICP
2.23	OICP
1.96	OICP
1.98	OICP
2.02	OICP
1.98	OICP
2.08	OICP
2.21	OICP
2.16	OICP
1.82	OICP
2.06	OICP
2.03	OICP
2.02	OICP
2.07	OICP
2.25	OICP
2.57	PCRA
2.49	PCRA
2.39	PCRA
2.44	PCRA
2.49	PCRA
2.27	PCRA
2.29	PCRA
2.14	PCRA
2.27	PCRA
2.2	PCRA
2.3	PCRA
2.18	PCRA
2.58	PCRA
2.34	PCRA
2.05	PCRA
2.46	PCRA
2.26	PCRA
2.09	PCRA
2.21	PCRA
1.98	PCRA
1.93	PCRA
2.27	PPNP
2.1	PPNP
2.26	PPNP
2.04	PPNP
2.14	PPNP
2.24	PPNP
2.33	PPNP
2.16	PPNP
2.04	PPNP
1.96	PPNP
1.98	PPNP
2.14	PPNP
2.08	PPNP
1.91	PPNP
1.65	PPNP
1.81	PPNP
1.53	PPNP
1.69	PPNP
1.69	PPNP
1.62	PPNP
1.86	PPNP
1.84	PPNP
1.76	PPNP
1.8	PPNP
1.86	PPNP
1.87	PPNP
1.79	PPNP
2.02	PTP
1.97	PTP
1.86	PTP
1.87	PTP
1.85	PTP
1.89	PTP
1.73	PTP
1.86	PTP
1.85	PTP
1.81	PTP
2.03	PTP
1.75	PTP
1.91	PTP
1.98	PTP
2.01	PTP
1.92	PTP
1.88	PTP
2.01	PTP
2.74	PTP
0.83	PTP
1.83	PTP
2.44	RRL
2.7	RRL
2.32	RRL
2.39	RRL
2.4	RRL
2.58	RRL
2.32	RRL
2.33	RRL
2.37	RRL
2.33	RRL
2.23	RRL
2.3	RRL
2.3	RRL
2.41	RRL
2.55	RRL
2.64	RRL
2.41	RRL
2.5	RRL
2.47	RRL
2.5	RRL
2.27	RRL
1.94	RRL
2.31	RRL
2.07	RRL
1.71	RRL
2.42	RRO
2.47	RRO
2.61	RRO
2.23	RRO
2.48	RRO
2.32	RRO
2.46	RRO
2.41	RRO
2.32	RRO
2.37	RRO
2.23	RRO
2.21	RRO
2.21	RRO
2.23	RRO
2.41	RRO
2.17	RRO
2.21	RRO
1.95	RRO
2.1	RRO
2.27	RRO
2.29	RRO
