Mean_GV_StdDev	Population
21.37	Cluster1
22.31	Cluster1
15.09	Cluster1
21.18	Cluster1
18.47	Cluster1
18.73	Cluster1
22.76	Cluster1
15.91	Cluster1
18.85	Cluster1
15.25	Cluster1
18	Cluster1
23.82	Cluster1
19.65	Cluster1
15.15	Cluster1
19.35	Cluster1
13.03	Cluster1
20.13	Cluster1
19.75	Cluster1
16.77	Cluster1
16.28	Cluster1
21.95	Cluster1
22.41	Cluster1
19.23	Cluster1
19.91	Cluster1
19.12	Cluster1
22.8	Cluster1
17.96	Cluster1
17.67	Cluster1
23.33	Cluster1
19.13	Cluster1
24.01	Cluster1
21.42	Cluster1
21.11	Cluster1
18.15	Cluster1
21.04	Cluster1
21.79	Cluster1
18.27	Cluster1
22.8	Cluster1
22.68	Cluster1
19.29	Cluster1
22.44	Cluster1
25.62	Cluster1
21.42	Cluster1
21.51	Cluster1
20.4	Cluster1
21.37	Cluster1
20.15	Cluster1
16.7	Cluster1
17.28	Cluster1
13.84	Cluster1
17.64	Cluster1
15.16	Cluster1
16.64	Cluster1
16.8	Cluster1
17.8	Cluster1
16.53	Cluster1
21.52	Cluster1
16.28	Cluster1
14.88	Cluster1
17.01	Cluster1
22.09	Cluster1
19.84	Cluster1
21.04	Cluster1
16.49	Cluster1
20.32	Cluster1
23.88	Cluster1
19.86	Cluster1
26.01	Cluster1
21.45	Cluster1
25.06	Cluster1
18.69	Cluster1
19.76	Cluster1
20.19	Cluster1
22.05	Cluster1
21.96	Cluster1
22.36	Cluster1
19.09	Cluster1
20.9	Cluster1
18.74	Cluster1
21.68	Cluster1
19.8	Cluster1
20.3	Cluster1
15.7	Cluster1
25.55	Cluster1
19.59	Cluster1
18.79	Cluster1
13.25	Cluster1
19.29	Cluster1
19.04	Cluster1
18.54	Cluster1
22.37	Cluster2
23.4	Cluster2
18.76	Cluster2
24.09	Cluster2
22.97	Cluster2
21.44	Cluster2
15.68	Cluster2
23.45	Cluster2
19.2	Cluster2
21.81	Cluster2
22.27	Cluster2
22.94	Cluster2
19.88	Cluster2
18.78	Cluster2
20.98	Cluster2
23.17	Cluster2
24.13	Cluster2
20.36	Cluster2
21.11	Cluster2
19.46	Cluster2
24.45	Cluster2
23.71	Cluster2
20.82	Cluster2
20.64	Cluster2
20.62	Cluster2
23.58	Cluster2
18.29	Cluster2
24.91	Cluster2
20.26	Cluster2
19.28	Cluster2
17.26	Cluster2
21.54	Cluster2
22.2	Cluster2
17.34	Cluster2
24.06	Cluster2
21.19	Cluster2
15.68	Cluster2
16.44	Cluster2
15.63	Cluster2
13.86	Cluster2
15.36	Cluster2
21.64	Cluster2
21.13	Cluster2
20.51	Cluster2
20.4	Cluster2
22.61	Cluster2
19.22	Cluster2
17.11	Cluster2
18.49	Cluster2
22.99	Cluster2
21.53	Cluster2
17.15	Cluster2
17.09	Cluster2
22.35	Cluster2
19.29	Cluster2
18.92	Cluster2
21.34	Cluster2
22.9	Cluster2
21.39	Cluster2
18.82	Cluster2
13.74	Cluster2
15.38	Cluster2
19.65	Cluster2
19.82	Cluster2
16.08	Cluster2
20.05	Cluster2
23.45	Cluster2
21.13	Cluster2
17.19	Cluster2
19.57	Cluster2
14.95	Cluster2
21.01	Cluster2
19.74	Cluster2
21.87	Cluster2
18	Cluster2
22.21	Cluster2
20.33	Cluster2
20.54	Cluster2
17.41	Cluster2
20.37	Cluster2
19.79	Cluster2
18.2	Cluster2
23.97	Cluster2
16.97	Cluster2
16.35	Cluster2
21.15	Cluster2
16.08	Cluster2
21.39	Cluster2
23.2	Cluster2
20.11	Cluster2
20.81	Cluster2
24.48	Cluster2
23.22	Cluster2
24.3	Cluster2
25.71	Cluster2
19.13	Cluster2
23.92	Cluster2
20.93	Cluster2
21.38	Cluster2
23.54	Cluster2
19.3	Cluster2
22.97	Cluster2
17.7	Cluster2
22.15	Cluster2
20.42	Cluster2
19.75	Cluster2
20.84	Cluster2
21.7	Cluster2
20.96	Cluster3
20.33	Cluster3
22.08	Cluster3
19.38	Cluster3
20.93	Cluster3
26.04	Cluster3
22.54	Cluster3
20.45	Cluster3
20.34	Cluster3
20.88	Cluster3
21.28	Cluster3
17.19	Cluster3
18.73	Cluster3
17.71	Cluster3
17.83	Cluster3
19.45	Cluster3
18.72	Cluster3
16.86	Cluster3
19.15	Cluster3
17.25	Cluster3
18.85	Cluster3
18.7	Cluster3
22.81	Cluster3
23.81	Cluster3
20.59	Cluster3
23.83	Cluster3
22.63	Cluster3
19.46	Cluster3
20.51	Cluster3
18.21	Cluster3
23.26	Cluster3
18.73	Cluster3
19.3	Cluster3
13.34	Cluster3
19.47	Cluster3
15.91	Cluster3
14.83	Cluster3
14.02	Cluster3
15.07	Cluster3
14.95	Cluster3
16.25	Cluster3
16.65	Cluster3
16.63	Cluster3
17.7	Cluster3
16.06	Cluster3
18.39	Cluster3
14.45	Cluster3
21.34	Cluster4
19.77	Cluster4
16.65	Cluster4
21.94	Cluster4
22.98	Cluster4
20.73	Cluster4
16.47	Cluster4
20.33	Cluster4
21.47	Cluster4
20.21	Cluster4
19.04	Cluster4
23.03	Cluster4
23.87	Cluster4
21.08	Cluster4
23.05	Cluster4
21.78	Cluster4
19.48	Cluster4
20.97	Cluster4
21.92	Cluster4
21.05	Cluster4
20.5	Cluster4
19.04	Cluster4
