Mean_Gray_Value	Population
91.27	Cluster1
98.43	Cluster1
111.29	Cluster1
92.37	Cluster1
98.64	Cluster1
97.38	Cluster1
110.39	Cluster1
111.3	Cluster1
107.2	Cluster1
93.38	Cluster1
103.32	Cluster1
91.75	Cluster1
75.31	Cluster1
117.24	Cluster1
97.87	Cluster1
127.61	Cluster1
97.23	Cluster1
109.35	Cluster1
89.53	Cluster1
113.86	Cluster1
89.85	Cluster1
99.82	Cluster1
113.56	Cluster1
99.34	Cluster1
123.48	Cluster1
103.12	Cluster1
110.39	Cluster1
109.12	Cluster1
104.08	Cluster1
115.07	Cluster1
102.16	Cluster1
101.42	Cluster1
113.32	Cluster1
110.91	Cluster1
101.74	Cluster1
104.51	Cluster1
114.02	Cluster1
87.35	Cluster1
96.18	Cluster1
107.62	Cluster1
96.62	Cluster1
92.38	Cluster1
89.35	Cluster1
94.74	Cluster1
99.88	Cluster1
110.11	Cluster1
114.12	Cluster1
117.06	Cluster1
116.13	Cluster1
120.76	Cluster1
112.35	Cluster1
113.54	Cluster1
109.55	Cluster1
109.21	Cluster1
104.12	Cluster1
102.57	Cluster1
105.78	Cluster1
106.69	Cluster1
122.74	Cluster1
122.02	Cluster1
97.1	Cluster1
112.58	Cluster1
105.01	Cluster1
108.79	Cluster1
93.37	Cluster1
89.26	Cluster1
87.23	Cluster1
94.26	Cluster1
95.21	Cluster1
84.66	Cluster1
102.73	Cluster1
92.77	Cluster1
93.32	Cluster1
92.68	Cluster1
89.86	Cluster1
87.35	Cluster1
101.25	Cluster1
85.46	Cluster1
97.08	Cluster1
100.56	Cluster1
85.27	Cluster1
97.52	Cluster1
108.68	Cluster1
88.02	Cluster1
96.83	Cluster1
105.88	Cluster1
119.71	Cluster1
100.34	Cluster1
163.38	Cluster1
102.48	Cluster1
109.13	Cluster2
101.25	Cluster2
112.6	Cluster2
97.17	Cluster2
93.64	Cluster2
94.78	Cluster2
93.24	Cluster2
92.74	Cluster2
113.74	Cluster2
96.84	Cluster2
95.32	Cluster2
94.67	Cluster2
86.63	Cluster2
120.9	Cluster2
106.66	Cluster2
97.49	Cluster2
93.31	Cluster2
102.56	Cluster2
109.39	Cluster2
98.16	Cluster2
83.13	Cluster2
94.99	Cluster2
94.22	Cluster2
102.84	Cluster2
112.59	Cluster2
102.19	Cluster2
99.94	Cluster2
110.92	Cluster2
107.18	Cluster2
108.5	Cluster2
117.63	Cluster2
113.77	Cluster2
97.17	Cluster2
113.87	Cluster2
117.69	Cluster2
108.08	Cluster2
94.75	Cluster2
96.73	Cluster2
88.17	Cluster2
106.78	Cluster2
93.64	Cluster2
110.84	Cluster2
98.56	Cluster2
96	Cluster2
105	Cluster2
95.1	Cluster2
101.01	Cluster2
99.32	Cluster2
101.84	Cluster2
98.7	Cluster2
105.6	Cluster2
103.37	Cluster2
107.68	Cluster2
100.63	Cluster2
98.89	Cluster2
99.44	Cluster2
91.61	Cluster2
94.22	Cluster2
98.95	Cluster2
101.09	Cluster2
90.74	Cluster2
95.95	Cluster2
94.33	Cluster2
92.21	Cluster2
93.97	Cluster2
95.27	Cluster2
96.8	Cluster2
83.85	Cluster2
110.39	Cluster2
99.09	Cluster2
90.18	Cluster2
92.45	Cluster2
92.93	Cluster2
86	Cluster2
97.43	Cluster2
85.11	Cluster2
110.67	Cluster2
92.73	Cluster2
100.09	Cluster2
82.17	Cluster2
86.75	Cluster2
102.14	Cluster2
85.17	Cluster2
82.08	Cluster2
98.97	Cluster2
91.09	Cluster2
89.85	Cluster2
110.55	Cluster2
91.95	Cluster2
103.64	Cluster2
101.94	Cluster2
96.25	Cluster2
85.53	Cluster2
99.07	Cluster2
93.33	Cluster2
108.08	Cluster2
89.47	Cluster2
102.84	Cluster2
101.55	Cluster2
89.72	Cluster2
93.73	Cluster2
87.65	Cluster2
116.78	Cluster2
86.13	Cluster2
103.69	Cluster2
97.1	Cluster2
99.03	Cluster2
87.11	Cluster2
123.58	Cluster3
112.85	Cluster3
105.6	Cluster3
107.3	Cluster3
91.58	Cluster3
87.39	Cluster3
89.37	Cluster3
118.18	Cluster3
108.89	Cluster3
94.02	Cluster3
106.24	Cluster3
110.11	Cluster3
107.83	Cluster3
106.06	Cluster3
98.44	Cluster3
103.81	Cluster3
96.98	Cluster3
89.63	Cluster3
97.53	Cluster3
100.11	Cluster3
93.52	Cluster3
111.25	Cluster3
88.84	Cluster3
106.76	Cluster3
95.52	Cluster3
89.67	Cluster3
88.7	Cluster3
101.8	Cluster3
90.73	Cluster3
103.89	Cluster3
94.21	Cluster3
103.05	Cluster3
99.96	Cluster3
116.33	Cluster3
97.61	Cluster3
96.47	Cluster3
93.32	Cluster3
98.72	Cluster3
94.23	Cluster3
93.2	Cluster3
83.01	Cluster3
90.36	Cluster3
80.85	Cluster3
108.71	Cluster3
102.34	Cluster3
89.57	Cluster3
114.03	Cluster3
108.46	Cluster4
101.77	Cluster4
91.78	Cluster4
104.85	Cluster4
94.42	Cluster4
97.61	Cluster4
103.41	Cluster4
105.54	Cluster4
92.08	Cluster4
100.63	Cluster4
93.23	Cluster4
102.49	Cluster4
95.23	Cluster4
106.27	Cluster4
86.74	Cluster4
106	Cluster4
105.31	Cluster4
96.67	Cluster4
95.91	Cluster4
103.41	Cluster4
95.57	Cluster4
106.65	Cluster4
