Median_Gray_Value	Population
92	Cluster1
100	Cluster1
112	Cluster1
93	Cluster1
99	Cluster1
98	Cluster1
114	Cluster1
111	Cluster1
109	Cluster1
94	Cluster1
105	Cluster1
91	Cluster1
73	Cluster1
117	Cluster1
97	Cluster1
128	Cluster1
97	Cluster1
112	Cluster1
90	Cluster1
115	Cluster1
91	Cluster1
101	Cluster1
116	Cluster1
101	Cluster1
127	Cluster1
105	Cluster1
109	Cluster1
109	Cluster1
103	Cluster1
116	Cluster1
102	Cluster1
102	Cluster1
116	Cluster1
110	Cluster1
102	Cluster1
105	Cluster1
114	Cluster1
85	Cluster1
97	Cluster1
108	Cluster1
96	Cluster1
91	Cluster1
86	Cluster1
95	Cluster1
100	Cluster1
111	Cluster1
115	Cluster1
119	Cluster1
117	Cluster1
121	Cluster1
113	Cluster1
113	Cluster1
109	Cluster1
109	Cluster1
105	Cluster1
104	Cluster1
108	Cluster1
107	Cluster1
123	Cluster1
121	Cluster1
96	Cluster1
112	Cluster1
104	Cluster1
108	Cluster1
92	Cluster1
91	Cluster1
86	Cluster1
97	Cluster1
96	Cluster1
83	Cluster1
103	Cluster1
91	Cluster1
94	Cluster1
93	Cluster1
88	Cluster1
83	Cluster1
99	Cluster1
85	Cluster1
95	Cluster1
100	Cluster1
84	Cluster1
100	Cluster1
107	Cluster1
87	Cluster1
94	Cluster1
103	Cluster1
120	Cluster1
101	Cluster1
168	Cluster1
102	Cluster1
112	Cluster2
103	Cluster2
114	Cluster2
99	Cluster2
95	Cluster2
93	Cluster2
92	Cluster2
93	Cluster2
115	Cluster2
97	Cluster2
97	Cluster2
94	Cluster2
86	Cluster2
123	Cluster2
107	Cluster2
100	Cluster2
94	Cluster2
102	Cluster2
110	Cluster2
100	Cluster2
82	Cluster2
96	Cluster2
97	Cluster2
103	Cluster2
114	Cluster2
105	Cluster2
100	Cluster2
112	Cluster2
108	Cluster2
109	Cluster2
119	Cluster2
116	Cluster2
96	Cluster2
114	Cluster2
120	Cluster2
108	Cluster2
96	Cluster2
98	Cluster2
89	Cluster2
108	Cluster2
94	Cluster2
113	Cluster2
100	Cluster2
96	Cluster2
105	Cluster2
96	Cluster2
100	Cluster2
99	Cluster2
103	Cluster2
98	Cluster2
105	Cluster2
103	Cluster2
107	Cluster2
102	Cluster2
96	Cluster2
102	Cluster2
93	Cluster2
93	Cluster2
97	Cluster2
101	Cluster2
92	Cluster2
97	Cluster2
96	Cluster2
94	Cluster2
95	Cluster2
96	Cluster2
97	Cluster2
83	Cluster2
111	Cluster2
98	Cluster2
89	Cluster2
92	Cluster2
92	Cluster2
85	Cluster2
98	Cluster2
84	Cluster2
113	Cluster2
95	Cluster2
100	Cluster2
80	Cluster2
87	Cluster2
102	Cluster2
84	Cluster2
80	Cluster2
100	Cluster2
93	Cluster2
90	Cluster2
113	Cluster2
91	Cluster2
105	Cluster2
103	Cluster2
98	Cluster2
85	Cluster2
101	Cluster2
94	Cluster2
108	Cluster2
88	Cluster2
103	Cluster2
100	Cluster2
90	Cluster2
95	Cluster2
86	Cluster2
118	Cluster2
86	Cluster2
104	Cluster2
99	Cluster2
100	Cluster2
87	Cluster2
126	Cluster3
115	Cluster3
109	Cluster3
110	Cluster3
92	Cluster3
85	Cluster3
87	Cluster3
122	Cluster3
110	Cluster3
95	Cluster3
109	Cluster3
111	Cluster3
110	Cluster3
109	Cluster3
100	Cluster3
107	Cluster3
98	Cluster3
90	Cluster3
99	Cluster3
100	Cluster3
93	Cluster3
113	Cluster3
88	Cluster3
107	Cluster3
96	Cluster3
90	Cluster3
88	Cluster3
103	Cluster3
90	Cluster3
106	Cluster3
93	Cluster3
106	Cluster3
102	Cluster3
116	Cluster3
96	Cluster3
98	Cluster3
95	Cluster3
100	Cluster3
93	Cluster3
94	Cluster3
82	Cluster3
91	Cluster3
81	Cluster3
110	Cluster3
104	Cluster3
90	Cluster3
116	Cluster3
110	Cluster4
105	Cluster4
92	Cluster4
103	Cluster4
94	Cluster4
98	Cluster4
105	Cluster4
108	Cluster4
91	Cluster4
102	Cluster4
95	Cluster4
106	Cluster4
97	Cluster4
107	Cluster4
86	Cluster4
106	Cluster4
108	Cluster4
99	Cluster4
97	Cluster4
105	Cluster4
96	Cluster4
107	Cluster4
