Modal_Gray_Value	Population
79	Cluster1
108	Cluster1
120	Cluster1
97	Cluster1
96	Cluster1
94	Cluster1
127	Cluster1
107	Cluster1
116	Cluster1
98	Cluster1
101	Cluster1
86	Cluster1
65	Cluster1
116	Cluster1
96	Cluster1
127	Cluster1
97	Cluster1
106	Cluster1
87	Cluster1
115	Cluster1
94	Cluster1
95	Cluster1
128	Cluster1
95	Cluster1
136	Cluster1
109	Cluster1
98	Cluster1
101	Cluster1
90	Cluster1
127	Cluster1
91	Cluster1
111	Cluster1
124	Cluster1
109	Cluster1
104	Cluster1
109	Cluster1
117	Cluster1
83	Cluster1
79	Cluster1
89	Cluster1
75	Cluster1
70	Cluster1
75	Cluster1
108	Cluster1
113	Cluster1
126	Cluster1
113	Cluster1
122	Cluster1
125	Cluster1
118	Cluster1
116	Cluster1
114	Cluster1
119	Cluster1
106	Cluster1
106	Cluster1
111	Cluster1
107	Cluster1
108	Cluster1
110	Cluster1
120	Cluster1
85	Cluster1
106	Cluster1
92	Cluster1
95	Cluster1
91	Cluster1
92	Cluster1
81	Cluster1
95	Cluster1
100	Cluster1
63	Cluster1
100	Cluster1
76	Cluster1
95	Cluster1
91	Cluster1
90	Cluster1
81	Cluster1
93	Cluster1
79	Cluster1
86	Cluster1
104	Cluster1
80	Cluster1
106	Cluster1
103	Cluster1
80	Cluster1
84	Cluster1
86	Cluster1
122	Cluster1
113	Cluster1
171	Cluster1
94	Cluster1
120	Cluster2
102	Cluster2
114	Cluster2
116	Cluster2
97	Cluster2
89	Cluster2
80	Cluster2
110	Cluster2
121	Cluster2
98	Cluster2
98	Cluster2
85	Cluster2
91	Cluster2
124	Cluster2
105	Cluster2
114	Cluster2
119	Cluster2
98	Cluster2
108	Cluster2
109	Cluster2
78	Cluster2
100	Cluster2
99	Cluster2
93	Cluster2
131	Cluster2
106	Cluster2
104	Cluster2
109	Cluster2
104	Cluster2
107	Cluster2
127	Cluster2
130	Cluster2
94	Cluster2
106	Cluster2
126	Cluster2
98	Cluster2
108	Cluster2
108	Cluster2
90	Cluster2
105	Cluster2
89	Cluster2
113	Cluster2
98	Cluster2
96	Cluster2
96	Cluster2
94	Cluster2
102	Cluster2
95	Cluster2
111	Cluster2
87	Cluster2
97	Cluster2
112	Cluster2
99	Cluster2
117	Cluster2
88	Cluster2
106	Cluster2
100	Cluster2
85	Cluster2
92	Cluster2
97	Cluster2
96	Cluster2
104	Cluster2
99	Cluster2
97	Cluster2
96	Cluster2
96	Cluster2
101	Cluster2
84	Cluster2
108	Cluster2
95	Cluster2
83	Cluster2
82	Cluster2
90	Cluster2
83	Cluster2
102	Cluster2
70	Cluster2
128	Cluster2
100	Cluster2
102	Cluster2
71	Cluster2
69	Cluster2
95	Cluster2
87	Cluster2
74	Cluster2
103	Cluster2
101	Cluster2
89	Cluster2
121	Cluster2
96	Cluster2
107	Cluster2
107	Cluster2
103	Cluster2
80	Cluster2
94	Cluster2
109	Cluster2
105	Cluster2
77	Cluster2
98	Cluster2
93	Cluster2
94	Cluster2
84	Cluster2
82	Cluster2
117	Cluster2
76	Cluster2
99	Cluster2
98	Cluster2
104	Cluster2
96	Cluster2
136	Cluster3
120	Cluster3
120	Cluster3
123	Cluster3
109	Cluster3
82	Cluster3
76	Cluster3
129	Cluster3
113	Cluster3
101	Cluster3
117	Cluster3
117	Cluster3
119	Cluster3
114	Cluster3
87	Cluster3
117	Cluster3
110	Cluster3
91	Cluster3
108	Cluster3
98	Cluster3
89	Cluster3
116	Cluster3
96	Cluster3
105	Cluster3
105	Cluster3
96	Cluster3
83	Cluster3
104	Cluster3
90	Cluster3
114	Cluster3
82	Cluster3
120	Cluster3
109	Cluster3
111	Cluster3
91	Cluster3
95	Cluster3
96	Cluster3
106	Cluster3
91	Cluster3
95	Cluster3
77	Cluster3
96	Cluster3
82	Cluster3
121	Cluster3
106	Cluster3
89	Cluster3
119	Cluster3
111	Cluster4
110	Cluster4
90	Cluster4
92	Cluster4
93	Cluster4
106	Cluster4
98	Cluster4
119	Cluster4
89	Cluster4
105	Cluster4
94	Cluster4
117	Cluster4
99	Cluster4
106	Cluster4
78	Cluster4
101	Cluster4
120	Cluster4
107	Cluster4
100	Cluster4
119	Cluster4
98	Cluster4
106	Cluster4
