Area	Population
0.33	Cluster1
0.31	Cluster1
0.34	Cluster1
0.3	Cluster1
0.33	Cluster1
0.3	Cluster1
0.3	Cluster1
0.32	Cluster1
0.32	Cluster1
0.27	Cluster1
0.32	Cluster1
0.34	Cluster1
0.3	Cluster1
0.31	Cluster1
0.3	Cluster1
0.32	Cluster1
0.35	Cluster1
0.36	Cluster1
0.3	Cluster1
0.3	Cluster1
0.32	Cluster1
0.28	Cluster1
0.27	Cluster1
0.27	Cluster1
0.35	Cluster1
0.27	Cluster1
0.27	Cluster1
0.25	Cluster1
0.27	Cluster1
0.22	Cluster1
0.25	Cluster1
0.22	Cluster1
0.27	Cluster1
0.25	Cluster1
0.23	Cluster1
0.2	Cluster1
0.2	Cluster1
0.3	Cluster1
0.24	Cluster1
0.25	Cluster1
0.23	Cluster1
0.28	Cluster1
0.23	Cluster1
0.21	Cluster1
0.23	Cluster1
0.23	Cluster1
0.3	Cluster1
0.28	Cluster1
0.25	Cluster1
0.3	Cluster1
0.31	Cluster1
0.28	Cluster1
0.27	Cluster1
0.3	Cluster1
0.3	Cluster1
0.33	Cluster1
0.26	Cluster1
0.26	Cluster1
0.28	Cluster1
0.26	Cluster1
0.29	Cluster1
0.33	Cluster1
0.32	Cluster1
0.22	Cluster1
0.29	Cluster1
0.28	Cluster1
0.27	Cluster1
0.29	Cluster1
0.34	Cluster1
0.27	Cluster1
0.26	Cluster1
0.23	Cluster1
0.24	Cluster1
0.23	Cluster1
0.24	Cluster1
0.2	Cluster1
0.23	Cluster1
0.23	Cluster1
0.22	Cluster1
0.27	Cluster1
0.21	Cluster1
0.25	Cluster1
0.26	Cluster1
0.26	Cluster1
0.25	Cluster1
0.24	Cluster1
0.27	Cluster1
0.22	Cluster1
0.02	Cluster1
0.22	Cluster1
0.33	Cluster2
0.33	Cluster2
0.29	Cluster2
0.31	Cluster2
0.33	Cluster2
0.32	Cluster2
0.26	Cluster2
0.29	Cluster2
0.34	Cluster2
0.34	Cluster2
0.31	Cluster2
0.25	Cluster2
0.25	Cluster2
0.34	Cluster2
0.25	Cluster2
0.3	Cluster2
0.3	Cluster2
0.34	Cluster2
0.31	Cluster2
0.27	Cluster2
0.33	Cluster2
0.31	Cluster2
0.3	Cluster2
0.42	Cluster2
0.4	Cluster2
0.39	Cluster2
0.39	Cluster2
0.51	Cluster2
0.4	Cluster2
0.37	Cluster2
0.35	Cluster2
0.34	Cluster2
0.37	Cluster2
0.44	Cluster2
0.41	Cluster2
0.38	Cluster2
0.35	Cluster2
0.29	Cluster2
0.22	Cluster2
0.19	Cluster2
0.2	Cluster2
0.44	Cluster2
0.41	Cluster2
0.39	Cluster2
0.41	Cluster2
0.42	Cluster2
0.34	Cluster2
0.36	Cluster2
0.31	Cluster2
0.35	Cluster2
0.32	Cluster2
0.36	Cluster2
0.32	Cluster2
0.45	Cluster2
0.37	Cluster2
0.3	Cluster2
0.41	Cluster2
0.35	Cluster2
0.3	Cluster2
0.33	Cluster2
0.27	Cluster2
0.26	Cluster2
0.4	Cluster2
0.49	Cluster2
0.37	Cluster2
0.39	Cluster2
0.39	Cluster2
0.45	Cluster2
0.37	Cluster2
0.37	Cluster2
0.39	Cluster2
0.37	Cluster2
0.34	Cluster2
0.36	Cluster2
0.37	Cluster2
0.4	Cluster2
0.43	Cluster2
0.48	Cluster2
0.4	Cluster2
0.42	Cluster2
0.42	Cluster2
0.43	Cluster2
0.35	Cluster2
0.26	Cluster2
0.37	Cluster2
0.29	Cluster2
0.2	Cluster2
0.4	Cluster2
0.41	Cluster2
0.31	Cluster2
0.33	Cluster2
0.4	Cluster2
0.36	Cluster2
0.4	Cluster2
0.39	Cluster2
0.36	Cluster2
0.37	Cluster2
0.33	Cluster2
0.33	Cluster2
0.33	Cluster2
0.34	Cluster2
0.39	Cluster2
0.31	Cluster2
0.34	Cluster2
0.26	Cluster2
0.31	Cluster2
0.35	Cluster2
0.37	Cluster2
0.39	Cluster3
0.37	Cluster3
0.41	Cluster3
0.4	Cluster3
0.4	Cluster3
0.47	Cluster3
0.37	Cluster3
0.36	Cluster3
0.38	Cluster3
0.38	Cluster3
0.34	Cluster3
0.3	Cluster3
0.26	Cluster3
0.3	Cluster3
0.24	Cluster3
0.3	Cluster3
0.25	Cluster3
0.26	Cluster3
0.37	Cluster3
0.21	Cluster3
0.34	Cluster3
0.29	Cluster3
0.34	Cluster3
0.28	Cluster3
0.3	Cluster3
0.32	Cluster3
0.35	Cluster3
0.31	Cluster3
0.28	Cluster3
0.25	Cluster3
0.26	Cluster3
0.32	Cluster3
0.29	Cluster3
0.24	Cluster3
0.19	Cluster3
0.22	Cluster3
0.16	Cluster3
0.19	Cluster3
0.19	Cluster3
0.18	Cluster3
0.23	Cluster3
0.23	Cluster3
0.21	Cluster3
0.22	Cluster3
0.24	Cluster3
0.24	Cluster3
0.22	Cluster3
0.35	Cluster4
0.4	Cluster4
0.38	Cluster4
0.38	Cluster4
0.4	Cluster4
0.45	Cluster4
0.32	Cluster4
0.36	Cluster4
0.36	Cluster4
0.39	Cluster4
0.44	Cluster4
0.42	Cluster4
0.43	Cluster4
0.37	Cluster4
0.38	Cluster4
0.33	Cluster4
0.36	Cluster4
0.41	Cluster4
0.42	Cluster4
0.35	Cluster4
0.35	Cluster4
0.35	Cluster4
