Ferets_Diameter	Population
0.86	Cluster1
0.82	Cluster1
0.87	Cluster1
0.82	Cluster1
0.85	Cluster1
0.84	Cluster1
0.82	Cluster1
0.85	Cluster1
0.84	Cluster1
0.75	Cluster1
0.85	Cluster1
0.86	Cluster1
0.82	Cluster1
0.83	Cluster1
0.83	Cluster1
0.85	Cluster1
0.88	Cluster1
0.9	Cluster1
0.84	Cluster1
0.84	Cluster1
0.85	Cluster1
0.8	Cluster1
0.78	Cluster1
0.77	Cluster1
0.88	Cluster1
0.79	Cluster1
0.79	Cluster1
0.78	Cluster1
0.77	Cluster1
0.7	Cluster1
0.77	Cluster1
0.72	Cluster1
0.82	Cluster1
0.75	Cluster1
0.73	Cluster1
0.69	Cluster1
0.68	Cluster1
0.82	Cluster1
0.75	Cluster1
0.77	Cluster1
0.71	Cluster1
0.81	Cluster1
0.73	Cluster1
0.69	Cluster1
0.71	Cluster1
0.7	Cluster1
0.82	Cluster1
0.8	Cluster1
0.75	Cluster1
0.81	Cluster1
0.85	Cluster1
0.78	Cluster1
0.77	Cluster1
0.84	Cluster1
0.84	Cluster1
0.87	Cluster1
0.77	Cluster1
0.77	Cluster1
0.78	Cluster1
0.77	Cluster1
0.8	Cluster1
0.83	Cluster1
0.84	Cluster1
0.71	Cluster1
0.8	Cluster1
0.79	Cluster1
0.78	Cluster1
0.79	Cluster1
0.88	Cluster1
0.78	Cluster1
0.77	Cluster1
0.73	Cluster1
0.72	Cluster1
0.72	Cluster1
0.73	Cluster1
0.67	Cluster1
0.72	Cluster1
0.73	Cluster1
0.71	Cluster1
0.78	Cluster1
0.69	Cluster1
0.74	Cluster1
0.75	Cluster1
0.76	Cluster1
0.74	Cluster1
0.73	Cluster1
0.77	Cluster1
0.74	Cluster1
0.29	Cluster1
0.72	Cluster1
0.89	Cluster2
0.88	Cluster2
0.84	Cluster2
0.85	Cluster2
0.88	Cluster2
0.86	Cluster2
0.8	Cluster2
0.82	Cluster2
0.91	Cluster2
0.88	Cluster2
0.86	Cluster2
0.75	Cluster2
0.76	Cluster2
0.91	Cluster2
0.78	Cluster2
0.84	Cluster2
0.85	Cluster2
0.92	Cluster2
0.88	Cluster2
0.79	Cluster2
0.89	Cluster2
0.86	Cluster2
0.84	Cluster2
0.94	Cluster2
0.92	Cluster2
0.9	Cluster2
0.91	Cluster2
1.04	Cluster2
0.92	Cluster2
0.89	Cluster2
0.85	Cluster2
0.85	Cluster2
0.91	Cluster2
0.97	Cluster2
0.92	Cluster2
0.91	Cluster2
0.85	Cluster2
0.77	Cluster2
0.67	Cluster2
0.64	Cluster2
0.63	Cluster2
0.99	Cluster2
0.97	Cluster2
0.93	Cluster2
0.93	Cluster2
0.94	Cluster2
0.88	Cluster2
0.9	Cluster2
0.84	Cluster2
0.87	Cluster2
0.87	Cluster2
0.89	Cluster2
0.83	Cluster2
1	Cluster2
0.91	Cluster2
0.76	Cluster2
0.95	Cluster2
0.88	Cluster2
0.8	Cluster2
0.86	Cluster2
0.74	Cluster2
0.72	Cluster2
0.95	Cluster2
1.03	Cluster2
0.89	Cluster2
0.91	Cluster2
0.91	Cluster2
0.98	Cluster2
0.86	Cluster2
0.89	Cluster2
0.9	Cluster2
0.9	Cluster2
0.85	Cluster2
0.88	Cluster2
0.86	Cluster2
0.92	Cluster2
0.99	Cluster2
1.01	Cluster2
0.92	Cluster2
0.96	Cluster2
0.94	Cluster2
0.94	Cluster2
0.89	Cluster2
0.73	Cluster2
0.88	Cluster2
0.77	Cluster2
0.65	Cluster2
0.92	Cluster2
0.95	Cluster2
0.88	Cluster2
0.88	Cluster2
0.94	Cluster2
0.89	Cluster2
0.91	Cluster2
0.9	Cluster2
0.9	Cluster2
0.9	Cluster2
0.86	Cluster2
0.86	Cluster2
0.84	Cluster2
0.86	Cluster2
0.92	Cluster2
0.83	Cluster2
0.85	Cluster2
0.75	Cluster2
0.82	Cluster2
0.84	Cluster2
0.85	Cluster2
0.94	Cluster3
0.91	Cluster3
0.91	Cluster3
0.98	Cluster3
0.95	Cluster3
1.03	Cluster3
0.98	Cluster3
0.9	Cluster3
0.92	Cluster3
0.93	Cluster3
0.86	Cluster3
0.81	Cluster3
0.76	Cluster3
0.79	Cluster3
0.72	Cluster3
0.79	Cluster3
0.73	Cluster3
0.76	Cluster3
0.87	Cluster3
0.67	Cluster3
0.87	Cluster3
0.81	Cluster3
0.9	Cluster3
0.8	Cluster3
0.84	Cluster3
0.86	Cluster3
0.91	Cluster3
0.85	Cluster3
0.81	Cluster3
0.77	Cluster3
0.77	Cluster3
0.83	Cluster3
0.81	Cluster3
0.75	Cluster3
0.64	Cluster3
0.71	Cluster3
0.6	Cluster3
0.66	Cluster3
0.67	Cluster3
0.64	Cluster3
0.73	Cluster3
0.71	Cluster3
0.69	Cluster3
0.69	Cluster3
0.71	Cluster3
0.72	Cluster3
0.69	Cluster3
0.9	Cluster4
0.95	Cluster4
0.92	Cluster4
0.87	Cluster4
0.94	Cluster4
1.02	Cluster4
0.86	Cluster4
0.89	Cluster4
0.89	Cluster4
0.91	Cluster4
0.99	Cluster4
0.97	Cluster4
0.97	Cluster4
0.91	Cluster4
0.89	Cluster4
0.87	Cluster4
0.89	Cluster4
0.97	Cluster4
0.96	Cluster4
0.9	Cluster4
0.89	Cluster4
0.89	Cluster4
