Perimeter	Population
2.23	Cluster1
2.14	Cluster1
2.24	Cluster1
2.12	Cluster1
2.23	Cluster1
2.13	Cluster1
2.11	Cluster1
2.19	Cluster1
2.18	Cluster1
1.97	Cluster1
2.21	Cluster1
2.26	Cluster1
2.12	Cluster1
2.18	Cluster1
2.11	Cluster1
2.2	Cluster1
2.28	Cluster1
2.32	Cluster1
2.12	Cluster1
2.12	Cluster1
2.18	Cluster1
2.07	Cluster1
2.01	Cluster1
1.98	Cluster1
2.3	Cluster1
2.02	Cluster1
2.01	Cluster1
1.96	Cluster1
2	Cluster1
1.81	Cluster1
1.97	Cluster1
1.84	Cluster1
2.05	Cluster1
1.94	Cluster1
1.86	Cluster1
1.75	Cluster1
1.74	Cluster1
2.12	Cluster1
1.9	Cluster1
1.95	Cluster1
1.84	Cluster1
2.05	Cluster1
1.87	Cluster1
1.79	Cluster1
1.84	Cluster1
1.83	Cluster1
2.13	Cluster1
2.05	Cluster1
1.93	Cluster1
2.11	Cluster1
2.15	Cluster1
2.03	Cluster1
2	Cluster1
2.13	Cluster1
2.12	Cluster1
2.23	Cluster1
1.96	Cluster1
1.98	Cluster1
2.02	Cluster1
1.98	Cluster1
2.08	Cluster1
2.21	Cluster1
2.16	Cluster1
1.82	Cluster1
2.06	Cluster1
2.03	Cluster1
2.02	Cluster1
2.07	Cluster1
2.25	Cluster1
2.02	Cluster1
1.97	Cluster1
1.86	Cluster1
1.87	Cluster1
1.85	Cluster1
1.89	Cluster1
1.73	Cluster1
1.86	Cluster1
1.85	Cluster1
1.81	Cluster1
2.03	Cluster1
1.75	Cluster1
1.91	Cluster1
1.98	Cluster1
2.01	Cluster1
1.92	Cluster1
1.88	Cluster1
2.01	Cluster1
2.74	Cluster1
0.83	Cluster1
1.83	Cluster1
2.26	Cluster2
2.25	Cluster2
2.11	Cluster2
2.17	Cluster2
2.23	Cluster2
2.21	Cluster2
2.03	Cluster2
2.11	Cluster2
2.28	Cluster2
2.27	Cluster2
2.17	Cluster2
1.96	Cluster2
1.98	Cluster2
2.29	Cluster2
1.97	Cluster2
2.13	Cluster2
2.18	Cluster2
2.3	Cluster2
2.2	Cluster2
2.02	Cluster2
2.27	Cluster2
2.19	Cluster2
2.13	Cluster2
2.47	Cluster2
2.44	Cluster2
2.42	Cluster2
2.44	Cluster2
2.76	Cluster2
2.41	Cluster2
2.32	Cluster2
2.24	Cluster2
2.22	Cluster2
2.37	Cluster2
2.52	Cluster2
2.44	Cluster2
2.36	Cluster2
2.24	Cluster2
2.06	Cluster2
1.79	Cluster2
1.66	Cluster2
1.69	Cluster2
2.57	Cluster2
2.49	Cluster2
2.39	Cluster2
2.44	Cluster2
2.49	Cluster2
2.27	Cluster2
2.29	Cluster2
2.14	Cluster2
2.27	Cluster2
2.2	Cluster2
2.3	Cluster2
2.18	Cluster2
2.58	Cluster2
2.34	Cluster2
2.05	Cluster2
2.46	Cluster2
2.26	Cluster2
2.09	Cluster2
2.21	Cluster2
1.98	Cluster2
1.93	Cluster2
2.44	Cluster2
2.7	Cluster2
2.32	Cluster2
2.39	Cluster2
2.4	Cluster2
2.58	Cluster2
2.32	Cluster2
2.33	Cluster2
2.37	Cluster2
2.33	Cluster2
2.23	Cluster2
2.3	Cluster2
2.3	Cluster2
2.41	Cluster2
2.55	Cluster2
2.64	Cluster2
2.41	Cluster2
2.5	Cluster2
2.47	Cluster2
2.5	Cluster2
2.27	Cluster2
1.94	Cluster2
2.31	Cluster2
2.07	Cluster2
1.71	Cluster2
2.42	Cluster2
2.47	Cluster2
2.61	Cluster2
2.23	Cluster2
2.48	Cluster2
2.32	Cluster2
2.46	Cluster2
2.41	Cluster2
2.32	Cluster2
2.37	Cluster2
2.23	Cluster2
2.21	Cluster2
2.21	Cluster2
2.23	Cluster2
2.41	Cluster2
2.17	Cluster2
2.21	Cluster2
1.95	Cluster2
2.1	Cluster2
2.27	Cluster2
2.29	Cluster2
2.38	Cluster3
2.37	Cluster3
2.45	Cluster3
2.5	Cluster3
2.43	Cluster3
2.65	Cluster3
2.43	Cluster3
2.3	Cluster3
2.37	Cluster3
2.39	Cluster3
2.24	Cluster3
2.09	Cluster3
1.97	Cluster3
2.08	Cluster3
1.89	Cluster3
2.1	Cluster3
1.91	Cluster3
1.96	Cluster3
2.34	Cluster3
1.74	Cluster3
2.27	Cluster3
2.1	Cluster3
2.26	Cluster3
2.04	Cluster3
2.14	Cluster3
2.24	Cluster3
2.33	Cluster3
2.16	Cluster3
2.04	Cluster3
1.96	Cluster3
1.98	Cluster3
2.14	Cluster3
2.08	Cluster3
1.91	Cluster3
1.65	Cluster3
1.81	Cluster3
1.53	Cluster3
1.69	Cluster3
1.69	Cluster3
1.62	Cluster3
1.86	Cluster3
1.84	Cluster3
1.76	Cluster3
1.8	Cluster3
1.86	Cluster3
1.87	Cluster3
1.79	Cluster3
2.29	Cluster4
2.44	Cluster4
2.37	Cluster4
2.35	Cluster4
2.44	Cluster4
2.59	Cluster4
2.19	Cluster4
2.32	Cluster4
2.33	Cluster4
2.39	Cluster4
2.57	Cluster4
2.5	Cluster4
2.52	Cluster4
2.34	Cluster4
2.36	Cluster4
2.23	Cluster4
2.31	Cluster4
2.46	Cluster4
2.5	Cluster4
2.29	Cluster4
2.28	Cluster4
2.28	Cluster4
