Shell_Height	Population
11.58	TGCP
10.75	TGCP
11.25	TGCP
10.14	TGCP
10.68	TGCP
10.71	TGCP
11.59	TGCP
10.65	TGCP
11.08	TGCP
11.43	TGCP
11.55	TGCP
11.52	TGCP
11.18	TGCP
10.91	TGCP
10.85	TGCP
11.57	TGCP
11.8	TGCP
11.02	TGCP
12.66	BHP
10.81	BHP
10.88	BHP
9.68	BHP
11.04	BHP
10.31	BHP
10.61	BHP
10.59	BHP
9.76	BHP
9.67	BHP
12.35	MRLP
11.96	MRLP
10.07	MRLP
11.58	MRLP
10.96	MRLP
11.63	MRLP
11.32	MRLP
12.34	MRLP
10.84	MRLP
11.18	MRLP
11.57	STT
10.84	STT
12.03	STT
11.41	STT
10.4	STT
10.67	STT
11.39	STT
12.04	STT
11.19	STT
10.06	STT
10.9	FSSP
10.34	FSSP
10.86	FSSP
11.09	FSSP
11.42	FSSP
9.61	FSSP
10.88	FSSP
11.72	FSSP
11.07	FSSP
10.21	FSSP
10.78	FSSP
10.44	FSSP
11.32	FSSP
10.08	FSSP
10.74	FSSP
11.3	FSSP
11.06	FSSP
9.91	FSSP
11.1	FSSP
9.98	FSSP
11.1	FSSP
10.55	FSSP
11.76	HNL
11.75	HNL
11.13	HNL
10.95	HNL
10.7	HNL
11.26	HNL
11.65	HNL
11.14	HNL
10.24	HNL
11.67	HNL
11.12	HNL
10.36	HNL
12.05	HNL
10.69	HNL
12.01	HNL
11.36	HNL
12.78	HNL
12.36	HNL
11.24	HNL
12.22	HNL
12.19	HNL
11.04	HNL
9.97	HNL
10.4	HNL
11.81	HNL
10.24	HNL
10.68	HNL
10.84	HNL
10.57	HNL
12.4	HNL
11.28	HNL
10.3	HNL
9.95	NRVP
11.37	NRVP
10.95	NRVP
11.47	NRVP
10.89	NRVP
10.12	NRVP
10.18	NRVP
11.33	NRVP
10.35	NRVP
11.68	NRVP
11.03	NRVP
10.6	NRVP
9.95	NRVP
9.95	NRVP
10.01	NRVP
10.38	NRVP
9.77	NRVP
9.75	NRVP
10.48	NRVP
10.8	NRVP
9.78	NRVP
11.1	PPFD
10.58	PPFD
10.99	PPFD
10.55	PPFD
10.54	PPFD
12.04	PPFD
10.47	PPFD
10.89	PPFD
9.67	PPFD
10.58	PPFD
10.83	PPFD
9.18	PPFD
10.79	PPFD
9.9	PPFD
10.27	PPFD
11.37	PPFD
10.33	PPFD
11.6	PPFD
10.62	PPFD
10.83	PPFD
10.93	PPFD
10.98	PPFD
10.49	PPFD
10.07	PPFD
10.38	PPFD
11.41	PPFD
10.22	MPO
10.9	MPO
10.9	MPO
10.82	MPO
10.49	MPO
8.91	MPO
10.28	MPO
10.16	MPO
8.61	MPO
10.32	MPO
11.29	MPO
9.87	MPO
11.23	MPO
10.12	MPO
10.71	MPO
10.09	MPO
10.21	MPO
10.36	MPO
11.3	MPO
10.93	MPO
10.05	MPO
10.32	MPO
9.5	MPO
9	MPO
10.43	OICP
9.89	OICP
9.78	OICP
10.45	OICP
10.44	OICP
9.78	OICP
10.27	OICP
10.24	OICP
10	OICP
10.83	OICP
9.59	OICP
9.4	OICP
9.85	OICP
9.77	OICP
9.8	OICP
10.46	OICP
10.2	OICP
8.5	OICP
9.92	OICP
9.72	OICP
9.53	OICP
10.4	OICP
10.42	OICP
12.48	IRO
12.24	IRO
12.94	IRO
12.53	IRO
14.02	IRO
12.78	IRO
11.68	IRO
11.34	IRO
11.3	IRO
11.68	IRO
11.57	IRO
12.48	IRO
11.3	IRO
8.9	HGRF
9.29	HGRF
8.67	HGRF
9.13	HGRF
9.13	HGRF
9.28	HGRF
8.51	HGRF
9.23	HGRF
9.39	HGRF
8.91	HGRF
8.25	HGRF
7.99	HGRF
9.95	HGRF
8.78	HGRF
9.1	HGRF
8.53	HGRF
8.53	HGRF
9.66	HGRF
8.83	HGRF
8.29	HGRF
8.76	HGRF
8.62	HGRF
8.71	HGRF
9.49	PTP
9.35	PTP
9.05	PTP
9.3	PTP
8.94	PTP
9.26	PTP
8.14	PTP
8.88	PTP
8.91	PTP
8.63	PTP
9.91	PTP
8.45	PTP
9.11	PTP
9.87	PTP
9.85	PTP
8.99	PTP
9.42	PTP
9.68	PTP
9.19	PTP
8.12	PTP
8.55	PTP
12.05	RRL
13.67	RRL
11.87	RRL
12.37	RRL
13.15	RRL
13.78	RRL
12.32	RRL
11.76	RRL
12.23	RRL
11.69	RRL
10.96	RRL
11.63	RRL
11.85	RRL
12.29	RRL
12.36	RRL
12.09	RRL
12.46	RRL
12.27	RRL
11.83	RRL
12.83	RRL
11.13	RRL
12.35	RRO
12.19	RRO
10.17	RRO
11.9	RRO
11	RRO
12.28	RRO
12.31	RRO
11.05	RRO
11.99	RRO
10.71	RRO
10.79	RRO
11.64	RRO
11.08	RRO
11.98	RRO
10.97	RRO
11.09	RRO
9.71	RRO
10.13	RRO
11.97	RRO
11.67	RRO
10.17	CPS
10.18	CPS
9.33	CPS
10	CPS
10.28	CPS
10.27	CPS
9.7	CPS
10.06	CPS
9.93	CPS
10.98	CPS
10.43	CPS
9.9	CPS
9.61	CPS
10.32	CPS
9.75	CPS
10.37	CPS
10.43	CPS
9.92	CPS
9.78	CPS
9.72	CPS
10.06	CPS
9.62	CPS
9.65	CPS
11.14	PPNP
10.18	PPNP
10.89	PPNP
9.55	PPNP
10.32	PPNP
11.49	PPNP
10.88	PPNP
10.36	PPNP
9.72	PPNP
9.19	PPNP
11.37	PPNP
11.3	FPPI
11.1	FPPI
12.59	FPPI
11.58	FPPI
11.57	FPPI
12.59	FPPI
11.84	FPPI
11.29	FPPI
11.41	FPPI
11.49	FPPI
10.68	FPPI
10.56	CRWA
10.99	CRWA
10.91	CRWA
10.93	CRWA
10.37	CRWA
11.02	CRWA
9.98	CRWA
10.48	CRWA
10.61	CRWA
10.36	CRWA
10.7	CRWA
11.35	CRWA
10.3	CRWA
10.56	CRWA
10.09	CRWA
10.35	CRWA
11.05	CRWA
11.1	CRWA
10.25	CRWA
10.2	CRWA
10.78	CRWA
10.36	CRWA
9.32	CRWA
10.2	CRWA
11.22	CRWA
12.45	PCRA
11.3	PCRA
11.57	PCRA
12.56	PCRA
12.69	PCRA
10.8	PCRA
10.97	PCRA
10.38	PCRA
11.43	PCRA
10.17	PCRA
10.98	PCRA
10.96	PCRA
12.2	PCRA
11.05	PCRA
11.92	PCRA
11.19	PCRA
10.47	PCRA
11.15	PCRA
10.65	DHFA
11.82	DHFA
11.9	DHFA
11.62	DHFA
12.52	DHFA
11.91	DHFA
12.44	DHFA
10.64	DHFA
11.39	DHFA
11.77	DHFA
12.36	DHFA
12.85	DHFA
12.04	DHFA
12.01	DHFA
12.06	DHFA
11.78	DHFA
12.48	DHFA
10.75	DHFA
11.48	DHFA
11.54	DHFA
12.18	DHFA
11.28	DHFA
10.64	DHFA
10.44	DHFA
10.57	DHFA
