Shell_Whorls	Population
5	TGCP
5	TGCP
5	TGCP
5	TGCP
5	TGCP
5	TGCP
5	TGCP
5	TGCP
5	TGCP
5	TGCP
5	TGCP
5.5	TGCP
5	TGCP
5	TGCP
5	TGCP
5.25	TGCP
5	TGCP
5	TGCP
5.5	BHP
5	BHP
5	BHP
4.75	BHP
5	BHP
4.75	BHP
5	BHP
5	BHP
4.75	BHP
4.75	BHP
5	MRLP
5.25	MRLP
5	MRLP
5	MRLP
5	MRLP
5.25	MRLP
5	MRLP
5.25	MRLP
5	MRLP
5	MRLP
4.75	STT
5	STT
5.25	STT
5	STT
4.75	STT
5	STT
5.25	STT
5	STT
5	STT
4.75	STT
5	FSSP
5	FSSP
5	FSSP
5	FSSP
5	FSSP
4.75	FSSP
5	FSSP
5	FSSP
5	FSSP
4.75	FSSP
5	FSSP
4.75	FSSP
5	FSSP
5	FSSP
5.25	FSSP
5.25	FSSP
5	FSSP
4.75	FSSP
5.25	FSSP
4.75	FSSP
5	FSSP
5	FSSP
5	HNL
5.25	HNL
5	HNL
5	HNL
4.75	HNL
5	HNL
5.25	HNL
5	HNL
5	HNL
5.25	HNL
5	HNL
5	HNL
5.25	HNL
5	HNL
5.25	HNL
5.25	HNL
5	HNL
5.25	HNL
5.25	HNL
5	HNL
5	HNL
5.25	HNL
4.75	HNL
5	HNL
5	HNL
5	HNL
4.75	HNL
5	HNL
5.25	HNL
5	HNL
5.5	HNL
5.25	HNL
5	HNL
4.5	NRVP
5	NRVP
5	NRVP
5.25	NRVP
5	NRVP
5	NRVP
5	NRVP
5	NRVP
5	NRVP
5.25	NRVP
5	NRVP
5	NRVP
4.75	NRVP
4.75	NRVP
4.75	NRVP
5	NRVP
4.75	NRVP
4.75	NRVP
5	NRVP
5	NRVP
5	NRVP
5.25	PPFD
5	PPFD
5	PPFD
5.25	PPFD
5	PPFD
5.25	PPFD
5	PPFD
5	PPFD
4.5	PPFD
5	PPFD
5	PPFD
5	PPFD
5	PPFD
5	PPFD
5	PPFD
5.25	PPFD
5	PPFD
5	PPFD
5.25	PPFD
5	PPFD
5	PPFD
4.75	PPFD
4.75	PPFD
5.25	PPFD
5	PPFD
5.25	PPFD
5	MPO
5	MPO
5	MPO
5.25	MPO
5	MPO
4.5	MPO
5	MPO
4.75	MPO
4.5	MPO
5	MPO
5	MPO
4.75	MPO
5.25	MPO
5	MPO
5.25	MPO
5	MPO
5	MPO
4.75	MPO
5	MPO
5	MPO
4.75	MPO
5	MPO
4.75	MPO
4.75	MPO
5	OICP
5	OICP
4.75	OICP
5	OICP
5.25	OICP
4.75	OICP
5	OICP
5	OICP
4.75	OICP
5	OICP
4.75	OICP
5	OICP
5	OICP
5	OICP
4.75	OICP
5	OICP
5	OICP
4.5	OICP
5	OICP
4.75	OICP
4.75	OICP
5	OICP
5.25	OICP
5.25	IRO
5	IRO
5	IRO
5	IRO
5.5	IRO
5	IRO
5	IRO
5	IRO
5	IRO
5	IRO
5	IRO
5.25	IRO
5	IRO
4.5	HGRF
4.5	HGRF
4.5	HGRF
4.75	HGRF
4.75	HGRF
4.5	HGRF
4.5	HGRF
4.75	HGRF
4.75	HGRF
4.75	HGRF
4.5	HGRF
4.5	HGRF
5	HGRF
4.75	HGRF
4.75	HGRF
4.75	HGRF
4.75	HGRF
4.75	HGRF
4.5	HGRF
4.75	HGRF
4.5	HGRF
4.75	HGRF
4.75	HGRF
5	PTP
4.75	PTP
4.75	PTP
4.75	PTP
4.75	PTP
4.75	PTP
4.5	PTP
4.75	PTP
4.5	PTP
4.75	PTP
5	PTP
4.5	PTP
4.75	PTP
5	PTP
5	PTP
4.75	PTP
5	PTP
5	PTP
4.75	PTP
4.75	PTP
4.75	PTP
5	RRL
5.5	RRL
5.25	RRL
5	RRL
5.25	RRL
5.5	RRL
5	RRL
5	RRL
5.25	RRL
4.75	RRL
4.75	RRL
5	RRL
5	RRL
5.25	RRL
5	RRL
5	RRL
5	RRL
5.25	RRL
5.25	RRL
5.25	RRL
4.75	RRL
5.25	RRO
5	RRO
5	RRO
5.25	RRO
5	RRO
5.5	RRO
5.25	RRO
5	RRO
5.25	RRO
5	RRO
5	RRO
5.25	RRO
4.75	RRO
5	RRO
4.75	RRO
4.75	RRO
4.75	RRO
4.75	RRO
5.25	RRO
5.25	RRO
5	CPS
5	CPS
4.75	CPS
5.25	CPS
5	CPS
5.25	CPS
5	CPS
5	CPS
5	CPS
5	CPS
5	CPS
5.25	CPS
5.25	CPS
5	CPS
4.75	CPS
5.25	CPS
5.25	CPS
5	CPS
5	CPS
5	CPS
5	CPS
5	CPS
5	CPS
5.5	PPNP
5	PPNP
5.25	PPNP
5	PPNP
5.25	PPNP
5.25	PPNP
4.75	PPNP
4.75	PPNP
5	PPNP
5	PPNP
5.25	FPPI
5.25	FPPI
5.5	FPPI
5	FPPI
5	FPPI
5.25	FPPI
5	FPPI
5	FPPI
5.25	FPPI
5	FPPI
5	FPPI
5	CRWA
5	CRWA
5	CRWA
5	CRWA
5	CRWA
4.75	CRWA
4.5	CRWA
5	CRWA
5	CRWA
5	CRWA
5	CRWA
5.25	CRWA
5	CRWA
4.75	CRWA
4.75	CRWA
4.75	CRWA
5	CRWA
5	CRWA
5	CRWA
5	CRWA
5	CRWA
4.75	CRWA
5	CRWA
5	CRWA
5	CRWA
5.25	PCRA
5	PCRA
5	PCRA
5.25	PCRA
5	PCRA
5	PCRA
4.75	PCRA
4.75	PCRA
5	PCRA
4.75	PCRA
4.75	PCRA
4.75	PCRA
5	PCRA
4.75	PCRA
5	PCRA
5	PCRA
5	PCRA
5	PCRA
4.75	DHFA
5	DHFA
5	DHFA
4.75	DHFA
5	DHFA
5	DHFA
5	DHFA
4.75	DHFA
5	DHFA
5	DHFA
5	DHFA
5	DHFA
5	DHFA
5	DHFA
4.75	DHFA
4.75	DHFA
5	DHFA
5	DHFA
5	DHFA
5	DHFA
5	DHFA
5	DHFA
4.75	DHFA
4.75	DHFA
4.75	DHFA
