Shell_Width_1	Population
19.62	TGCP
20.33	TGCP
21.21	TGCP
18.27	TGCP
20.45	TGCP
20.7	TGCP
20.03	TGCP
20.15	TGCP
21.25	TGCP
20.37	TGCP
18.88	TGCP
20.43	TGCP
20.11	TGCP
21	TGCP
20.87	TGCP
21	TGCP
20.99	TGCP
21.29	TGCP
22.45	BHP
21.28	BHP
19.7	BHP
20.4	BHP
20.23	BHP
20.06	BHP
19.8	BHP
19.7	BHP
19.13	BHP
18.81	BHP
22.56	MRLP
22.17	MRLP
20.29	MRLP
20.81	MRLP
20.2	MRLP
21.8	MRLP
21.47	MRLP
22.21	MRLP
20.84	MRLP
20.94	MRLP
20.13	STT
21.55	STT
20.14	STT
20.97	STT
20.23	STT
19.96	STT
21.64	STT
20.58	STT
20.39	STT
19.71	STT
19.95	FSSP
20.13	FSSP
19.81	FSSP
22.25	FSSP
20.13	FSSP
18.57	FSSP
19.54	FSSP
20.83	FSSP
19.49	FSSP
20.08	FSSP
20.67	FSSP
18.96	FSSP
20.69	FSSP
19.37	FSSP
20.04	FSSP
19.62	FSSP
18.8	FSSP
18.39	FSSP
22.43	FSSP
20.08	FSSP
20.27	FSSP
19.59	FSSP
21.57	HNL
20.45	HNL
21.41	HNL
20.53	HNL
20.83	HNL
21.33	HNL
20.81	HNL
18	HNL
22.14	HNL
20.71	HNL
21.07	HNL
19.35	HNL
22.84	HNL
22.03	HNL
22.78	HNL
22.08	HNL
20.75	HNL
21.06	HNL
20.39	HNL
20.81	HNL
18.79	HNL
19.4	HNL
19.79	HNL
19.31	HNL
20.66	HNL
21.62	HNL
20.7	HNL
21.12	HNL
21.42	HNL
20.57	HNL
18.85	NRVP
19.94	NRVP
19.46	NRVP
19.81	NRVP
19.37	NRVP
18.89	NRVP
18.13	NRVP
20.79	NRVP
18.41	NRVP
22.58	NRVP
20.2	NRVP
18.85	NRVP
18.11	NRVP
18.85	NRVP
19.13	NRVP
18.51	NRVP
19.23	NRVP
19.02	NRVP
18.49	NRVP
20.46	NRVP
18.12	NRVP
21.5	PPFD
19.04	PPFD
21.19	PPFD
20.16	PPFD
20.53	PPFD
22.04	PPFD
19.38	PPFD
20.14	PPFD
19.8	PPFD
19.76	PPFD
19.79	PPFD
19.23	PPFD
21.7	PPFD
19.38	PPFD
18.45	PPFD
21.72	PPFD
19.38	PPFD
22.1	PPFD
20.46	PPFD
20.79	PPFD
20.17	PPFD
20.64	PPFD
20.69	PPFD
19.34	PPFD
20.07	PPFD
21.22	PPFD
19.57	MPO
20.37	MPO
19.71	MPO
20.3	MPO
21.12	MPO
17.94	MPO
19.75	MPO
