Shell_Height	Population
11.58	Cluster1
10.75	Cluster1
11.25	Cluster1
10.14	Cluster1
10.68	Cluster1
10.71	Cluster1
11.59	Cluster1
10.65	Cluster1
11.08	Cluster1
11.43	Cluster1
11.55	Cluster1
11.52	Cluster1
11.18	Cluster1
10.91	Cluster1
10.85	Cluster1
11.57	Cluster1
11.8	Cluster1
11.02	Cluster1
11.57	Cluster1
10.84	Cluster1
12.03	Cluster1
11.41	Cluster1
10.4	Cluster1
10.67	Cluster1
11.39	Cluster1
12.04	Cluster1
11.19	Cluster1
10.06	Cluster1
10.9	Cluster1
10.34	Cluster1
10.86	Cluster1
11.09	Cluster1
11.42	Cluster1
9.61	Cluster1
10.88	Cluster1
11.72	Cluster1
11.07	Cluster1
10.21	Cluster1
10.78	Cluster1
10.44	Cluster1
11.32	Cluster1
10.08	Cluster1
10.74	Cluster1
11.3	Cluster1
11.06	Cluster1
9.91	Cluster1
11.1	Cluster1
9.98	Cluster1
11.1	Cluster1
10.55	Cluster1
10.22	Cluster1
10.9	Cluster1
10.9	Cluster1
10.82	Cluster1
10.49	Cluster1
8.91	Cluster1
10.28	Cluster1
10.16	Cluster1
8.61	Cluster1
10.32	Cluster1
11.29	Cluster1
9.87	Cluster1
11.23	Cluster1
10.12	Cluster1
10.71	Cluster1
10.09	Cluster1
10.21	Cluster1
10.36	Cluster1
11.3	Cluster1
10.93	Cluster1
10.05	Cluster1
10.32	Cluster1
9.5	Cluster1
9	Cluster1
10.43	Cluster1
9.89	Cluster1
9.78	Cluster1
10.45	Cluster1
10.44	Cluster1
9.78	Cluster1
10.27	Cluster1
10.24	Cluster1
10	Cluster1
10.83	Cluster1
9.59	Cluster1
9.4	Cluster1
9.85	Cluster1
9.77	Cluster1
9.8	Cluster1
10.46	Cluster1
10.2	Cluster1
8.5	Cluster1
9.92	Cluster1
9.72	Cluster1
9.53	Cluster1
10.4	Cluster1
10.42	Cluster1
10.56	Cluster1
10.99	Cluster1
10.91	Cluster1
10.93	Cluster1
10.37	Cluster1
11.02	Cluster1
9.98	Cluster1
10.48	Cluster1
10.61	Cluster1
10.36	Cluster1
10.7	Cluster1
11.35	Cluster1
10.3	Cluster1
10.56	Cluster1
10.09	Cluster1
10.35	Cluster1
