Shell_Whorls	Population
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5.5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5.25	Cluster1
5	Cluster1
5	Cluster1
4.75	Cluster1
5	Cluster1
5.25	Cluster1
5	Cluster1
4.75	Cluster1
5	Cluster1
5.25	Cluster1
5	Cluster1
5	Cluster1
4.75	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
4.75	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
4.75	Cluster1
5	Cluster1
4.75	Cluster1
5	Cluster1
5	Cluster1
5.25	Cluster1
5.25	Cluster1
5	Cluster1
4.75	Cluster1
5.25	Cluster1
4.75	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5.25	Cluster1
5	Cluster1
4.5	Cluster1
5	Cluster1
4.75	Cluster1
4.5	Cluster1
5	Cluster1
5	Cluster1
4.75	Cluster1
5.25	Cluster1
5	Cluster1
5.25	Cluster1
5	Cluster1
5	Cluster1
4.75	Cluster1
5	Cluster1
5	Cluster1
4.75	Cluster1
5	Cluster1
4.75	Cluster1
4.75	Cluster1
5	Cluster1
5	Cluster1
4.75	Cluster1
5	Cluster1
5.25	Cluster1
4.75	Cluster1
5	Cluster1
5	Cluster1
4.75	Cluster1
5	Cluster1
4.75	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
4.75	Cluster1
5	Cluster1
5	Cluster1
4.5	Cluster1
5	Cluster1
4.75	Cluster1
4.75	Cluster1
5	Cluster1
5.25	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
4.75	Cluster1
4.5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5.25	Cluster1
5	Cluster1
4.75	Cluster1
4.75	Cluster1
4.75	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
4.75	Cluster1
5	Cluster1
5	Cluster1
5	Cluster1
5	Cluster2
5.25	Cluster2
5	Cluster2
5	Cluster2
5	Cluster2
5.25	Cluster2
5	Cluster2
5.25	Cluster2
5	Cluster2
5	Cluster2
5.25	Cluster2
5	Cluster2
5	Cluster2
5	Cluster2
5.5	Cluster2
5	Cluster2
5	Cluster2
5	Cluster2
5	Cluster2
5	Cluster2
5	Cluster2
5.25	Cluster2
5	Cluster2
5	Cluster2
5.5	Cluster2
5.25	Cluster2
5	Cluster2
5.25	Cluster2
5.5	Cluster2
5	Cluster2
5	Cluster2
5.25	Cluster2
4.75	Cluster2
4.75	Cluster2
5	Cluster2
5	Cluster2
5.25	Cluster2
5	Cluster2
5	Cluster2
5	Cluster2
5.25	Cluster2
5.25	Cluster2
5.25	Cluster2
4.75	Cluster2
5.25	Cluster2
5	Cluster2
5	Cluster2
5.25	Cluster2
5	Cluster2
5.5	Cluster2
5.25	Cluster2
5	Cluster2
5.25	Cluster2
5	Cluster2
5	Cluster2
5.25	Cluster2
4.75	Cluster2
5	Cluster2
4.75	Cluster2
4.75	Cluster2
4.75	Cluster2
4.75	Cluster2
5.25	Cluster2
5.25	Cluster2
5	Cluster2
5	Cluster2
4.75	Cluster2
5.25	Cluster2
5	Cluster2
5.25	Cluster2
5	Cluster2
5	Cluster2
5	Cluster2
5	Cluster2
5	Cluster2
5.25	Cluster2
5.25	Cluster2
5	Cluster2
4.75	Cluster2
5.25	Cluster2
5.25	Cluster2
5	Cluster2
5	Cluster2
5	Cluster2
5	Cluster2
5	Cluster2
5	Cluster2
5.25	Cluster2
5	Cluster2
5	Cluster2
5.25	Cluster2
5	Cluster2
5	Cluster2
4.75	Cluster2
4.75	Cluster2
5	Cluster2
4.75	Cluster2
4.75	Cluster2
4.75	Cluster2
5	Cluster2
4.75	Cluster2
5	Cluster2
5	Cluster2
5	Cluster2
5	Cluster2
5.5	Cluster3
5	Cluster3
5.25	Cluster3
5	Cluster3
5.25	Cluster3
5.25	Cluster3
4.75	Cluster3
4.75	Cluster3
5	Cluster3
5	Cluster3
5.25	Cluster3
5.25	Cluster3
5.5	Cluster3
5	Cluster3
5	Cluster3
5.25	Cluster3
5	Cluster3
5	Cluster3
5.25	Cluster3
5	Cluster3
5	Cluster3
5	Cluster4
5.25	Cluster4
5	Cluster4
5	Cluster4
4.75	Cluster4
5	Cluster4
5.25	Cluster4
5	Cluster4
5	Cluster4
5.25	Cluster4
5	Cluster4
5	Cluster4
5.25	Cluster4
5	Cluster4
5.25	Cluster4
5.25	Cluster4
5	Cluster4
5.25	Cluster4
5.25	Cluster4
5	Cluster4
5	Cluster4
5.25	Cluster4
4.75	Cluster4
5	Cluster4
5	Cluster4
5	Cluster4
4.75	Cluster4
5	Cluster4
5.25	Cluster4
5	Cluster4
5.5	Cluster4
5.25	Cluster4
5	Cluster4
4.75	Cluster4
5	Cluster4
5	Cluster4
4.75	Cluster4
5	Cluster4
5	Cluster4
5	Cluster4
4.75	Cluster4
5	Cluster4
5	Cluster4
5	Cluster4
5	Cluster4
5	Cluster4
5	Cluster4
4.75	Cluster4
4.75	Cluster4
5	Cluster4
5	Cluster4
5	Cluster4
5	Cluster4
5	Cluster4
5	Cluster4
4.75	Cluster4
4.75	Cluster4
4.75	Cluster4
