Shell_Width_1	Population
19.62	Cluster1
20.33	Cluster1
21.21	Cluster1
18.27	Cluster1
20.45	Cluster1
20.7	Cluster1
20.03	Cluster1
20.15	Cluster1
21.25	Cluster1
20.37	Cluster1
18.88	Cluster1
20.43	Cluster1
20.11	Cluster1
21	Cluster1
20.87	Cluster1
21	Cluster1
20.99	Cluster1
21.29	Cluster1
20.13	Cluster1
21.55	Cluster1
20.14	Cluster1
20.97	Cluster1
20.23	Cluster1
19.96	Cluster1
21.64	Cluster1
20.58	Cluster1
20.39	Cluster1
19.71	Cluster1
19.95	Cluster1
20.13	Cluster1
19.81	Cluster1
22.25	Cluster1
20.13	Cluster1
18.57	Cluster1
19.54	Cluster1
20.83	Cluster1
19.49	Cluster1
20.08	Cluster1
20.67	Cluster1
18.96	Cluster1
20.69	Cluster1
19.37	Cluster1
20.04	Cluster1
19.62	Cluster1
18.8	Cluster1
18.39	Cluster1
22.43	Cluster1
20.08	Cluster1
20.27	Cluster1
19.59	Cluster1
19.57	Cluster1
20.37	Cluster1
19.71	Cluster1
20.3	Cluster1
21.12	Cluster1
17.94	Cluster1
19.75	Cluster1
18.78	Cluster1
16.7	Cluster1
19.96	Cluster1
20.12	Cluster1
19.33	Cluster1
19.41	Cluster1
19.04	Cluster1
19.37	Cluster1
19.78	Cluster1
19.33	Cluster1
18.28	Cluster1
20.2	Cluster1
20.7	Cluster1
19.26	Cluster1
22.12	Cluster1
18.16	Cluster1
18.42	Cluster1
19.3	Cluster1
18.89	Cluster1
17.71	Cluster1
18.98	Cluster1
20.18	Cluster1
18.7	Cluster1
18.04	Cluster1
19.65	Cluster1
19.75	Cluster1
20.72	Cluster1
18.43	Cluster1
18.5	Cluster1
18.59	Cluster1
18.06	Cluster1
18.75	Cluster1
19.8	Cluster1
20	Cluster1
16.61	Cluster1
19.3	Cluster1
18.6	Cluster1
18.62	Cluster1
18.55	Cluster1
21.01	Cluster1
21.03	Cluster1
20.37	Cluster1
19.72	Cluster1
20.89	Cluster1
19.31	Cluster1
20.37	Cluster1
19.99	Cluster1
19.2	Cluster1
19.95	Cluster1
20.19	Cluster1
20.14	Cluster1
20.7	Cluster1
19.42	Cluster1
19.75	Cluster1
19.68	Cluster1
20.27	Cluster1
20.54	Cluster1
21.56	Cluster1
19.75	Cluster1
20	Cluster1
19.86	Cluster1
19.11	Cluster1
18.46	Cluster1
18.05	Cluster1
20.84	Cluster1
22.56	Cluster2
22.17	Cluster2
20.29	Cluster2
20.81	Cluster2
20.2	Cluster2
21.8	Cluster2
21.47	Cluster2
22.21	Cluster2
20.84	Cluster2
20.94	Cluster2
22.41	Cluster2
21.95	Cluster2
21.27	Cluster2
22.04	Cluster2
24.51	Cluster2
21.53	Cluster2
21.18	Cluster2
20.63	Cluster2
20.41	Cluster2
21.26	Cluster2
23.08	Cluster2
22.22	Cluster2
21.42	Cluster2
22.35	Cluster2
24.25	Cluster2
22.13	Cluster2
21.89	Cluster2
21.38	Cluster2
23.33	Cluster2
20.44	Cluster2
21.55	Cluster2
21.53	Cluster2
21.49	Cluster2
19.63	Cluster2
20.45	Cluster2
20.98	Cluster2
21.92	Cluster2
23.39	Cluster2
23.71	Cluster2
21.96	Cluster2
22.75	Cluster2
22.1	Cluster2
22.05	Cluster2
21.04	Cluster2
21.7	Cluster2
22.15	Cluster2
20.99	Cluster2
22.17	Cluster2
20.8	Cluster2
21.56	Cluster2
21.32	Cluster2
21.14	Cluster2
20.88	Cluster2
20.49	Cluster2
19.9	Cluster2
19.64	Cluster2
20.09	Cluster2
21.61	Cluster2
19.77	Cluster2
19.76	Cluster2
17.81	Cluster2
20.44	Cluster2
20.19	Cluster2
20.86	Cluster2
21.14	Cluster2
20.77	Cluster2
20.02	Cluster2
20.14	Cluster2
20.7	Cluster2
20.31	Cluster2
18.87	Cluster2
19.62	Cluster2
21.38	Cluster2
20.58	Cluster2
20.28	Cluster2
17.91	Cluster2
18.35	Cluster2
21.45	Cluster2
18.52	Cluster2
19.73	Cluster2
20.26	Cluster2
21.52	Cluster2
20.76	Cluster2
19.09	Cluster2
21.56	Cluster2
20.52	Cluster2
19.8	Cluster2
23.42	Cluster2
23.51	Cluster2
22.05	Cluster2
22.03	Cluster2
22.39	Cluster2
20.76	Cluster2
21	Cluster2
19.68	Cluster2
20.41	Cluster2
20.42	Cluster2
20.95	Cluster2
19.8	Cluster2
23.45	Cluster2
21.07	Cluster2
22.07	Cluster2
20.84	Cluster2
18.99	Cluster2
20.53	Cluster2
20.64	Cluster3
19.19	Cluster3
21.28	Cluster3
19.34	Cluster3
20.38	Cluster3
20.88	Cluster3
21.99	Cluster3
20.46	Cluster3
19.45	Cluster3
18.08	Cluster3
20.33	Cluster3
22.25	Cluster3
21.74	Cluster3
21.99	Cluster3
23.68	Cluster3
22.91	Cluster3
24.61	Cluster3
22.94	Cluster3
21.1	Cluster3
21.95	Cluster3
22.52	Cluster3
21.13	Cluster3
21.57	Cluster4
20.45	Cluster4
21.41	Cluster4
20.53	Cluster4
20.83	Cluster4
21.33	Cluster4
20.81	Cluster4
18	Cluster4
22.14	Cluster4
20.71	Cluster4
21.07	Cluster4
19.35	Cluster4
22.84	Cluster4
22.03	Cluster4
22.78	Cluster4
22.08	Cluster4
20.75	Cluster4
21.06	Cluster4
20.39	Cluster4
20.81	Cluster4
18.79	Cluster4
19.4	Cluster4
19.79	Cluster4
19.31	Cluster4
20.66	Cluster4
21.62	Cluster4
20.7	Cluster4
21.12	Cluster4
21.42	Cluster4
20.57	Cluster4
21.04	Cluster4
22.21	Cluster4
21.95	Cluster4
22	Cluster4
21.52	Cluster4
22.23	Cluster4
24.07	Cluster4
20.5	Cluster4
21.08	Cluster4
21.48	Cluster4
21.82	Cluster4
24.1	Cluster4
23.75	Cluster4
22.88	Cluster4
22.98	Cluster4
21.05	Cluster4
21.39	Cluster4
20.96	Cluster4
21.22	Cluster4
22.9	Cluster4
22.67	Cluster4
21.08	Cluster4
21.22	Cluster4
19.86	Cluster4
21.37	Cluster4
