Shell_Width_2	Population
17.47	Cluster1
16.94	Cluster1
18.55	Cluster1
15.92	Cluster1
17.03	Cluster1
17.95	Cluster1
17.18	Cluster1
16.88	Cluster1
17.82	Cluster1
17.17	Cluster1
16.25	Cluster1
17.51	Cluster1
16.6	Cluster1
17.84	Cluster1
17.5	Cluster1
17.98	Cluster1
18.39	Cluster1
18.33	Cluster1
17.5	Cluster1
18.5	Cluster1
17.67	Cluster1
18.16	Cluster1
16.61	Cluster1
17.18	Cluster1
19.25	Cluster1
17.96	Cluster1
17.53	Cluster1
16.54	Cluster1
16.85	Cluster1
16.8	Cluster1
16.98	Cluster1
18.45	Cluster1
17.34	Cluster1
15.21	Cluster1
16.74	Cluster1
18.33	Cluster1
16.45	Cluster1
16.85	Cluster1
17.47	Cluster1
16.2	Cluster1
17.5	Cluster1
16.19	Cluster1
17.27	Cluster1
16.57	Cluster1
16.28	Cluster1
15.49	Cluster1
18.59	Cluster1
16.97	Cluster1
17.35	Cluster1
16.75	Cluster1
16.32	Cluster1
17.58	Cluster1
16.99	Cluster1
17.3	Cluster1
18.12	Cluster1
15.35	Cluster1
16.91	Cluster1
16.08	Cluster1
13.94	Cluster1
16.87	Cluster1
17.56	Cluster1
16.57	Cluster1
17.02	Cluster1
16.3	Cluster1
17.5	Cluster1
16.65	Cluster1
16.51	Cluster1
15.82	Cluster1
17.51	Cluster1
17.05	Cluster1
16.62	Cluster1
18.61	Cluster1
15.69	Cluster1
15.83	Cluster1
16.77	Cluster1
16.23	Cluster1
15.3	Cluster1
16.4	Cluster1
17.05	Cluster1
16.08	Cluster1
15.82	Cluster1
16.78	Cluster1
16.89	Cluster1
17.59	Cluster1
15.85	Cluster1
15.99	Cluster1
16	Cluster1
15.93	Cluster1
15.76	Cluster1
17.44	Cluster1
17.39	Cluster1
13.78	Cluster1
16.91	Cluster1
16.26	Cluster1
16.04	Cluster1
15.63	Cluster1
17.65	Cluster1
15.48	Cluster1
16.11	Cluster1
15.61	Cluster1
15.91	Cluster1
14.68	Cluster1
15.66	Cluster1
14.78	Cluster1
16.19	Cluster1
15.26	Cluster1
15.24	Cluster1
14.01	Cluster1
13.68	Cluster1
17.08	Cluster1
14.73	Cluster1
15.23	Cluster1
14.59	Cluster1
14.77	Cluster1
16.02	Cluster1
14.39	Cluster1
14.26	Cluster1
14.32	Cluster1
14.52	Cluster1
14.69	Cluster1
16.24	Cluster1
16.04	Cluster1
15.02	Cluster1
15.28	Cluster1
14.8	Cluster1
15.23	Cluster1
13.84	Cluster1
14.64	Cluster1
14.69	Cluster1
14.6	Cluster1
16.43	Cluster1
14.23	Cluster1
15.62	Cluster1
15.61	Cluster1
15.68	Cluster1
15.67	Cluster1
14.89	Cluster1
15.8	Cluster1
15.21	Cluster1
13.51	Cluster1
14.42	Cluster1
18.31	Cluster1
17.38	Cluster1
17.56	Cluster1
18.01	Cluster1
16.6	Cluster1
17.7	Cluster1
17.13	Cluster1
16.38	Cluster1
17.04	Cluster1
17.43	Cluster1
17.51	Cluster1
17.96	Cluster1
16.77	Cluster1
16.96	Cluster1
16.69	Cluster1
17.27	Cluster1
17.65	Cluster1
18.54	Cluster1
16.56	Cluster1
16.8	Cluster1
17.36	Cluster1
16.54	Cluster1
16.05	Cluster1
15.64	Cluster1
17.55	Cluster1
19.62	Cluster2
18.86	Cluster2
17.42	Cluster2
17.4	Cluster2
17.68	Cluster2
18.8	Cluster2
18.51	Cluster2
19.16	Cluster2
17.86	Cluster2
17.91	Cluster2
19.79	Cluster2
19.46	Cluster2
18.67	Cluster2
19.39	Cluster2
21.19	Cluster2
18.48	Cluster2
18.34	Cluster2
17.64	Cluster2
17.68	Cluster2
18.19	Cluster2
20.09	Cluster2
19.34	Cluster2
18.48	Cluster2
18.9	Cluster2
20.68	Cluster2
19.08	Cluster2
18.79	Cluster2
18.87	Cluster2
20.22	Cluster2
18.13	Cluster2
18.53	Cluster2
18.39	Cluster2
18.38	Cluster2
17.18	Cluster2
17.61	Cluster2
18.38	Cluster2
19.08	Cluster2
19.64	Cluster2
20.45	Cluster2
18.83	Cluster2
19.49	Cluster2
19.25	Cluster2
