
___________________________________________________________________

GenoDive 3.01, 2021-11-24 11:02:23 +0000
Amova: Analysis of Molecular Variance (Excoffier et al., 1995)
File: TrkNbr-1524n1282n1083_AllPops_PGDSpider_p14_r080_LDnHWEx__genepopRF.txt
178 of 178 individuals included, 8480 of 8480 loci included
Used an Infinite Allele Model, so the reported statistics are equivalent to Fst
Significance was tested using 999 permutations


– AMOVA summary:

Source of Variation	Nested in	%var	F-stat	F-value	Std.Dev.	c.i.2.5%	c.i.97.5%	P-value	F'-value
Within Individual 	--	0.782	F_it	0.218	0.003	0.211	0.225	--	--
Among Individual 	Population 	0.063	F_is	0.074	0.004	0.065	0.083	0.001	--
Among Population 	--	0.155	F_st	0.155	0.002	0.151	0.159	0.001	0.159

Standard deviations of F-statistics were obtained through jackknifing over loci.
95% confidence intervals of F-statistics were obtained through bootstrapping over loci.


– AMOVA table per locus:

Locus	Source of Variation	Nested in	SSD	d.f.	MS	Var-comp	%Var	F-stat	F-value	P-value	F(max)	F'-value

29_26	Within Individual   	--	2.500	125	0.020	0.020	1.007	F_it	-0.007	--	--	--
	Among Individual   	Population 	1.561	111	0.014	-0.003	-0.149	F_is	-0.174	1.000	--	--
	Among Population   	--	0.839	13	0.065	0.003	0.142	F_st	0.142	0.001	0.966	0.147

362_14	Within Individual   	--	0.500	128	0.004	0.004	0.333	F_it	0.667	--	--	--
	Among Individual   	Population 	2.000	114	0.018	0.007	0.582	F_is	0.636	0.180	--	--
	Among Population   	--	0.465	13	0.036	0.001	0.085	F_st	0.085	0.025	0.979	0.087

367_12	Within Individual   	--	0.500	133	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	119	0.004	-0.000	-0.003	F_is	-0.003	1.000	--	--
	Among Population   	--	0.052	13	0.004	0.000	0.003	F_st	0.003	0.382	0.993	0.004

429_36	Within Individual   	--	0.500	140	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	125	0.004	-0.000	-0.002	F_is	-0.002	1.000	--	--
	Among Population   	--	0.052	14	0.004	0.000	0.002	F_st	0.002	0.563	0.993	0.002

485_32	Within Individual   	--	3.000	154	0.019	0.019	1.006	F_it	-0.006	--	--	--
	Among Individual   	Population 	1.700	138	0.012	-0.004	-0.185	F_is	-0.225	1.000	--	--
	Among Population   	--	1.183	15	0.079	0.003	0.179	F_st	0.179	0.001	0.968	0.185

553_45	Within Individual   	--	0.500	161	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	144	0.003	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.047	16	0.003	-0.000	-0.003	F_st	-0.003	1.000	0.994	-0.003

667_15	Within Individual   	--	1.500	152	0.010	0.010	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	1.050	136	0.008	-0.001	-0.109	F_is	-0.122	1.000	--	--
	Among Population   	--	0.420	15	0.028	0.001	0.108	F_st	0.108	0.004	0.982	0.110

741_28	Within Individual   	--	0.500	136	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	121	0.004	-0.000	-0.008	F_is	-0.008	1.000	--	--
	Among Population   	--	0.059	14	0.004	0.000	0.009	F_st	0.009	0.205	0.993	0.009

743_12	Within Individual   	--	0.500	144	0.003	0.003	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	129	0.003	-0.000	-0.004	F_is	-0.004	1.000	--	--
	Among Population   	--	0.052	14	0.004	0.000	0.004	F_st	0.004	0.304	0.993	0.004

842_11	Within Individual   	--	1.000	127	0.008	0.008	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.750	113	0.007	-0.001	-0.078	F_is	-0.085	1.000	--	--
	Among Population   	--	0.234	13	0.018	0.001	0.080	F_st	0.080	0.021	0.985	0.081

940_24	Within Individual   	--	0.500	148	0.003	0.003	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	132	0.003	-0.000	-0.009	F_is	-0.010	1.000	--	--
	Among Population   	--	0.059	15	0.004	0.000	0.010	F_st	0.010	0.212	0.993	0.010

953_21	Within Individual   	--	0.500	170	0.003	0.003	0.333	F_it	0.667	--	--	--
	Among Individual   	Population 	2.000	152	0.013	0.005	0.579	F_is	0.635	0.201	--	--
	Among Population   	--	0.474	17	0.028	0.001	0.088	F_st	0.088	0.022	0.984	0.090

986_28	Within Individual   	--	0.500	133	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	119	0.004	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.003	F_st	-0.003	1.000	0.992	-0.003

1224_57	Within Individual   	--	2.000	123	0.016	0.016	0.998	F_it	0.002	--	--	--
	Among Individual   	Population 	1.000	109	0.009	-0.004	-0.217	F_is	-0.279	1.000	--	--
	Among Population   	--	0.935	13	0.072	0.004	0.219	F_st	0.219	0.001	0.975	0.225

1417_23	Within Individual   	--	1.500	130	0.012	0.012	0.608	F_it	0.392	--	--	--
	Among Individual   	Population 	3.044	116	0.026	0.007	0.388	F_is	0.389	0.098	--	--
	Among Population   	--	0.359	13	0.028	0.000	0.004	F_st	0.004	0.318	0.962	0.004

1515_32	Within Individual   	--	1.500	126	0.012	0.012	1.005	F_it	-0.005	--	--	--
	Among Individual   	Population 	1.194	112	0.011	-0.001	-0.052	F_is	-0.055	1.000	--	--
	Among Population   	--	0.270	13	0.021	0.001	0.047	F_st	0.047	0.036	0.977	0.048

1552_70	Within Individual   	--	0.500	133	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	119	0.004	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.003	F_st	-0.003	1.000	0.992	-0.003

1610_24	Within Individual   	--	0.000	154	0.000	0.000	0.000	F_it	1.000	--	--	--
	Among Individual   	Population 	1.750	138	0.013	0.006	0.975	F_is	1.000	0.057	--	--
	Among Population   	--	0.237	15	0.016	0.000	0.025	F_st	0.025	0.101	0.987	0.025

1825_89	Within Individual   	--	0.500	131	0.004	0.004	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	0.438	117	0.004	-0.000	-0.010	F_is	-0.010	1.000	--	--
	Among Population   	--	0.059	13	0.005	0.000	0.011	F_st	0.011	0.186	0.992	0.011

1914_23	Within Individual   	--	2.000	134	0.015	0.015	1.005	F_it	-0.005	--	--	--
	Among Individual   	Population 	1.437	120	0.012	-0.001	-0.099	F_is	-0.110	1.000	--	--
	Among Population   	--	0.503	13	0.039	0.001	0.094	F_st	0.094	0.004	0.973	0.097

2014_26	Within Individual   	--	6.500	142	0.046	0.046	0.715	F_it	0.285	--	--	--
	Among Individual   	Population 	4.844	127	0.038	-0.004	-0.060	F_is	-0.091	0.841	--	--
	Among Population   	--	6.384	14	0.456	0.022	0.345	F_st	0.345	0.001	0.916	0.376

2119_58	Within Individual   	--	0.500	125	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.444	111	0.004	0.000	0.001	F_is	0.001	1.000	--	--
	Among Population   	--	0.052	13	0.004	-0.000	-0.001	F_st	-0.001	0.749	0.992	-0.001

2121_47	Within Individual   	--	0.500	160	0.003	0.003	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	143	0.003	0.000	0.003	F_is	0.003	1.000	--	--
	Among Population   	--	0.047	16	0.003	-0.000	-0.004	F_st	-0.004	1.000	0.994	-0.004

2211_27	Within Individual   	--	2.000	160	0.013	0.013	0.999	F_it	0.001	--	--	--
	Among Individual   	Population 	1.111	143	0.008	-0.002	-0.189	F_is	-0.233	1.000	--	--
	Among Population   	--	0.839	16	0.052	0.002	0.190	F_st	0.190	0.001	0.980	0.194

2231_81	Within Individual   	--	1.000	130	0.008	0.008	1.004	F_it	-0.004	--	--	--
	Among Individual   	Population 	0.894	116	0.008	0.000	0.001	F_is	0.001	1.000	--	--
	Among Population   	--	0.090	13	0.007	-0.000	-0.005	F_st	-0.005	0.665	0.985	-0.006

2295_52	Within Individual   	--	4.000	138	0.029	0.029	0.822	F_it	0.178	--	--	--
	Among Individual   	Population 	4.302	123	0.035	0.003	0.085	F_is	0.094	0.498	--	--
	Among Population   	--	1.336	14	0.095	0.003	0.093	F_st	0.093	0.002	0.936	0.100

2422_11	Within Individual   	--	0.500	139	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	124	0.004	-0.000	-0.002	F_is	-0.002	1.000	--	--
	Among Population   	--	0.052	14	0.004	0.000	0.002	F_st	0.002	0.426	0.993	0.002

2609_10	Within Individual   	--	0.500	125	0.004	0.004	1.000	F_it	-0.000	--	--	--
	Among Individual   	Population 	0.450	111	0.004	0.000	0.007	F_is	0.007	1.000	--	--
	Among Population   	--	0.046	13	0.004	-0.000	-0.007	F_st	-0.007	1.000	0.992	-0.007

2692_87	Within Individual   	--	4.500	175	0.026	0.026	1.013	F_it	-0.013	--	--	--
	Among Individual   	Population 	2.250	157	0.014	-0.006	-0.224	F_is	-0.284	1.000	--	--
	Among Population   	--	2.019	17	0.119	0.005	0.212	F_st	0.212	0.001	0.960	0.220

2870_38	Within Individual   	--	0.500	127	0.004	0.004	1.000	F_it	0.000	--	--	--
	Among Individual   	Population 	0.444	113	0.004	-0.000	-0.000	F_is	-0.000	1.000	--	--
	Among Population   	--	0.052	13	0.004	0.000	0.001	F_st	0.001	0.749	0.992	0.001

2943_19	Within Individual   	--	2.000	158	0.013	0.013	0.673	F_it	0.327	--	--	--
	Among Individual   	Population 	2.911	141	0.021	0.004	0.212	F_is	0.240	0.389	--	--
	Among Population   	--	0.975	16	0.061	0.002	0.115	F_st	0.115	0.006	0.967	0.119

