# Population TGCP	WM1,WM10,WM2,WM3,WM4,WM5,WM6,WM7,WM8,WM9
# Population MRLP	WM123,WM124,WM125,WM126,WM127,WM128,WM129,WM130
# Population STT	WM183,WM184,WM185,WM186,WM187,WM188,WM189,WM190,WM191,WM192
# Population FSSP	WM241,WM242,WM243,WM244,WM245,WM246,WM247,WM248,WM249,WM250
# Population HNL	WM301,WM302,WM303,WM304,WM305,WM306,WM307,WM308,WM309,WM310
# Population MPO	WM482,WM483,WM484,WM485,WM486,WM487,WM488,WM489,WM490,WM491
# Population OICP	WM541,WM542,WM543,WM544,WM545,WM546,WM547,WM548,WM549,WM550
# Population IRO	WM601,WM602,WM603,WM604,WM605,WM606,WM607,WM608,WM609,WM610
# Population HGRF	WM661,WM662,WM663,WM664,WM665,WM666,WM667,WM668,WM669,WM670
# Population PTP	WM721,WM722,WM723,WM724,WM725,WM726,WM727,WM728,WM729,WM730
# Population RRL	WM782,WM783,WM784,WM785,WM786,WM787,WM788,WM789,WM790,WM791
# Population RRO	WM842,WM843,WM844,WM845,WM846,WM847,WM848,WM849,WM850,WM851
# Population CPS	WM901,WM902,WM903,WM904,WM905,WM906,WM907,WM908,WM909,WM910
# Population PPNP	WM962,WM963,WM964,WM965,WM966,WM967,WM968,WM969,WM970,WM971
# Population FPPI	WM1021,WM1022,WM1023,WM1024,WM1025,WM1026,WM1027,WM1028,WM1029,WM1030
# Population CRWA	WM1082,WM1084,WM1085,WM1086,WM1087,WM1088,WM1089,WM1090,WM1092,WM1093
# Population PCRA	WM1141,WM1142,WM1143,WM1144,WM1145,WM1146,WM1147,WM1148,WM1149,WM1150
# Population DHFA	WM1202,WM1203,WM1204,WM1205,WM1206,WM1207,WM1208,WM1209,WM1210,WM1211
# Group defaultgrp	TGCP,MRLP,STT,FSSP,HNL,MPO,OICP,IRO,HGRF,PTP,RRL,RRO,CPS,PPNP,FPPI,CRWA,PCRA,DHFA
# Batch ID 	Locus ID	Chr	BP	PopCnt	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Phi_ct	Smoothed Phi_ct	Smoothed Phi_ct P-value	Phi_sc	Smoothed Phi_sc	Smoothed Phi_sc P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
22540000	27	un	2342	17	0.7659	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0951	0.0000	0.0000	-nan	0.0000	0.0000
22540000	29	un	2522	14	0.1166	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0046	0.0000	0.0000	-nan	0.0000	0.0000
22540000	72	un	6392	17	0.2585	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0102	0.0000	0.0000	-nan	0.0000	0.0000
22540000	128	un	11432	18	0.7280	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2394	0.0000	0.0000	0.2299	0.0000	0.0000
22540000	199	un	17822	17	0.6084	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3952	0.0000	0.0000	-nan	0.0000	0.0000
22540000	213	un	19082	16	0.2087	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0058	0.0000	0.0000	-nan	0.0000	0.0000
22540000	285	un	25562	18	0.3141	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0130	0.0000	0.0000	0.0126	0.0000	0.0000
22540000	286	un	25652	16	0.2972	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0830	0.0000	0.0000	-nan	0.0000	0.0000
22540000	340	un	30512	15	0.2498	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0126	0.0000	0.0000	-nan	0.0000	0.0000
22540000	362	un	32492	14	0.1009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0024	0.0000	0.0000	-nan	0.0000	0.0000
22540000	367	un	32942	17	-0.0031	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0000	0.0000	0.0000	-nan	0.0000	0.0000
22540000	429	un	38522	17	0.0023	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-nan	0.0000	0.0000
22540000	485	un	43562	18	0.1694	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0060	0.0000	0.0000	0.0058	0.0000	0.0000
22540000	553	un	49682	17	-0.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0000	0.0000	0.0000	-nan	0.0000	0.0000
22540000	610	un	54812	16	0.3355	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0517	0.0000	0.0000	-nan	0.0000	0.0000
22540000	667	un	59942	16	0.1042	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0020	0.0000	0.0000	-nan	0.0000	0.0000
22540000	741	un	66602	18	-0.0036	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0000	0.0000	0.0000	-0.0000	0.0000	0.0000
22540000	743	un	66782	17	0.0042	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-nan	0.0000	0.0000
22540000	793	un	71282	17	-0.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0000	0.0000	0.0000	-nan	0.0000	0.0000
22540000	840	un	75512	16	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3930	0.0000	0.0000	-nan	0.0000	0.0000
22540000	842	un	75692	15	0.0495	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	-nan	0.0000	0.0000
