# Population TGCP	WM1,WM10,WM11,WM12,WM13,WM14,WM15,WM16,WM17,WM18,WM19,WM2,WM20,WM21,WM22,WM23,WM24,WM3,WM4,WM5,WM6,WM7,WM8,WM9
# Population STT	WM183,WM184,WM185,WM186,WM187,WM188,WM189,WM190,WM191,WM192,WM193,WM194,WM195,WM196,WM197,WM198,WM199,WM200,WM201,WM202,WM203,WM204,WM205,WM206
# Batch ID 	Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
22540000	176	TGCP	STT	un	15752	0.3564	0.0000	0.0000	0.1781	0.0000	0.0000	0.1783	0.0000	0.0000
22540000	179	TGCP	STT	un	16022	0.3045	0.0000	0.0000	0.1089	0.0000	0.0000	0.1078	0.0000	0.0000
22540000	249	TGCP	STT	un	22322	0.0722	0.0000	0.0000	0.0070	0.0000	0.0000	0.0069	0.0000	0.0000
22540000	337	TGCP	STT	un	30242	0.1288	0.0000	0.0000	0.0202	0.0000	0.0000	0.0199	0.0000	0.0000
22540000	387	TGCP	STT	un	34742	0.1370	0.0000	0.0000	0.0379	0.0000	0.0000	0.0381	0.0000	0.0000
22540000	425	TGCP	STT	un	38162	0.1064	0.0000	0.0000	0.0150	0.0000	0.0000	0.0150	0.0000	0.0000
22540000	466	TGCP	STT	un	41852	0.0638	0.0000	0.0000	0.0058	0.0000	0.0000	0.0058	0.0000	0.0000
22540000	715	TGCP	STT	un	64262	0.8000	0.0000	0.0000	0.7668	0.0000	0.0000	0.7668	0.0000	0.0000
22540000	731	TGCP	STT	un	65702	0.4993	0.0000	0.0000	0.3565	0.0000	0.0000	0.3569	0.0000	0.0000
22540000	745	TGCP	STT	un	66962	0.3874	0.0000	0.0000	0.2233	0.0000	0.0000	0.2241	0.0000	0.0000
22540000	767	TGCP	STT	un	68942	0.0006	0.0000	0.0000	0.0003	0.0000	0.0000	0.0001	0.0000	0.0000
22540000	800	TGCP	STT	un	71912	0.0187	0.0000	0.0000	0.0079	0.0000	0.0000	0.0082	0.0000	0.0000
22540000	950	TGCP	STT	un	85412	0.0551	0.0000	0.0000	0.0040	0.0000	0.0000	0.0037	0.0000	0.0000
22540000	1027	TGCP	STT	un	92342	0.6029	0.0000	0.0000	0.4631	0.0000	0.0000	0.4626	0.0000	0.0000
22540000	1056	TGCP	STT	un	94952	0.0151	0.0000	0.0000	0.0043	0.0000	0.0000	0.0047	0.0000	0.0000
22540000	1133	TGCP	STT	un	101882	0.0426	0.0000	0.0000	0.0028	0.0000	0.0000	0.0028	0.0000	0.0000
