# Stacks v1.46;  Phylip sequential; October 04, 2020
# Seq Pos	Locus ID	Column	Population
0	27	7	TGCP:A,MRLP:A,STT:N,FSSP:A,HNL:R,MPO:A,OICP:A,IRO:A,HGRF:A,PTP:A,RRL:A,RRO:A,CPS:A,PPNP:A,FPPI:R,CRWA:A,PCRA:A,DHFA:N,
1	29	26	TGCP:C,MRLP:C,STT:N,FSSP:N,HNL:C,MPO:N,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:Y,CPS:C,PPNP:C,FPPI:N,CRWA:C,PCRA:Y,DHFA:C,
2	72	16	TGCP:C,MRLP:N,STT:N,FSSP:N,HNL:M,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:N,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
3	128	8	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:Y,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:Y,FPPI:Y,CRWA:C,PCRA:C,DHFA:Y,
4	199	21	TGCP:M,MRLP:M,STT:N,FSSP:M,HNL:C,MPO:N,OICP:M,IRO:M,HGRF:N,PTP:N,RRL:M,RRO:A,CPS:A,PPNP:C,FPPI:C,CRWA:M,PCRA:A,DHFA:C,
5	213	6	TGCP:G,MRLP:G,STT:G,FSSP:N,HNL:R,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:N,FPPI:N,CRWA:G,PCRA:G,DHFA:G,
6	285	16	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:Y,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
7	286	35	TGCP:S,MRLP:N,STT:C,FSSP:S,HNL:C,MPO:N,OICP:S,IRO:S,HGRF:S,PTP:N,RRL:S,RRO:C,CPS:S,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
8	340	29	TGCP:C,MRLP:C,STT:N,FSSP:Y,HNL:N,MPO:N,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:Y,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
9	362	14	TGCP:C,MRLP:C,STT:Y,FSSP:C,HNL:N,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:N,FPPI:N,CRWA:N,PCRA:C,DHFA:C,
10	367	12	TGCP:G,MRLP:G,STT:N,FSSP:K,HNL:N,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:N,FPPI:G,CRWA:G,PCRA:N,DHFA:G,
11	429	36	TGCP:C,MRLP:C,STT:N,FSSP:C,HNL:N,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:C,CPS:C,PPNP:M,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
12	485	32	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:N,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:K,FPPI:K,CRWA:G,PCRA:G,DHFA:G,
13	553	45	TGCP:G,MRLP:G,STT:G,FSSP:K,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:N,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
14	610	26	TGCP:N,MRLP:G,STT:G,FSSP:G,HNL:R,MPO:G,OICP:G,IRO:N,HGRF:G,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:R,CRWA:G,PCRA:G,DHFA:R,
15	667	15	TGCP:T,MRLP:N,STT:N,FSSP:T,HNL:T,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:W,CPS:T,PPNP:T,FPPI:T,CRWA:T,PCRA:T,DHFA:T,
16	741	28	TGCP:G,MRLP:G,STT:N,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:K,FPPI:N,CRWA:G,PCRA:G,DHFA:G,
17	743	12	TGCP:A,MRLP:A,STT:W,FSSP:A,HNL:N,MPO:N,OICP:A,IRO:A,HGRF:A,PTP:N,RRL:A,RRO:A,CPS:A,PPNP:A,FPPI:A,CRWA:A,PCRA:A,DHFA:A,
