# Population STT	WM183,WM184,WM185,WM186,WM187,WM188,WM189,WM190,WM191,WM192,WM193,WM194,WM195,WM196,WM197,WM198,WM199,WM200,WM201,WM202,WM203,WM204,WM205,WM206
# Population MPO	WM482,WM483,WM484,WM485,WM486,WM487,WM488,WM489,WM490,WM491,WM492,WM493,WM494,WM495,WM496,WM497,WM498,WM499,WM500,WM501,WM502,WM503,WM504,WM505
# Batch ID 	Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
22540000	94	STT	MPO	un	8372	0.0326	0.0000	0.0000	0.0162	0.0000	0.0000	0.0164	0.0000	0.0000
22540000	176	STT	MPO	un	15752	-0.0203	0.0000	0.0000	-0.0187	0.0000	0.0000	-0.0187	0.0000	0.0000
22540000	179	STT	MPO	un	16022	-0.0143	0.0000	0.0000	-0.0094	0.0000	0.0000	-0.0096	0.0000	0.0000
22540000	387	STT	MPO	un	34742	0.0898	0.0000	0.0000	0.0183	0.0000	0.0000	0.0182	0.0000	0.0000
22540000	425	STT	MPO	un	38162	-0.0186	0.0000	0.0000	-0.0059	0.0000	0.0000	-0.0059	0.0000	0.0000
22540000	466	STT	MPO	un	41852	0.0618	0.0000	0.0000	0.0057	0.0000	0.0000	0.0058	0.0000	0.0000
22540000	715	STT	MPO	un	64262	-0.0099	0.0000	0.0000	-0.0038	0.0000	0.0000	-0.0038	0.0000	0.0000
22540000	767	STT	MPO	un	68942	0.0352	0.0000	0.0000	0.0276	0.0000	0.0000	0.0275	0.0000	0.0000
22540000	800	STT	MPO	un	71912	0.0681	0.0000	0.0000	0.0347	0.0000	0.0000	0.0349	0.0000	0.0000
22540000	950	STT	MPO	un	85412	0.2477	0.0000	0.0000	0.1512	0.0000	0.0000	0.1512	0.0000	0.0000
22540000	962	STT	MPO	un	86492	0.0958	0.0000	0.0000	0.0119	0.0000	0.0000	0.0118	0.0000	0.0000
22540000	1027	STT	MPO	un	92342	0.1995	0.0000	0.0000	0.1942	0.0000	0.0000	0.1941	0.0000	0.0000
