# Stacks v1.46;  Phylip sequential; October 04, 2020
# Seq Pos	Locus ID	Column	Population
0	128	8	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:Y,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:Y,FPPI:Y,CRWA:C,PCRA:C,DHFA:Y,
1	953	21	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:R,CRWA:G,PCRA:G,DHFA:G,
2	1341	10	TGCP:C,MRLP:Y,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:Y,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
3	1941	60	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:W,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:T,FPPI:T,CRWA:T,PCRA:T,DHFA:W,
4	2370	26	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:T,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:Y,FPPI:T,CRWA:T,PCRA:T,DHFA:T,
5	2661	15	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:C,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:C,FPPI:C,CRWA:T,PCRA:T,DHFA:C,
6	2692	87	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:S,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:S,
7	2828	58	TGCP:A,MRLP:R,STT:A,FSSP:A,HNL:A,MPO:A,OICP:A,IRO:R,HGRF:A,PTP:A,RRL:A,RRO:A,CPS:A,PPNP:A,FPPI:A,CRWA:A,PCRA:R,DHFA:A,
8	3710	22	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:C,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:C,FPPI:C,CRWA:T,PCRA:T,DHFA:C,
9	4403	11	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:A,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:A,FPPI:A,CRWA:G,PCRA:R,DHFA:A,
10	6398	73	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:M,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:M,CRWA:C,PCRA:C,DHFA:M,
11	7469	71	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:Y,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
12	7615	47	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:M,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
13	8211	10	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:R,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
14	8217	39	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:T,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:T,FPPI:T,CRWA:G,PCRA:G,DHFA:T,
15	8394	14	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:T,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:T,FPPI:Y,CRWA:T,PCRA:T,DHFA:T,
16	9424	27	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:C,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:C,FPPI:C,CRWA:T,PCRA:T,DHFA:C,
17	9621	63	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:Y,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
18	9628	82	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:R,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
19	9880	35	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:R,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:R,
20	11163	16	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:Y,
21	11991	31	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:R,HGRF:G,PTP:G,RRL:R,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
22	12766	17	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:R,DHFA:G,
23	13496	14	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:T,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:W,PPNP:T,FPPI:T,CRWA:T,PCRA:T,DHFA:T,
24	14335	35	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:T,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:T,FPPI:T,CRWA:C,PCRA:C,DHFA:T,
25	14394	41	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:Y,DHFA:C,
26	14719	15	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:Y,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:T,FPPI:Y,CRWA:C,PCRA:C,DHFA:Y,
27	15592	10	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:K,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:K,FPPI:K,CRWA:T,PCRA:T,DHFA:K,
28	16285	24	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:M,
29	17354	82	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:R,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:R,FPPI:R,CRWA:G,PCRA:G,DHFA:R,
30	18821	69	TGCP:G,MRLP:G,STT:K,FSSP:G,HNL:G,MPO:K,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
31	19006	32	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:K,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:K,FPPI:K,CRWA:G,PCRA:G,DHFA:K,
