# Population TGCP	WM1,WM10,WM11,WM12,WM13,WM14,WM15,WM16,WM17,WM18,WM19,WM2,WM20,WM21,WM22,WM23,WM24,WM3,WM4,WM5,WM6,WM7,WM8,WM9
# Population MPO	WM482,WM483,WM484,WM485,WM486,WM487,WM488,WM489,WM490,WM491,WM492,WM493,WM494,WM495,WM496,WM497,WM498,WM499,WM500,WM501,WM502,WM503,WM504,WM505
# Batch ID 	Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
22540000	176	TGCP	MPO	un	15752	0.3776	0.0000	0.0000	0.2003	0.0000	0.0000	0.2006	0.0000	0.0000
22540000	311	TGCP	MPO	un	27902	0.1351	0.0000	0.0000	0.0282	0.0000	0.0000	0.0289	0.0000	0.0000
22540000	337	TGCP	MPO	un	30242	0.1322	0.0000	0.0000	0.0203	0.0000	0.0000	0.0199	0.0000	0.0000
22540000	387	TGCP	MPO	un	34742	-0.0018	0.0000	0.0000	-0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
22540000	425	TGCP	MPO	un	38162	0.1366	0.0000	0.0000	0.0235	0.0000	0.0000	0.0234	0.0000	0.0000
22540000	715	TGCP	MPO	un	64262	0.8632	0.0000	0.0000	0.8450	0.0000	0.0000	0.8450	0.0000	0.0000
22540000	731	TGCP	MPO	un	65702	0.5106	0.0000	0.0000	0.3569	0.0000	0.0000	0.3569	0.0000	0.0000
22540000	745	TGCP	MPO	un	66962	0.3932	0.0000	0.0000	0.2236	0.0000	0.0000	0.2241	0.0000	0.0000
22540000	767	TGCP	MPO	un	68942	0.0035	0.0000	0.0000	0.0001	0.0000	0.0000	-0.0000	0.0000	0.0000
22540000	962	TGCP	MPO	un	86492	0.0986	0.0000	0.0000	0.0120	0.0000	0.0000	0.0118	0.0000	0.0000
22540000	1140	TGCP	MPO	un	102512	0.2621	0.0000	0.0000	0.1015	0.0000	0.0000	0.1022	0.0000	0.0000
22540000	1292	TGCP	MPO	un	116192	-0.0190	0.0000	0.0000	-0.0113	0.0000	0.0000	-0.0113	0.0000	0.0000
22540000	1350	TGCP	MPO	un	121412	0.0262	0.0000	0.0000	0.0012	0.0000	0.0000	0.0011	0.0000	0.0000
22540000	1611	TGCP	MPO	un	144902	0.9768	0.0000	0.0000	0.9787	0.0000	0.0000	0.9787	0.0000	0.0000
22540000	1791	TGCP	MPO	un	161102	-0.0182	0.0000	0.0000	-0.0169	0.0000	0.0000	-0.0169	0.0000	0.0000
22540000	1848	TGCP	MPO	un	166232	0.3163	0.0000	0.0000	0.1311	0.0000	0.0000	0.1308	0.0000	0.0000
22540000	1852	TGCP	MPO	un	166592	0.3545	0.0000	0.0000	0.1665	0.0000	0.0000	0.1662	0.0000	0.0000
22540000	2098	TGCP	MPO	un	188732	0.8191	0.0000	0.0000	0.8033	0.0000	0.0000	0.8033	0.0000	0.0000
22540000	2118	TGCP	MPO	un	190532	-0.0009	0.0000	0.0000	-0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
22540000	2211	TGCP	MPO	un	198902	0.3191	0.0000	0.0000	0.1376	0.0000	0.0000	0.1376	0.0000	0.0000
22540000	2389	TGCP	MPO	un	214922	0.8000	0.0000	0.0000	0.7668	0.0000	0.0000	0.7668	0.0000	0.0000
22540000	2518	TGCP	MPO	un	226532	0.0213	0.0000	0.0000	0.0009	0.0000	0.0000	0.0009	0.0000	0.0000
22540000	2568	TGCP	MPO	un	231032	0.9149	0.0000	0.0000	0.9096	0.0000	0.0000	0.9096	0.0000	0.0000
22540000	2673	TGCP	MPO	un	240482	0.2086	0.0000	0.0000	0.0593	0.0000	0.0000	0.0595	0.0000	0.0000
22540000	2694	TGCP	MPO	un	242372	0.1183	0.0000	0.0000	0.0209	0.0000	0.0000	0.0213	0.0000	0.0000
22540000	2739	TGCP	MPO	un	246422	0.0466	0.0000	0.0000	0.0037	0.0000	0.0000	0.0037	0.0000	0.0000
22540000	2852	TGCP	MPO	un	256592	0.0808	0.0000	0.0000	0.0079	0.0000	0.0000	0.0076	0.0000	0.0000
22540000	2972	TGCP	MPO	un	267392	0.2715	0.0000	0.0000	0.0953	0.0000	0.0000	0.0951	0.0000	0.0000
22540000	2978	TGCP	MPO	un	267932	0.1215	0.0000	0.0000	0.0211	0.0000	0.0000	0.0213	0.0000	0.0000
22540000	3020	TGCP	MPO	un	271712	0.1967	0.0000	0.0000	0.0732	0.0000	0.0000	0.0734	0.0000	0.0000
22540000	3164	TGCP	MPO	un	284672	0.7145	0.0000	0.0000	0.6606	0.0000	0.0000	0.6607	0.0000	0.0000
22540000	3268	TGCP	MPO	un	294032	-0.0009	0.0000	0.0000	-0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
22540000	3348	TGCP	MPO	un	301232	0.4326	0.0000	0.0000	0.2658	0.0000	0.0000	0.2661	0.0000	0.0000
